# t Temp Pres Epot Etot
0.000000 2.012912 29.039353 -1396.937032 -623.978922
0.050000 2.006993 29.035047 -1395.878814 -625.193458
0.100000 1.969746 28.755520 -1409.533689 -653.151140
0.150000 2.000805 28.897084 -1402.283583 -633.974284
0.200000 1.983568 29.579613 -1372.731590 -611.041498
0.250000 1.991721 28.389292 -1428.688259 -663.867535
0.300000 2.018346 27.531261 -1463.830861 -688.786052
0.350000 1.999427 29.140865 -1392.766099 -624.986098
0.400000 2.018491 28.615382 -1415.000742 -639.900271
0.450000 1.978170 28.510285 -1420.195668 -660.578516
0.500000 2.009464 29.365083 -1387.008051 -615.373737
0.550000 1.994717 29.954056 -1356.815624 -590.844243
0.600000 2.042812 28.747029 -1414.156488 -629.716572
0.650000 1.998181 28.940679 -1399.094140 -631.792720
0.700000 1.981303 27.606596 -1458.211706 -697.391468
0.750000 1.943065 28.722414 -1406.350961 -660.214188
0.800000 1.992591 30.094500 -1354.252978 -589.098067
0.850000 2.028123 29.506746 -1381.269929 -602.470507
0.900000 2.013529 29.747829 -1366.185068 -592.990118
0.950000 1.986684 29.045584 -1397.467390 -634.580717
1.000000 2.006722 29.548171 -1373.784487 -603.203125
1.050000 2.016566 28.069081 -1439.877589 -665.516314
1.100000 1.977289 29.767503 -1362.213098 -602.934079
1.150000 2.031086 28.363052 -1430.227345 -650.290214
1.200000 2.013739 27.907021 -1448.479600 -675.203699
1.250000 2.004996 28.554455 -1419.741105 -649.822624
1.300000 1.977438 29.324231 -1382.928411 -623.592386
1.350000 2.045264 29.478985 -1381.005462 -595.624159
1.400000 1.998378 28.734204 -1412.792179 -645.414989
1.450000 2.012184 28.004767 -1442.394124 -669.715600
1.500000 2.006130 28.223080 -1433.824184 -663.470118
1.550000 1.982344 28.234918 -1430.261162 -669.040875
1.600000 2.017667 30.518168 -1329.434601 -554.650439
1.650000 1.978015 27.919494 -1447.651817 -688.094093
1.700000 2.025143 28.723786 -1412.275040 -634.620298
1.750000 1.985370 29.647700 -1371.458671 -609.076589
1.800000 1.975059 28.468330 -1423.272859 -664.850106
1.850000 1.995825 28.825190 -1405.764690 -639.367902
1.900000 2.019624 28.617775 -1421.532213 -645.996430
1.950000 1.955459 28.139634 -1435.219490 -684.323044
2.000000 2.006872 29.234315 -1393.981111 -623.342241
2.050000 2.008344 29.529636 -1374.805215 -603.601214
2.100000 2.004356 28.094440 -1439.843914 -670.171018
2.150000 1.989009 27.241056 -1479.367914 -715.588562
2.200000 1.970975 29.766046 -1362.728752 -605.874516
2.250000 1.998968 28.227588 -1434.099117 -666.495220
2.300000 1.969731 29.747318 -1366.224884 -609.848161
2.350000 2.018126 29.623535 -1374.010844 -599.050351
2.400000 2.022613 26.784626 -1497.498300 -720.814767
2.450000 1.965193 28.550380 -1413.668467 -659.034332
2.500000 1.966949 29.100781 -1392.905474 -637.597105
2.550000 2.044100 30.100955 -1348.261471 -563.326960
2.600000 2.023156 28.558879 -1417.513750 -640.621924
2.650000 2.011827 28.586944 -1417.039824 -644.498074
2.700000 1.996939 28.418501 -1424.764445 -657.939823
2.750000 1.985915 28.975050 -1399.522043 -636.930862
2.800000 2.018439 28.574808 -1419.523967 -644.443321
2.850000 2.013049 27.691604 -1460.533022 -687.522124
2.900000 1.991748 30.371607 -1337.915281 -573.083984
2.950000 2.014892 28.916842 -1400.619540 -626.901063
3.000000 1.955692 28.526253 -1416.954011 -665.968094
3.050000 1.982893 28.147061 -1438.188346 -676.757248
3.100000 1.979412 29.235524 -1387.092826 -626.998463
3.150000 2.013630 27.982936 -1444.670084 -671.436036
3.200000 2.013961 28.720259 -1411.043627 -637.682708
3.250000 1.992734 28.443496 -1426.345316 -661.135581
3.300000 2.007947 28.669970 -1412.363776 -641.311979
3.350000 1.960199 28.956491 -1397.309174 -644.592568
3.400000 2.005852 29.215305 -1391.677620 -621.430273
3.450000 2.005692 29.217966 -1388.786727 -618.600832
3.500000 1.973543 28.697003 -1410.384622 -652.544117
3.550000 1.993331 27.937045 -1445.542630 -680.103467
3.600000 1.983574 29.171122 -1386.896100 -625.203746
3.650000 2.031800 29.451549 -1378.407040 -598.195713
3.700000 1.992668 30.192193 -1344.916300 -579.731785
3.750000 1.994918 27.528222 -1462.992544 -696.944155
3.800000 1.989756 28.277440 -1431.151571 -667.085349
3.850000 1.991654 29.912331 -1361.394917 -596.599709
3.900000 2.015525 29.744263 -1367.102600 -593.140854
3.950000 2.000047 28.014109 -1443.817624 -675.799452
4.000000 2.045947 28.361343 -1432.615852 -646.972179
4.050000 1.981647 28.672014 -1413.310815 -652.358212
4.100000 1.983930 30.493473 -1331.646947 -569.817913
4.150000 2.008124 28.484565 -1422.046566 -650.927127
4.200000 1.966844 29.839773 -1361.490848 -606.222679
4.250000 2.011824 29.124808 -1395.641571 -623.101184
4.300000 2.031064 29.211052 -1391.457032 -611.528344
4.350000 1.996391 27.026620 -1487.174182 -720.560012
4.400000 1.995001 28.289096 -1431.182480 -665.102063
4.450000 1.975945 28.205884 -1435.320310 -676.557427
4.500000 2.000706 30.195082 -1347.589791 -579.318806
4.550000 2.013797 30.126486 -1350.144110 -576.845995
4.600000 2.013921 26.815244 -1501.050930 -727.705123
4.650000 1.973432 28.520679 -1417.654060 -659.856275
4.700000 1.989118 29.853339 -1359.540678 -595.719227
4.750000 2.051057 28.252784 -1434.448832 -646.843041
4.800000 2.036049 27.782764 -1454.777891 -672.935035
4.850000 1.993015 27.673931 -1456.965937 -691.648362
4.900000 1.980101 29.742159 -1366.855867 -606.497177
4.950000 2.049345 30.083682 -1354.112330 -567.163831
5.000000 1.997011 29.520224 -1375.262493 -608.410137
5.050000 2.024061 28.355676 -1428.268359 -651.029112
5.100000 1.981123 27.997261 -1443.223963 -682.472802
5.150000 1.987393 29.952358 -1355.441220 -592.282492
5.200000 1.997716 28.486624 -1422.022088 -654.899033
5.250000 1.979721 27.768057 -1451.439582 -691.226612
5.300000 2.001596 29.230214 -1388.939965 -620.326929
5.350000 2.010226 28.444597 -1423.486712 -651.559919
5.400000 2.017495 30.439184 -1333.093018 -558.374836
5.450000 2.037600 29.076711 -1397.570260 -615.131861
5.500000 2.010770 27.637556 -1459.732929 -687.597205
5.550000 1.990224 29.005650 -1398.975047 -634.729115
5.600000 2.005058 28.821553 -1407.134137 -637.191762
5.650000 2.035823 30.126359 -1352.838116 -571.082002
5.700000 1.999597 28.106682 -1439.761798 -671.916606
5.750000 2.048736 28.092702 -1445.233904 -658.519239
5.800000 1.944026 28.334125 -1425.884210 -679.378046
5.850000 2.002672 28.736651 -1411.138925 -642.113007
5.900000 2.005086 30.382347 -1340.445253 -570.492109
5.950000 1.991200 30.039758 -1352.380729 -587.760069
6.000000 2.006010 29.919784 -1356.451773 -586.143840
6.050000 2.017116 27.225334 -1482.322943 -707.750536
6.100000 1.929791 27.949511 -1443.307131 -702.267375
6.150000 2.004518 29.366561 -1383.341544 -613.606517
6.200000 1.957315 29.358702 -1383.689336 -632.080475
6.250000 2.002086 28.734505 -1410.526230 -641.725332
6.300000 2.018393 28.523712 -1422.449716 -647.386864
6.350000 1.988211 29.815105 -1360.059525 -596.586475
6.400000 1.987031 29.905130 -1356.507818 -593.487968
6.450000 1.992366 28.557694 -1418.197779 -653.129080
6.500000 1.986171 28.787383 -1409.627406 -646.937694
6.550000 1.980105 29.664696 -1368.667688 -608.307402
6.600000 2.045713 27.935733 -1449.258856 -663.705229
6.650000 1.997638 28.407675 -1424.187692 -657.094751
6.700000 1.985198 28.876082 -1403.979546 -641.663370
6.750000 1.982598 29.175005 -1389.419738 -628.102019
6.800000 1.965467 30.226766 -1342.374510 -587.635149
6.850000 2.029317 27.714297 -1458.042824 -678.785206
6.900000 1.967916 28.819919 -1407.253989 -651.574091
6.950000 1.979833 28.605663 -1415.526623 -655.270737
7.000000 1.984063 29.074288 -1392.420326 -630.540063
7.050000 1.992508 29.072763 -1392.845120 -627.721888
7.100000 1.997570 28.081097 -1440.264029 -673.197215
7.150000 1.997414 27.677480 -1459.507353 -692.500454
7.200000 1.968509 30.625296 -1326.089278 -570.181920
7.250000 2.030089 29.132473 -1397.203406 -617.649380
7.300000 2.023169 29.014421 -1398.974370 -622.077537
7.350000 1.995410 27.632480 -1464.110644 -697.873087
7.400000 2.027324 28.766913 -1408.451846 -629.959523
7.450000 2.001852 28.350533 -1427.958538 -659.247463
7.500000 1.970422 17.197495 -1541.543481 -784.901282
7.550000 1.990309 18.067388 -1503.199490 -738.920773
7.600000 2.007437 19.172504 -1452.692859 -681.837222
7.650000 2.014194 18.234759 -1499.398921 -725.948242
7.700000 2.028557 17.979233 -1505.112503 -726.146477
7.750000 2.013863 16.772708 -1564.451360 -791.128010
7.800000 1.991363 18.146996 -1497.082103 -732.398773
7.850000 1.980071 16.665339 -1569.802016 -809.454566
