# t Temp Pres Epot Etot
0.000000 2.041130 26.777425 -1498.626600 -714.832547
0.050000 1.937806 28.715497 -1409.084835 -664.967382
0.100000 1.988826 29.786290 -1363.941009 -600.231658
0.150000 2.018546 30.143372 -1352.835441 -577.713795
0.200000 2.003387 28.055565 -1441.208561 -671.907815
0.250000 1.986460 28.239007 -1433.263176 -670.462699
0.300000 2.041313 27.492482 -1469.060413 -685.196273
0.350000 1.987229 28.249508 -1434.072871 -670.977042
0.400000 1.989849 30.294030 -1341.970513 -577.868580
0.450000 2.035039 29.129515 -1397.563433 -616.108294
0.500000 2.010063 28.733291 -1415.361560 -643.497411
0.550000 1.980988 29.275756 -1385.521774 -624.822213
0.600000 1.981681 28.674747 -1409.128024 -648.162425
0.650000 1.995222 28.492368 -1422.420053 -656.254623
0.700000 1.960921 28.573646 -1419.726700 -666.733219
0.750000 1.978924 29.716971 -1367.952848 -608.045962
0.800000 2.040204 28.919695 -1403.891887 -620.453715
0.850000 1.990302 29.171134 -1390.883970 -626.607857
0.900000 2.009091 29.014589 -1396.889992 -625.398999
0.950000 1.999590 29.207260 -1390.353676 -622.511106
1.000000 1.988866 28.878703 -1400.648659 -636.924098
1.050000 1.993484 29.033565 -1396.677684 -631.179710
1.100000 2.006257 29.693524 -1368.624673 -598.221952
1.150000 1.976131 29.058884 -1393.935797 -635.101444
1.200000 2.001110 29.309968 -1385.137294 -616.711047
1.250000 1.993066 28.476980 -1422.205932 -656.868774
1.300000 2.010385 28.756227 -1411.444240 -639.456333
1.350000 1.998513 28.289178 -1431.292406 -663.863356
1.400000 1.994121 29.453231 -1378.204139 -612.461770
1.450000 2.005129 28.509639 -1421.495584 -651.525869
1.500000 1.999568 28.514276 -1423.000877 -655.166577
1.550000 2.035608 29.846811 -1363.629630 -581.956090
1.600000 1.999593 29.384374 -1381.616768 -613.773116
1.650000 1.991472 28.945347 -1399.964392 -635.239275
1.700000 1.975455 27.480679 -1468.644924 -710.070180
1.750000 2.017503 30.409636 -1336.139791 -561.418624
1.800000 2.027522 29.432084 -1381.178784 -602.610254
1.850000 1.994376 29.097109 -1394.402579 -628.562358
1.900000 2.005673 28.421513 -1424.648843 -654.470295
1.950000 1.995737 29.864717 -1361.949271 -595.586309
