# t Temp Pres Epot Etot
0.000000 1.960516 29.332921 -1382.880710 -630.042561
0.050000 1.999347 28.794286 -1407.195340 -639.446177
0.100000 2.007106 28.609700 -1415.627568 -644.898692
0.150000 1.987801 28.446284 -1425.003127 -661.687427
0.200000 2.035566 29.586250 -1375.033106 -593.375918
0.250000 1.977825 29.895494 -1357.406985 -597.922191
0.300000 2.006184 28.936858 -1403.598364 -633.223845
0.350000 2.048216 28.646329 -1418.538099 -632.023058
0.400000 1.998022 27.803903 -1452.422264 -685.181992
0.450000 1.987144 28.786881 -1410.987153 -647.923962
0.500000 1.996471 28.888600 -1403.308975 -636.664091
0.550000 2.018543 28.295951 -1427.711647 -652.591135
0.600000 1.943716 29.121237 -1391.859359 -645.472467
0.650000 1.993421 30.450482 -1335.640264 -570.166514
0.700000 2.017107 28.821509 -1409.902260 -635.332994
0.750000 2.024890 29.451277 -1380.372614 -602.814764
0.800000 2.007256 27.716430 -1457.495217 -686.709001
0.850000 1.982804 28.343954 -1429.185341 -667.788430
0.900000 1.991975 29.313018 -1380.969220 -616.050680
0.950000 2.009454 29.125330 -1392.758619 -621.128430
1.000000 2.001484 28.494252 -1423.898062 -655.328155
1.050000 2.010868 30.225804 -1345.749822 -573.576544
1.100000 1.973918 29.002193 -1397.146986 -639.162297
1.150000 1.986292 28.790458 -1409.441604 -646.705357
1.200000 1.970641 28.792926 -1410.147356 -653.421366
1.250000 2.013769 28.756572 -1409.851224 -636.563996
1.300000 1.984916 29.031772 -1398.613000 -636.405319
1.350000 1.990677 28.594698 -1418.677311 -654.257457
1.400000 1.980425 29.250884 -1386.489266 -626.006198
1.450000 2.000763 29.434199 -1381.686531 -613.393576
1.500000 2.006699 28.646987 -1416.850361 -646.278024
1.550000 1.975654 29.549949 -1373.493554 -614.842600
1.600000 1.991447 27.905028 -1448.111666 -683.396046
1.650000 2.022217 28.195863 -1437.716544 -661.185065
1.700000 2.020812 29.028516 -1398.949928 -622.957999
1.750000 1.995242 30.039032 -1351.241744 -585.068986
1.800000 2.000630 27.796696 -1453.989065 -685.747016
1.850000 1.981357 28.699010 -1412.924756 -652.083700
