# t Temp Pres Epot Etot
0.000000 2.040022 28.849275 -1408.124091 -624.755804
0.050000 1.982400 28.653916 -1414.476846 -653.235082
0.100000 2.005666 27.874568 -1450.144940 -679.969142
0.150000 1.996573 27.479064 -1466.604233 -699.920114
0.200000 1.979196 29.144396 -1394.025195 -634.013835
0.250000 1.994865 29.173219 -1389.547241 -623.519271
0.300000 1.970898 29.334869 -1381.665109 -624.840379
0.350000 2.024312 28.072165 -1440.757708 -663.422044
0.400000 2.017147 29.408773 -1380.394177 -605.809612
0.450000 2.002956 29.622011 -1367.248388 -598.113125
0.500000 2.019434 28.888948 -1404.986940 -629.524239
0.550000 1.965546 28.099481 -1436.865580 -682.095789
0.600000 1.960986 28.297357 -1427.721114 -674.702511
0.650000 2.003898 29.173699 -1392.953839 -623.456913
0.700000 2.002686 29.922320 -1357.547370 -588.515966
0.750000 1.984288 29.937319 -1356.581905 -594.615204
0.800000 2.029681 28.475618 -1424.762712 -645.365305
0.850000 2.013125 28.422246 -1426.833161 -653.793231
0.900000 1.966422 27.708759 -1457.367524 -702.261358
0.950000 2.004681 29.457513 -1381.764626 -611.967205
1.000000 1.982201 29.355637 -1383.234741 -622.069397
1.050000 1.995974 28.846122 -1408.379104 -641.925031
1.100000 2.000744 28.413800 -1424.024321 -655.738704
1.150000 2.048257 28.844455 -1406.394462 -619.863859
1.200000 1.993556 28.107632 -1437.192000 -671.666542
1.250000 1.970179 28.932950 -1398.224159 -641.675528
1.300000 2.027997 29.853882 -1363.508421 -584.757384
1.350000 1.980399 28.391655 -1423.438247 -662.964905
1.400000 2.009734 28.381791 -1426.148198 -654.410236
1.450000 2.009005 28.982996 -1400.086942 -628.629064
1.500000 1.966979 28.809399 -1407.396107 -652.076054
1.550000 2.054817 28.605429 -1417.805794 -628.755960
1.600000 1.982759 28.819793 -1405.180954 -643.801673
1.650000 1.982616 29.170214 -1388.922421 -627.597782
1.700000 1.989658 28.682598 -1411.856347 -647.827671
1.750000 2.040241 27.547510 -1466.488238 -683.035614
1.800000 1.991368 28.460558 -1423.687651 -659.002456
1.850000 2.029410 29.488273 -1377.298123 -598.004872
1.900000 1.980191 29.703601 -1370.193152 -609.799965
1.950000 2.017695 29.544519 -1376.578519 -601.783746
2.000000 2.002736 27.408956 -1471.864192 -702.813602
2.050000 1.978705 27.880988 -1446.564287 -686.741564
2.100000 1.995324 28.988759 -1396.184347 -629.979768
2.150000 2.042261 30.499192 -1330.635004 -546.406761
2.200000 2.015901 27.592483 -1463.691586 -689.585466
2.250000 1.971106 28.029451 -1439.731123 -682.826309
2.300000 1.971087 28.595381 -1417.127590 -660.230215
2.350000 2.019007 29.657038 -1369.764244 -594.465674
2.400000 2.028439 28.843521 -1408.710671 -629.790227
2.450000 2.007237 28.678545 -1413.888994 -643.109855
2.500000 1.969121 28.581444 -1416.363686 -660.221072
2.550000 2.015049 28.924189 -1397.526915 -623.748157
2.600000 1.994801 28.341265 -1424.197188 -658.193551
2.650000 2.001853 28.832118 -1408.145894 -639.434180
2.700000 2.008667 28.293440 -1431.211570 -659.883511
2.750000 1.987096 29.270350 -1388.984298 -625.939582
2.800000 2.006952 29.463586 -1379.605915 -608.936510
2.850000 2.019222 29.915615 -1358.420750 -583.039527
2.900000 2.002585 27.658804 -1456.885574 -687.892938
2.950000 2.028033 29.750007 -1364.515000 -585.750149
3.000000 1.998244 28.947799 -1399.114914 -631.789355
3.050000 1.988892 28.109421 -1437.341962 -673.607414
3.100000 2.001780 28.514616 -1419.610251 -650.926837
3.150000 1.985055 29.257901 -1388.504277 -626.243223
3.200000 1.981148 29.604523 -1370.788927 -610.028123
3.250000 2.007143 29.510186 -1377.370669 -606.627759
3.300000 1.991426 27.962475 -1445.082143 -680.374442
3.350000 2.021076 29.532448 -1374.704014 -598.610773
3.400000 2.002283 30.369259 -1339.032832 -570.156091
3.450000 2.022863 28.274935 -1430.227228 -653.447786
3.500000 1.983016 27.883544 -1449.930193 -688.451877
3.550000 1.954107 28.698181 -1411.134301 -660.757147
3.600000 2.022608 28.698650 -1414.425399 -637.743915
3.650000 2.029731 28.262610 -1434.330685 -654.914110
