# t Temp Pres Epot Etot
0.000000 2.010233 28.059146 -1440.597397 -668.667976
0.050000 2.010592 28.267260 -1433.806343 -661.739158
0.100000 2.017187 28.911315 -1400.438151 -625.838241
0.150000 1.975118 30.252103 -1341.114238 -582.668810
0.200000 1.974354 29.590864 -1370.840626 -612.688640
0.250000 2.014629 28.780149 -1411.749996 -638.132361
0.300000 1.979355 28.781971 -1409.964071 -649.891583
0.350000 2.028056 28.727615 -1412.983639 -634.210206
0.400000 2.001816 28.298160 -1432.112329 -663.414979
0.450000 2.000106 28.696687 -1413.070282 -645.029728
0.500000 1.980988 28.711106 -1410.248266 -649.548846
0.550000 2.027701 28.774095 -1410.249843 -631.612718
0.600000 1.943342 29.911505 -1351.226836 -604.983417
0.650000 2.045361 28.377511 -1424.934533 -639.516003
0.700000 1.996376 27.914362 -1447.078091 -680.469753
0.750000 1.958539 29.492979 -1374.000071 -621.921104
0.800000 1.955631 29.400390 -1375.717455 -624.755271
0.850000 1.989200 29.224919 -1388.186325 -624.333553
0.900000 2.000307 28.188506 -1434.643777 -666.525988
0.950000 2.002736 28.360553 -1428.897597 -659.846964
1.000000 2.030112 28.751109 -1412.775312 -633.212316
1.050000 1.977021 28.709279 -1408.587436 -649.411218
1.100000 1.980845 28.462073 -1423.680787 -663.036447
1.150000 2.019104 29.581087 -1375.048864 -599.713091
1.200000 1.987233 28.539653 -1419.564843 -656.467359
1.250000 2.026223 29.006889 -1399.220354 -621.150531
1.300000 1.980846 28.142476 -1437.028257 -676.383561
1.350000 1.984200 28.862048 -1403.701386 -641.768558
1.400000 1.986235 28.854631 -1404.854262 -642.139941
1.450000 1.996071 29.487195 -1376.326373 -609.835016
1.500000 2.015197 28.569425 -1419.352173 -645.516381
1.550000 2.028736 28.467428 -1420.885993 -641.851407
1.600000 2.011891 27.404768 -1470.758129 -698.191924
1.650000 2.002784 30.206857 -1345.844475 -576.775508
1.700000 2.058366 29.153517 -1393.324686 -602.912282
1.750000 2.003130 28.197795 -1431.194567 -661.992586
1.800000 2.007682 27.119807 -1481.090347 -710.140454
1.850000 1.976982 29.519343 -1376.700555 -617.539531
1.900000 2.036130 28.674512 -1414.673536 -632.799656
1.950000 1.990610 29.634766 -1370.683044 -606.288948
2.000000 1.995870 28.745306 -1405.750918 -639.336980
2.050000 1.964700 28.275230 -1429.901582 -675.456707
2.100000 1.993087 28.703968 -1414.219971 -648.874425
2.150000 2.013544 28.268733 -1432.139551 -658.938606
2.200000 1.995837 28.308946 -1431.092568 -664.690991
2.250000 1.973902 30.166111 -1345.971595 -587.993293
2.300000 2.055013 28.984624 -1403.896111 -614.771045
