# t Temp Pres Epot Etot
0.000000 2.040293 28.590304 -1416.870956 -633.398361
0.050000 1.996956 27.905590 -1446.131579 -679.300623
0.100000 1.963450 28.302723 -1429.500323 -675.535533
0.150000 2.011777 29.341955 -1386.107812 -613.585540
0.200000 1.995156 29.815651 -1360.482159 -594.342236
0.250000 1.999780 27.677203 -1458.326723 -690.411159
0.300000 1.986780 27.808040 -1451.670632 -688.747166
0.350000 1.997752 27.434467 -1468.532874 -701.396017
0.400000 1.982672 29.659557 -1370.209609 -608.863421
0.450000 2.013883 28.535354 -1423.412468 -650.081416
0.500000 1.972109 29.432682 -1376.824703 -619.534674
0.550000 2.031603 29.634590 -1372.869636 -592.734259
0.600000 2.039279 27.947034 -1446.467560 -663.384597
0.650000 1.967330 29.460022 -1375.092002 -619.637203
0.700000 2.034167 29.317602 -1383.426565 -602.306546
0.750000 2.018672 27.570455 -1463.414435 -688.244492
0.800000 1.967811 27.763288 -1451.725954 -696.086581
0.850000 2.003457 29.932582 -1356.488834 -587.161434
0.900000 1.995196 30.552829 -1326.904061 -560.748895
0.950000 2.015305 27.846489 -1450.895550 -677.018542
1.000000 1.980137 28.318605 -1426.117951 -665.745262
1.050000 1.970634 27.320151 -1471.823547 -715.100182
1.100000 2.002581 30.943960 -1311.316859 -542.325563
1.150000 2.013760 28.585359 -1418.803893 -645.520213
1.200000 1.980193 28.266049 -1431.442210 -671.048034
1.250000 2.019633 29.240388 -1387.808243 -612.269329
1.300000 1.968109 27.811239 -1452.093664 -696.339819
1.350000 2.022951 31.021736 -1310.481212 -533.668147
1.400000 2.006361 28.450358 -1426.395109 -655.952388
1.450000 2.017725 29.086010 -1397.359017 -622.552486
1.500000 2.012304 28.969384 -1400.226379 -627.501589
1.550000 2.002757 28.170556 -1432.892886 -663.834054
1.600000 1.969287 29.385643 -1381.053811 -624.847462
1.650000 1.996411 29.103295 -1393.943167 -627.321258
1.700000 1.985236 28.233657 -1433.636342 -671.305720
1.750000 1.980045 29.492551 -1377.533893 -617.196621
1.800000 1.997250 30.092293 -1349.586337 -582.642242
1.850000 2.036292 28.586513 -1419.501937 -637.565686
1.900000 1.971992 27.055947 -1480.609861 -723.364795
1.950000 1.998094 28.198091 -1435.231781 -667.963698
2.000000 1.997700 28.656906 -1415.484166 -648.367537
2.050000 1.979124 30.359904 -1338.491774 -578.508183
2.100000 2.082013 28.528404 -1422.804031 -623.311226
2.150000 2.000059 27.455570 -1468.898352 -700.875678
2.200000 1.998389 28.565535 -1418.772585 -651.391312
2.250000 2.030273 28.487281 -1422.313792 -642.689124
2.300000 1.975815 29.089565 -1394.961485 -636.248649
2.350000 2.037489 28.460350 -1426.854979 -644.459136
2.400000 1.997611 28.393223 -1424.015097 -656.932285
2.450000 1.982995 28.283267 -1427.148695 -665.678518
2.500000 1.987269 28.759304 -1408.359433 -645.248079
2.550000 2.017960 28.845167 -1408.394942 -633.498139
2.600000 1.978534 29.490776 -1376.531191 -616.774313
2.650000 2.028400 29.328093 -1387.389658 -608.483951
2.700000 1.993703 28.041352 -1443.594856 -678.012979
2.750000 2.036012 29.525807 -1378.253152 -596.424708
2.800000 2.057265 28.079678 -1442.641568 -652.651985
2.850000 1.983110 27.761855 -1453.962233 -692.448184
2.900000 1.969081 29.512124 -1378.259438 -622.132269
2.950000 2.029892 28.758250 -1411.472233 -631.993875
3.000000 2.006591 29.233202 -1387.068163 -616.537336
3.050000 2.008567 28.996168 -1400.839125 -629.549452
3.100000 2.032623 28.487213 -1428.401325 -647.874175
3.150000 2.001557 28.451755 -1422.914954 -654.317130
3.200000 2.003525 28.916199 -1400.459933 -631.106500
3.250000 2.022590 28.184596 -1436.690697 -660.015971
3.300000 2.008700 28.470224 -1423.295821 -651.955142
3.350000 1.969286 29.434704 -1375.414273 -619.208344
3.400000 1.974723 29.292833 -1382.004363 -623.710597
3.450000 1.984851 28.418658 -1425.015440 -662.832602
3.500000 1.989019 29.461588 -1378.471024 -614.687782
3.550000 1.982907 28.537837 -1418.484715 -657.048294
3.600000 1.982226 28.703915 -1410.582192 -649.407483
3.650000 1.993675 29.488444 -1375.896044 -610.324665
3.700000 2.008864 28.941915 -1402.499663 -631.095713
3.750000 2.006360 29.047807 -1397.741346 -627.299214
3.800000 2.004612 28.255336 -1430.268635 -660.497695
3.850000 2.013749 27.823770 -1448.325786 -675.046002
3.900000 1.961150 27.728852 -1454.136245 -701.054669
3.950000 1.990609 30.146374 -1348.120056 -583.726310
4.000000 2.010629 29.961741 -1359.006002 -586.924422
4.050000 1.967385 30.019668 -1354.152743 -598.676948
4.100000 2.005584 30.067343 -1350.507379 -580.363157
4.150000 1.999695 29.174187 -1388.533834 -620.650934
4.200000 1.989738 27.490949 -1467.279775 -703.220196
4.250000 2.042191 29.567857 -1373.817448 -589.616072
4.300000 1.990284 28.187266 -1433.341026 -669.072094
4.350000 1.990593 28.461580 -1421.849471 -657.461697
4.400000 1.976691 29.338559 -1382.659708 -623.610477
4.450000 1.970287 30.224829 -1343.054359 -586.464059
4.500000 2.058510 29.999952 -1358.248352 -567.780574
4.550000 2.047297 28.700923 -1413.493067 -627.330862
4.600000 1.978654 28.397880 -1423.840802 -664.037511
4.650000 2.008237 28.025588 -1440.895610 -669.732693
4.700000 2.011713 28.518825 -1423.913723 -651.415977
4.750000 2.000016 28.325689 -1434.936457 -666.930459
4.800000 1.991451 29.687127 -1367.991001 -603.274000
4.850000 2.005166 30.141514 -1348.929959 -578.946186
4.900000 1.985959 28.455718 -1422.648393 -660.040280
4.950000 2.032885 27.385249 -1472.168065 -691.540348
5.000000 2.005932 29.002059 -1399.417623 -629.139593
5.050000 1.996973 28.908492 -1403.431338 -636.593887
5.100000 2.001947 27.829108 -1452.704208 -683.956629
5.150000 2.011242 27.892873 -1450.348681 -678.031936
5.200000 2.010179 29.935156 -1357.146556 -585.237843
5.250000 1.989009 29.095000 -1393.078166 -629.298620
5.300000 2.009017 27.889332 -1446.012004 -674.549305
5.350000 1.975091 27.797960 -1452.744638 -694.309511
5.400000 1.971181 30.224092 -1340.613904 -583.680222
5.450000 1.992698 28.920806 -1403.269544 -638.073559
5.500000 1.978673 29.964498 -1353.863111 -594.052666
5.550000 2.006336 29.196855 -1391.640602 -621.207747
5.600000 2.011343 28.232327 -1433.638223 -661.282486
5.650000 2.009458 28.778853 -1410.912975 -639.281080
5.700000 1.997956 28.769412 -1406.827487 -639.612558
5.750000 1.994520 28.263801 -1433.314143 -667.418599
5.800000 1.963635 29.643216 -1370.852035 -616.816126
5.850000 1.978162 30.245696 -1340.815111 -581.200970
5.900000 2.011975 29.602533 -1371.800213 -599.201649
5.950000 2.001124 27.986405 -1442.455306 -674.023635
6.000000 2.004527 27.549510 -1464.724423 -694.986021
6.050000 1.993260 28.772356 -1405.872498 -640.460728
6.100000 1.971560 29.283533 -1386.917075 -629.838066
6.150000 2.035186 29.106477 -1397.248065 -615.736482
6.200000 1.998123 28.450708 -1426.323166 -659.043910
6.250000 1.962580 28.478633 -1421.814065 -668.183413
6.300000 2.025650 28.662900 -1415.921088 -638.071365
6.350000 2.000892 28.339041 -1429.526693 -661.184324
6.400000 1.979364 28.973778 -1401.204908 -641.129183
6.450000 1.983437 28.861086 -1401.523872 -639.883880
6.500000 2.023592 29.722843 -1366.509278 -589.449804
6.550000 2.007972 28.622808 -1412.556435 -641.495217
6.600000 1.956093 28.281913 -1428.881189 -677.741602
6.650000 2.010301 28.347460 -1428.374566 -656.419137
6.700000 1.986211 30.310186 -1339.922036 -577.216928
6.750000 1.991778 27.836846 -1450.382679 -685.539959
6.800000 1.987114 29.097505 -1391.940379 -628.888589
6.850000 2.020911 28.762953 -1411.293734 -635.264057
6.900000 1.992738 29.340174 -1383.015389 -617.804068
6.950000 2.007418 30.256911 -1343.019788 -572.171441
7.000000 1.975841 29.695475 -1366.858013 -608.135099
7.050000 2.021891 28.612944 -1417.444707 -641.038474
7.100000 1.984422 27.650338 -1462.100165 -700.082017
7.150000 1.992892 28.277345 -1430.689051 -665.418480
7.200000 2.033677 30.747102 -1324.427114 -543.495276
7.250000 1.994500 27.780240 -1453.655582 -687.767633
7.300000 2.012208 27.938454 -1446.631062 -673.943076
7.350000 1.992787 28.587086 -1415.710312 -650.480098
7.400000 1.991999 28.813707 -1407.207136 -642.279640
7.450000 2.016632 28.417653 -1428.934728 -654.548232
