# t Temp Pres Epot Etot
0.000000 2.011250 30.016081 -1355.060215 -582.740040
0.050000 2.007892 28.162334 -1437.502023 -666.471674
0.100000 2.014828 28.197594 -1436.847356 -663.153275
0.150000 1.985918 28.494730 -1421.136543 -658.544009
0.200000 2.003016 30.129465 -1348.340207 -579.181959
0.250000 2.016194 28.392762 -1424.254750 -650.036095
0.300000 1.983789 26.876861 -1491.993778 -730.218893
0.350000 1.968011 29.742566 -1363.631585 -607.915247
0.400000 2.032179 28.841124 -1409.961782 -629.604944
0.450000 1.968382 29.855560 -1359.413534 -603.554765
0.500000 2.054687 28.179153 -1440.084838 -651.085082
0.550000 1.993104 27.676370 -1456.800566 -691.448601
0.600000 1.978649 28.649225 -1411.468280 -651.666971
0.650000 1.971602 29.256329 -1387.017348 -629.922040
0.700000 2.011311 30.997953 -1307.647117 -535.303724
0.750000 1.968681 28.074760 -1438.029683 -682.056267
0.800000 1.988564 28.414959 -1423.315314 -659.706558
0.850000 1.979582 29.242949 -1384.609185 -624.449751
0.900000 2.016120 28.616277 -1416.193208 -642.002940
0.950000 2.015873 28.389197 -1428.540643 -654.445333
1.000000 1.945625 29.160081 -1386.834745 -639.714890
1.050000 1.986466 30.096865 -1346.362718 -583.559735
1.100000 2.011669 28.321134 -1427.417619 -654.936778
1.150000 1.980357 27.364215 -1469.787365 -709.330317
1.200000 1.985599 28.757660 -1405.524024 -643.053941
1.250000 2.013907 29.716180 -1366.316491 -592.976365
1.300000 1.998419 29.043625 -1400.464879 -633.071956
1.350000 1.998565 29.599911 -1371.174184 -603.725265
1.400000 2.024859 28.646290 -1417.484798 -639.939095
1.450000 1.983415 28.178023 -1433.295485 -671.664152
1.500000 1.984262 28.439031 -1424.840395 -662.883709
1.550000 1.990206 28.683815 -1412.340175 -648.101258
1.600000 1.990490 29.513109 -1375.667268 -611.319053
1.650000 2.014452 28.664286 -1419.847417 -646.297664
1.700000 1.972933 28.661033 -1414.941328 -657.335041
1.750000 2.032275 28.253605 -1435.069841 -654.676429
1.800000 1.985590 29.617649 -1369.623990 -607.157401
1.850000 1.978646 28.318464 -1430.639266 -670.839135
1.900000 2.033573 29.142800 -1397.515211 -616.623310
1.950000 1.997921 27.963324 -1446.380430 -679.178751
2.000000 1.978447 29.434907 -1379.355489 -619.631710
2.050000 2.004772 28.081337 -1441.221579 -671.389086
2.100000 2.009866 29.627059 -1372.657240 -600.868847
2.150000 1.972348 29.393788 -1383.983036 -626.601448
2.200000 2.010763 29.041130 -1399.527471 -627.394343
2.250000 2.044852 29.570843 -1375.491510 -590.268440
2.300000 2.023989 28.447176 -1426.544263 -649.332574
2.350000 1.994645 27.688823 -1457.005975 -691.062216
2.400000 2.026371 27.196508 -1478.893836 -700.767191
2.450000 1.974791 28.846142 -1404.368863 -646.048942
2.500000 2.022069 29.653351 -1372.553616 -596.079118
2.550000 1.974926 29.759215 -1369.844598 -611.473000
2.600000 2.024376 30.467190 -1332.772505 -555.412062
2.650000 2.010393 28.605528 -1417.859293 -645.868361
2.700000 1.972553 27.603616 -1461.281185 -703.820718
2.750000 2.012786 30.204048 -1347.949958 -575.040120
2.800000 2.029499 29.763564 -1365.316565 -585.989133
2.850000 1.986738 28.086731 -1438.611196 -675.703891
2.900000 2.013675 27.903579 -1451.388569 -678.137308
2.950000 2.013573 28.899846 -1400.434363 -627.222367
3.000000 1.976536 28.715185 -1410.621596 -651.631904
3.050000 2.029814 28.789305 -1411.500067 -632.051300
3.100000 2.000246 28.678208 -1413.218629 -645.124217
3.150000 2.020750 28.452379 -1426.437015 -650.468977
3.200000 1.989829 29.155189 -1390.418387 -626.323873
3.250000 1.986777 28.612252 -1416.675816 -653.753435
3.300000 2.023251 28.666364 -1416.989651 -640.061385
3.350000 1.974509 29.159422 -1392.446235 -634.234692
3.400000 2.029673 29.233934 -1386.754648 -607.360240
3.450000 1.989542 28.452052 -1420.952961 -656.968867
3.500000 2.023379 29.081038 -1396.829774 -619.852403
3.550000 2.004717 27.577736 -1462.461131 -692.649769
3.600000 2.001313 29.093265 -1393.103983 -624.599930
3.650000 1.993577 28.678055 -1412.314551 -646.781029
3.700000 2.002628 29.156350 -1390.426080 -621.416985
3.750000 1.982092 29.413502 -1381.970745 -620.847267
3.800000 2.021801 28.213528 -1435.859800 -659.488246
3.850000 1.988636 28.465506 -1421.383933 -657.747742
3.900000 2.003019 30.026137 -1354.385825 -585.226407
3.950000 1.986580 28.732598 -1409.809964 -646.963233
4.000000 2.016546 28.702273 -1415.295288 -640.941470
4.050000 1.969283 27.779335 -1452.294989 -696.090190
4.100000 2.026723 28.663647 -1414.891739 -636.630159
4.150000 1.993886 28.057178 -1440.161433 -674.509093
4.200000 2.022250 29.443315 -1379.593485 -603.049657
4.250000 1.954688 29.566914 -1370.873313 -620.273270
4.300000 1.978652 30.591566 -1328.425611 -568.623143
4.350000 2.021680 28.385750 -1429.489083 -653.163930
4.400000 1.987176 28.151922 -1436.280583 -673.205007
4.450000 1.993293 27.823615 -1450.190930 -684.766590
4.500000 2.042336 29.785492 -1366.974300 -582.717141
4.550000 1.996723 28.285635 -1431.040856 -664.299105
4.600000 2.022604 28.398738 -1425.959357 -649.279532
4.650000 2.010360 28.832526 -1404.350406 -632.372178
4.700000 1.989918 29.680905 -1371.501060 -607.372602
4.750000 2.036450 29.194696 -1393.271862 -611.275240
4.800000 1.965447 29.162216 -1391.347765 -636.616271
4.850000 2.019725 29.397186 -1377.148233 -601.573983
4.900000 2.018737 28.534035 -1420.352504 -645.157622
4.950000 1.955012 28.028239 -1440.430198 -689.705722
5.000000 1.971191 29.249102 -1384.918713 -627.981385
5.050000 2.024776 28.602062 -1419.069348 -641.555487
5.100000 1.978656 30.184951 -1346.654263 -586.850254
5.150000 1.992847 28.720961 -1412.482161 -647.229022
5.200000 1.997997 29.136154 -1395.369748 -628.138716
5.250000 2.026105 28.347467 -1431.222017 -653.197715
5.300000 1.978815 28.419181 -1422.127759 -662.262727
5.350000 2.012166 28.279857 -1430.208992 -657.537437
5.400000 1.965740 29.630695 -1371.056301 -616.212022
5.450000 1.962247 30.069987 -1352.271503 -598.768830
5.500000 2.039112 27.496635 -1467.754511 -684.735487
5.550000 2.003176 27.819300 -1453.655807 -684.436293
5.600000 1.998128 28.713625 -1414.390389 -647.109414
5.650000 1.999903 29.952027 -1357.117669 -589.154988
5.700000 2.012517 28.740899 -1411.565323 -638.758664
5.750000 1.954103 28.634941 -1413.191012 -662.815463
5.800000 2.034457 28.842203 -1408.878478 -627.646933
5.850000 1.982498 29.904789 -1354.844064 -593.564980
5.900000 1.997048 27.209319 -1478.368942 -711.502511
5.950000 1.999475 28.097450 -1439.565118 -671.766870
6.000000 1.974645 30.257802 -1338.675720 -580.411942
6.050000 1.988662 28.990596 -1399.433587 -635.787449
6.100000 1.998580 28.997422 -1400.378887 -632.924014
6.150000 1.998998 28.456095 -1422.189592 -654.574295
6.200000 1.963846 29.740769 -1363.429204 -609.312258
6.250000 2.030082 29.139205 -1399.723098 -620.171437
6.300000 2.034409 27.098890 -1484.938230 -703.725165
6.350000 1.990481 29.369622 -1380.386936 -616.042255
6.400000 1.975101 30.603330 -1327.394371 -568.955703
6.450000 2.019013 27.489044 -1469.321211 -694.020146
6.500000 2.024153 28.357955 -1431.779724 -654.504873
6.550000 2.003925 28.532367 -1418.873053 -649.365786
6.600000 1.993814 29.384107 -1384.154072 -618.529461
6.650000 2.009731 28.373869 -1428.433074 -656.696335
6.700000 2.010250 29.914937 -1358.366897 -586.431071
6.750000 2.009975 28.608008 -1419.573630 -647.743041
6.800000 2.005825 28.337568 -1430.304467 -660.067788
6.850000 1.971165 28.659733 -1410.945889 -654.018542
6.900000 1.990138 29.087610 -1393.373652 -629.160538
6.950000 1.989714 30.093794 -1350.009553 -585.959275
7.000000 1.982625 28.740954 -1410.439596 -649.111505
7.050000 1.996094 28.693793 -1411.337257 -644.837244
7.100000 2.030357 28.351542 -1428.662575 -649.005492
7.150000 2.002611 26.927619 -1491.827035 -722.824352
7.200000 1.978421 29.167277 -1391.339426 -631.625641
7.250000 2.000911 28.950812 -1399.024855 -630.674852
7.300000 1.989898 28.745297 -1409.558732 -645.438090
7.350000 2.020232 28.793771 -1408.467471 -632.698546
7.400000 1.960894 29.946863 -1353.190700 -600.207337
7.450000 2.023773 28.358220 -1429.632068 -652.503205
7.500000 2.014046 15.866835 -1604.557738 -831.164108
7.550000 1.997945 17.521666 -1526.843273 -759.632517
7.600000 1.997509 17.836713 -1510.763248 -743.719882
7.650000 1.995085 17.225718 -1543.318560 -777.205874
7.700000 1.977847 17.615993 -1519.021654 -759.528367
7.750000 2.021035 17.736696 -1518.722364 -742.644794
