# t Temp Pres Epot Etot
0.000000 2.028377 28.065076 -1443.210704 -664.314077
0.050000 2.007905 27.722732 -1456.441199 -685.405635
0.100000 1.990327 28.901523 -1402.043414 -637.757668
0.150000 1.992859 28.884546 -1404.698965 -639.441216
0.200000 2.025578 29.044161 -1401.982638 -624.160794
0.250000 1.988956 29.161340 -1390.567852 -626.808909
0.300000 2.019060 29.085308 -1393.841648 -618.522704
0.350000 2.028737 27.609257 -1465.720409 -686.685437
0.400000 2.007620 28.738678 -1407.147319 -636.221269
0.450000 1.989292 29.574476 -1374.402118 -610.513947
0.500000 2.010487 28.474720 -1422.334111 -650.307027
0.550000 1.999702 28.181192 -1438.390805 -670.505150
0.600000 2.007405 29.468680 -1378.048415 -607.204821
0.650000 2.003948 28.661239 -1414.371593 -644.855625
0.700000 1.984702 29.752515 -1363.281888 -601.156488
0.750000 1.997075 28.767133 -1408.134240 -641.257594
0.800000 1.970228 27.600222 -1463.005136 -706.437585
0.850000 2.024746 29.351490 -1387.957931 -610.455592
0.900000 1.999759 30.191356 -1346.590148 -578.682793
0.950000 2.026950 29.376149 -1387.765717 -609.417096
1.000000 2.002302 26.894785 -1496.801186 -727.917128
1.050000 1.964802 28.955445 -1401.367543 -646.883683
1.100000 2.015012 29.069933 -1399.279224 -625.514599
1.150000 2.018942 28.243642 -1432.971094 -657.697322
1.200000 1.986297 28.461060 -1424.365277 -661.627080
1.250000 1.990169 28.267079 -1432.488808 -668.263821
1.300000 2.007236 29.221990 -1391.769980 -620.991368
1.350000 1.972254 28.174240 -1435.465185 -678.119543
1.400000 2.021197 29.714449 -1365.229023 -589.089322
1.450000 1.991547 28.844431 -1404.472252 -639.718133
1.500000 2.013512 28.644263 -1416.848363 -643.659756
1.550000 1.990704 28.018061 -1444.106659 -679.676263
1.600000 2.001520 28.459578 -1424.565162 -655.981384
1.650000 1.991942 28.327515 -1430.202268 -665.296599
1.700000 2.000352 28.718682 -1414.044265 -645.909149
1.750000 2.005130 30.272989 -1343.969701 -573.999694
1.800000 2.029035 29.014716 -1402.304040 -623.154474
1.850000 1.992665 28.160170 -1439.442671 -674.259379
1.900000 2.001311 27.830655 -1453.547937 -685.044527
1.950000 1.988902 29.498253 -1377.688106 -613.949721
2.000000 1.987347 28.480545 -1423.907016 -660.765788
2.050000 2.027602 28.694338 -1415.384784 -636.785504
2.100000 2.003477 28.426495 -1422.047322 -652.712142
2.150000 1.985592 29.089492 -1394.877556 -632.410039
2.200000 1.973681 29.264550 -1389.279280 -631.385928
2.250000 2.012014 27.675213 -1460.221972 -687.608690
2.300000 1.994507 29.347303 -1382.436287 -616.545725
2.350000 2.003767 28.898948 -1397.925672 -628.479254
2.400000 1.990331 29.275901 -1388.177930 -623.890735
2.450000 1.942020 29.753495 -1362.097673 -616.361922
