# t Temp Pres Epot Etot
0.000000 1.984805 28.138041 -1434.895147 -672.729931
0.050000 1.986229 28.327634 -1428.173038 -665.461235
0.100000 1.968093 28.890603 -1403.319915 -647.572221
0.150000 2.027514 30.214642 -1348.152574 -569.587323
0.200000 2.017858 28.367466 -1428.739493 -653.882197
0.250000 2.026349 28.285736 -1431.730774 -653.612783
0.300000 1.994844 29.134502 -1390.301123 -624.280915
0.350000 2.005356 28.135948 -1437.804982 -667.748091
0.400000 2.028138 28.245469 -1434.988513 -656.183641
0.450000 1.979921 30.008350 -1352.285723 -591.996033
0.500000 2.014476 30.328991 -1338.364897 -564.806236
0.550000 2.021045 28.537184 -1421.761686 -645.680568
0.600000 2.026055 27.865553 -1450.314161 -672.309146
0.650000 1.966953 28.717274 -1406.068081 -650.758261
0.700000 1.969882 28.467741 -1422.877134 -666.442538
0.750000 1.968106 29.425797 -1378.813739 -623.060945
0.800000 2.000925 28.731137 -1413.235591 -644.880577
0.850000 2.003385 29.432548 -1379.094576 -609.794601
0.900000 1.992313 28.886018 -1405.805079 -640.757045
0.950000 2.023992 29.001273 -1401.464056 -624.251261
1.000000 1.995115 29.314690 -1383.716812 -617.592575
1.050000 1.982193 28.644079 -1416.103938 -654.941658
1.100000 1.994124 29.871524 -1357.382809 -591.639131
1.150000 1.993681 28.306289 -1431.522680 -665.949207
1.200000 2.000901 28.288448 -1429.056108 -660.710163
1.250000 1.991412 29.138299 -1392.113707 -627.411337
1.300000 2.008968 28.150114 -1437.483579 -666.040033
1.350000 1.993175 28.656044 -1415.140517 -649.761379
1.400000 2.024041 28.160842 -1439.885026 -662.653101
1.450000 2.014172 28.276133 -1431.214884 -657.772668
1.500000 1.988630 28.875950 -1403.347342 -639.713524
1.550000 2.029572 28.985234 -1403.942438 -624.586854
1.600000 1.994426 27.667560 -1458.797859 -692.938354
1.650000 1.984788 28.985067 -1399.155088 -636.996470
1.700000 2.031185 28.696244 -1415.080031 -635.104939
1.750000 2.013097 28.012440 -1441.932441 -668.903019
1.800000 1.956914 29.825183 -1359.327903 -607.873040
1.850000 2.027979 30.252740 -1345.441748 -566.697994
1.900000 2.010644 29.211353 -1391.872422 -619.785127
1.950000 1.987339 28.834510 -1408.296189 -645.157871
2.000000 2.015929 28.711917 -1412.261104 -638.144202
2.050000 1.994056 28.607579 -1415.754622 -650.036993
2.100000 1.974025 28.716929 -1413.063192 -655.037512
2.150000 2.019515 28.855153 -1408.472438 -632.978509
2.200000 2.020953 28.506932 -1423.296121 -647.250250
2.250000 2.025763 29.183159 -1390.471357 -612.578488
2.300000 1.986381 28.390764 -1427.910319 -665.139825
2.350000 2.015568 28.755982 -1409.198191 -635.219948
2.400000 1.952003 29.675165 -1367.285324 -617.716209
2.450000 2.027378 28.731109 -1414.080485 -635.567250
2.500000 1.991033 29.112980 -1392.701897 -628.145079
2.550000 2.017039 27.890716 -1451.395468 -676.852643
2.600000 1.996836 29.759020 -1364.843495 -598.058433
2.650000 2.045300 28.014413 -1446.210319 -660.815137
2.700000 2.025198 28.042388 -1444.456012 -666.780146
2.750000 1.938289 29.662509 -1365.881340 -621.578273
