# t Temp Pres Epot Etot
0.000000 1.996254 28.063349 -1441.486807 -674.925426
0.050000 1.990962 28.633872 -1416.089457 -651.560163
0.100000 1.984532 28.213786 -1432.341298 -670.281094
0.150000 1.971775 29.224647 -1389.708587 -632.546865
0.200000 2.028646 29.895668 -1360.042361 -581.042262
0.250000 1.982672 28.788942 -1411.618680 -650.272518
0.300000 2.008940 29.178031 -1391.463045 -620.030145
0.350000 1.977618 28.454301 -1419.971887 -660.566530
0.400000 1.986941 28.056260 -1443.696205 -680.710692
0.450000 2.017632 28.958551 -1403.222570 -628.451877
0.500000 2.001325 29.071766 -1395.341726 -626.833023
0.550000 2.003664 27.508384 -1468.159483 -698.752344
0.600000 1.980957 28.199223 -1433.492487 -672.804995
0.650000 1.961740 30.296992 -1338.025839 -584.717563
0.700000 2.011771 29.000804 -1400.857719 -628.337678
0.750000 2.021105 29.571172 -1376.547807 -600.443424
0.800000 2.001701 28.579277 -1415.099360 -646.446012
0.850000 2.003724 27.512706 -1463.445742 -694.015907
0.900000 1.983048 29.049017 -1393.822725 -632.332316
0.950000 2.021000 29.898493 -1358.373326 -582.309512
1.000000 2.016221 29.124486 -1392.602387 -618.373464
1.050000 1.984867 28.910222 -1401.302087 -639.112984
1.100000 2.040563 28.633533 -1418.020954 -634.444583
1.150000 1.976547 27.068288 -1483.336918 -724.342911
1.200000 2.003977 30.089954 -1349.299699 -579.772461
1.250000 2.026538 29.676781 -1371.331901 -593.141472
1.300000 1.957061 28.973565 -1395.843010 -644.331486
1.350000 2.010727 29.273522 -1390.093644 -617.974418
1.400000 1.968630 28.388208 -1426.436892 -670.482900
1.450000 2.021566 28.824118 -1409.711602 -633.430353
1.500000 1.987749 28.495239 -1423.888151 -660.592714
1.550000 2.014875 28.767257 -1408.447897 -634.735717
1.600000 2.005599 28.190191 -1437.894010 -667.743922
1.650000 1.982744 28.049975 -1442.383760 -681.010212
1.700000 2.062056 29.781398 -1368.318923 -576.489285
1.750000 2.031306 28.055588 -1443.626920 -663.605599
1.800000 1.968402 28.851173 -1404.650533 -648.784236
1.850000 2.015384 28.454723 -1425.344603 -651.437125
1.900000 1.979988 29.558465 -1372.812698 -612.497316
1.950000 1.994936 29.734212 -1365.683531 -599.628269
2.000000 1.980109 28.574163 -1415.027597 -654.665551
2.050000 2.006312 29.978101 -1357.714020 -587.290065
2.100000 1.983052 29.023542 -1400.164608 -638.672728
2.150000 1.994236 29.032206 -1397.592642 -631.806169
2.200000 2.054311 28.708071 -1415.991650 -627.136418
2.250000 2.010177 27.766914 -1452.940479 -681.032354
2.300000 1.993223 29.365570 -1379.603444 -614.205648
2.350000 2.023415 29.329340 -1383.356875 -606.365582
2.400000 1.989598 27.901642 -1447.171255 -683.165653
2.450000 2.005630 29.436163 -1377.874170 -607.712392
2.500000 2.000620 30.790147 -1320.456976 -552.218806
2.550000 2.028728 28.197074 -1436.168341 -657.136737
2.600000 1.968334 27.988907 -1445.240411 -689.400008
2.650000 1.999928 29.186624 -1391.014945 -623.042725
2.700000 2.020448 27.585965 -1465.036709 -689.184527
2.750000 1.975112 29.125502 -1392.480059 -634.037082
2.800000 2.004343 29.141720 -1396.148665 -626.480941
2.850000 2.020990 27.926597 -1447.946541 -671.886365
2.900000 1.997456 28.931344 -1402.314371 -635.291288
2.950000 1.975769 28.965369 -1398.966263 -640.270984
3.000000 2.029134 30.216548 -1348.915554 -569.728150
3.050000 2.010709 29.075092 -1397.013343 -624.901141
3.100000 1.992334 27.617529 -1459.943106 -694.886985
3.150000 1.990524 28.834583 -1407.219149 -642.857836
3.200000 1.983660 28.207575 -1435.843581 -674.118072
3.250000 1.983282 29.160398 -1391.839949 -630.259476
3.300000 1.973790 28.459244 -1427.619347 -669.683888
3.350000 2.041761 28.763370 -1413.082011 -629.045773
3.400000 1.978631 28.910162 -1405.515644 -645.721396
3.450000 2.021480 29.370657 -1382.124365 -605.876116
3.500000 2.009356 28.741698 -1409.836176 -638.243571
3.550000 1.996649 28.533125 -1418.762690 -652.049620
3.600000 1.979709 29.314628 -1383.683677 -623.475531
3.650000 2.019382 29.295534 -1388.572343 -613.129700
3.700000 1.998742 28.775215 -1411.367109 -643.850263
3.750000 2.001131 28.459594 -1425.789282 -657.354973
3.800000 1.983901 28.993367 -1396.253572 -634.435709
3.850000 2.041463 27.558345 -1465.333419 -681.411694
