# t Temp Pres Epot Etot
0.000000 2.006759 29.712826 -1365.921810 -595.326543
0.050000 1.994564 28.828087 -1404.974990 -639.062498
0.100000 2.012906 28.741415 -1413.160173 -640.204405
0.150000 2.031041 29.483937 -1377.790162 -597.870434
0.200000 1.996983 28.722138 -1408.902608 -642.061232
0.250000 2.009977 28.041815 -1440.701923 -668.870759
0.300000 1.980970 28.576047 -1416.276068 -655.583638
0.350000 1.990253 28.793770 -1409.312676 -645.055562
0.400000 1.995606 28.982308 -1398.940693 -632.628091
0.450000 1.984978 27.767640 -1452.968618 -690.737138
0.500000 2.021692 29.066526 -1395.274735 -618.944905
0.550000 2.003080 29.439088 -1382.030619 -612.847821
0.600000 2.057251 28.720484 -1411.272284 -621.287923
0.650000 1.990982 27.226139 -1476.548014 -712.011105
0.700000 1.998352 29.278290 -1383.332571 -615.965439
0.750000 2.029068 29.639420 -1375.017190 -595.855110
0.800000 1.963302 28.654764 -1411.832712 -657.924595
0.850000 2.041766 27.234439 -1479.381727 -695.343461
0.900000 1.990389 29.921408 -1354.882959 -590.573538
0.950000 2.004502 29.622441 -1371.600497 -601.871538
1.000000 1.986264 28.772681 -1409.424101 -646.698565
1.050000 2.024326 28.790709 -1409.374975 -632.033715
1.100000 2.024876 27.567080 -1466.664998 -689.112588
1.150000 1.984715 27.325584 -1471.522303 -709.391784
1.200000 1.988904 29.734873 -1364.194169 -600.454888
1.250000 1.969197 29.755090 -1363.451003 -607.279226
1.300000 2.041261 29.290252 -1385.799656 -601.955355
1.350000 2.022049 28.483638 -1424.266156 -647.799282
1.400000 1.986516 29.167012 -1390.619641 -627.797412
1.450000 2.008723 28.518123 -1422.999479 -651.649740
1.500000 1.998116 28.569254 -1417.026295 -649.749759
1.550000 2.000004 28.455086 -1421.687815 -653.686210
1.600000 2.005515 29.266702 -1386.163555 -616.045675
1.650000 2.013192 28.641651 -1413.712702 -640.647091
1.700000 1.999633 28.527884 -1419.319050 -651.460138
1.750000 1.991511 28.812928 -1406.480288 -641.739897
1.800000 1.989830 29.279325 -1385.735331 -621.640649
1.850000 1.992413 28.760942 -1409.072070 -643.985407
1.900000 2.007686 29.693188 -1365.350278 -594.398896
1.950000 2.008449 28.463405 -1426.519562 -655.275066
2.000000 1.980626 28.838578 -1405.492254 -644.932049
2.050000 1.985091 27.862599 -1447.560367 -685.285585
2.100000 1.987731 28.898656 -1401.331775 -638.042960
2.150000 1.954645 29.517818 -1373.698676 -623.114930
2.200000 2.003549 30.698882 -1324.991541 -555.628886
2.250000 2.012669 29.764451 -1366.659847 -593.795002
2.300000 2.027315 28.364732 -1430.091388 -651.602392
2.350000 1.951656 28.917300 -1400.214571 -650.778519
2.400000 2.021800 28.763130 -1404.685078 -628.313787
2.450000 2.006589 27.780962 -1455.099308 -684.568986
2.500000 1.990746 28.450203 -1422.190163 -657.743644
2.550000 1.997492 29.873868 -1359.385658 -592.348613
2.600000 1.990176 29.339655 -1385.114920 -620.887275
2.650000 1.995037 30.257781 -1339.510266 -573.416231
2.700000 2.049399 27.534572 -1466.174049 -679.204922
2.750000 1.955492 27.332044 -1469.883512 -718.974663
2.800000 1.966189 29.800832 -1360.307761 -605.291128
2.850000 1.970940 30.400529 -1336.967978 -580.127075
2.900000 2.048136 28.314430 -1433.928451 -647.444079
2.950000 2.029230 28.830395 -1407.943476 -628.719269
3.000000 1.993769 27.274012 -1475.896170 -710.288895
3.050000 1.949646 28.441696 -1423.627363 -674.963284
3.100000 1.990259 30.492875 -1330.845507 -566.585929
3.150000 2.016642 28.825074 -1410.281171 -635.890649
3.200000 1.978159 28.678640 -1415.045337 -655.432214
3.250000 1.992110 29.358768 -1384.432580 -619.462399
3.300000 2.030700 28.133148 -1441.916357 -662.127472
3.350000 2.006659 28.214862 -1436.165084 -665.608024
3.400000 2.030139 29.107601 -1398.518990 -618.945523
3.450000 1.960900 28.464722 -1424.614922 -671.629410
3.500000 1.979693 29.119425 -1395.213992 -635.011932
3.550000 2.008404 28.970402 -1400.424473 -629.197401
3.600000 1.999644 29.151305 -1390.910379 -623.047135
3.650000 1.971616 28.775302 -1406.149843 -649.049216
3.700000 2.039607 27.725517 -1456.685283 -673.476338
3.750000 1.980457 28.351797 -1424.203440 -663.708137
3.800000 2.003340 29.731379 -1367.736226 -598.453558
3.850000 2.016810 28.917217 -1402.235485 -627.780631
3.900000 2.002986 28.493761 -1422.289985 -653.143305
3.950000 1.994783 28.875117 -1403.937239 -637.940602
4.000000 2.060409 28.726718 -1415.420185 -624.223250
4.050000 1.961763 30.052716 -1349.229954 -595.913066
4.100000 2.008927 29.948515 -1355.539990 -584.112176
4.150000 2.026374 28.509976 -1418.873962 -640.746205
4.200000 1.954645 28.984915 -1393.535551 -642.951714
4.250000 1.991990 28.228974 -1432.404205 -667.479858
4.300000 1.956777 29.605914 -1368.774932 -617.372531
4.350000 1.995743 29.360272 -1383.447126 -617.081655
4.400000 2.030636 28.347704 -1430.135192 -650.370810
4.450000 1.989030 28.189420 -1435.927846 -672.140318
4.500000 1.980515 28.842705 -1400.726649 -640.208873
4.550000 2.021058 30.318686 -1339.017679 -562.931389
4.600000 2.013779 28.065777 -1441.861120 -668.570023
4.650000 2.003462 28.255329 -1429.816121 -660.486752
4.700000 2.014014 29.266512 -1385.624762 -612.243377
4.750000 2.004758 28.944067 -1401.309979 -631.483080
4.800000 2.028302 28.461586 -1427.977712 -649.109633
4.850000 1.996627 27.523064 -1466.671531 -699.966875
4.900000 1.987105 29.386348 -1379.811222 -616.763044
4.950000 2.012824 28.713039 -1412.244071 -639.319799
5.000000 1.996934 28.904664 -1403.972882 -637.150310
5.050000 1.987204 29.386301 -1376.732715 -613.646465
5.100000 1.960662 27.958393 -1443.430692 -690.536570
5.150000 2.033383 31.281634 -1297.599158 -516.779925
5.200000 1.989451 29.056298 -1398.737730 -634.788723
5.250000 2.012310 29.171227 -1392.889107 -620.162053
5.300000 2.000484 28.566359 -1420.876845 -652.690960
5.350000 1.981281 29.576332 -1373.100555 -612.288640
5.400000 1.984337 29.151065 -1395.038232 -633.052804
5.450000 1.996564 29.087849 -1395.716594 -629.036199
5.500000 1.974364 29.530303 -1370.183895 -612.027929
5.550000 1.988724 28.052342 -1439.741566 -676.071397
5.600000 2.016207 28.593414 -1415.895460 -641.672163
5.650000 1.997930 28.320220 -1429.236059 -662.030777
5.700000 2.010543 29.661474 -1366.360467 -594.311776
5.750000 2.006450 29.271904 -1388.444783 -617.968120
5.800000 2.022329 29.031869 -1399.278676 -622.704252
5.850000 2.003172 27.997382 -1443.829973 -674.611993
5.900000 2.027311 28.803904 -1409.517975 -631.030416
5.950000 2.004018 29.305379 -1384.348264 -614.805389
6.000000 1.991126 28.791290 -1407.397873 -642.805306
6.050000 1.976470 29.553420 -1374.462942 -615.498371
6.100000 2.020356 27.683006 -1458.541017 -682.724481
6.150000 1.985444 29.918988 -1356.156191 -593.745650
6.200000 2.027244 29.032973 -1395.984600 -617.522912
6.250000 2.008445 28.201019 -1434.430357 -663.187351
6.300000 1.995374 29.137534 -1389.068885 -622.845211
6.350000 1.990266 29.822323 -1359.029437 -594.767335
6.400000 2.050072 27.957187 -1445.808886 -658.581129
6.450000 1.954635 29.353499 -1379.261114 -628.681116
6.500000 2.011080 28.212258 -1434.929454 -662.674786
6.550000 1.983393 28.426321 -1425.756955 -664.133860
6.600000 1.991060 28.819865 -1405.968059 -641.401169
6.650000 2.007345 29.410116 -1384.548969 -613.728451
6.700000 1.990729 28.187142 -1435.621980 -671.182130
6.750000 1.988180 29.720821 -1367.352061 -603.891113
6.800000 2.008876 28.661656 -1412.255975 -640.847450
6.850000 1.987824 28.506908 -1420.624618 -657.300115
6.900000 1.988729 28.978133 -1401.448333 -637.776298
6.950000 1.985119 28.997167 -1397.159589 -634.873931
7.000000 2.055380 29.088293 -1395.647157 -606.381419
7.050000 1.975301 27.386133 -1468.914567 -710.398994
7.100000 2.001881 29.290471 -1388.323577 -619.601393
