# t Temp Pres Epot Etot
0.000000 2.000755 29.882316 -1360.818338 -592.528499
0.050000 2.003631 28.736106 -1412.637832 -643.243664
0.100000 1.987241 28.526194 -1423.251403 -660.150738
0.150000 1.968679 28.841220 -1403.031987 -647.059142
0.200000 2.009703 29.474619 -1380.659830 -608.934059
0.250000 2.018307 28.269913 -1433.000699 -657.970776
0.300000 2.000430 29.947045 -1357.529298 -589.364003
0.350000 2.004587 28.987224 -1397.077858 -627.316580
0.400000 2.007962 28.144742 -1439.431344 -668.373873
0.450000 1.998394 29.295923 -1388.050066 -620.666757
0.500000 1.995024 27.765464 -1453.724117 -687.634809
0.550000 2.018423 27.586937 -1466.067873 -690.993617
0.600000 1.966660 28.996572 -1399.056344 -643.858767
0.650000 1.998078 28.465204 -1423.903940 -656.641958
0.700000 2.011911 30.695482 -1326.011867 -553.438002
0.750000 1.995780 29.192996 -1392.305356 -625.925694
0.800000 2.007071 28.145103 -1438.081008 -667.365854
0.850000 1.996403 29.145877 -1395.394032 -628.775390
0.900000 1.992539 29.640012 -1369.252383 -604.117548
0.950000 2.014881 29.139854 -1394.670835 -620.956547
1.000000 1.994549 27.056044 -1484.061780 -718.154907
1.050000 1.968926 29.457759 -1376.345366 -620.277937
1.100000 2.020569 28.620587 -1417.994446 -642.095877
1.150000 1.995535 28.357607 -1426.203554 -659.918092
1.200000 1.995830 28.617230 -1415.731951 -649.333353
1.250000 2.001122 29.436783 -1379.235349 -610.804655
1.300000 1.991020 28.045974 -1441.081105 -676.529283
1.350000 2.019306 29.088694 -1397.151851 -621.738189
1.400000 2.011792 27.430594 -1470.283628 -697.755437
1.450000 2.002590 28.265571 -1432.983197 -663.988532
1.500000 1.974868 28.935507 -1400.720145 -642.370734
1.550000 1.967360 29.126503 -1393.486161 -638.019937
1.600000 2.026221 29.916199 -1359.491575 -581.422761
1.650000 1.982019 28.787343 -1406.110084 -645.014909
1.700000 1.995291 28.865197 -1403.958441 -637.766517
1.750000 1.961212 28.967642 -1399.062426 -645.957151
1.800000 2.026218 29.007586 -1402.630663 -624.562899
1.850000 1.985677 28.381140 -1429.436577 -666.936575
1.900000 2.008641 28.468036 -1425.794951 -654.476869
1.950000 1.982760 29.496940 -1378.462201 -617.082397
