# t Temp Pres Epot Etot
0.000000 2.013143 28.374371 -1428.238948 -655.191967
0.050000 2.012946 28.583408 -1418.295526 -645.324097
0.100000 2.006377 28.606307 -1413.249519 -642.800781
0.150000 1.969613 28.578787 -1418.561538 -662.230161
0.200000 2.019277 29.999051 -1355.667853 -580.265666
0.250000 2.012770 28.855933 -1410.265918 -637.362106
0.300000 1.986140 27.034757 -1486.423786 -723.745911
0.350000 1.986666 28.512886 -1419.923426 -657.043533
0.400000 2.004297 29.726863 -1366.681189 -597.031030
0.450000 2.030801 29.917371 -1362.642896 -582.815378
0.500000 2.015390 29.383443 -1382.484654 -608.575084
0.550000 2.048683 28.569635 -1422.503337 -635.808980
0.600000 1.970836 28.227208 -1432.373900 -675.572906
0.650000 2.016927 27.951361 -1447.853674 -673.353813
0.700000 2.004481 28.780169 -1411.808665 -642.087832
0.750000 1.947439 28.733885 -1406.328537 -658.512088
0.800000 2.005818 30.210558 -1346.659212 -576.424916
0.850000 1.993980 29.404245 -1378.965219 -613.276780
0.900000 2.012858 29.177885 -1392.169341 -619.232035
0.950000 1.970684 26.957792 -1488.698245 -731.955406
1.000000 1.982827 29.058976 -1394.146976 -632.741544
1.050000 2.013563 28.836788 -1403.997796 -630.789633
1.100000 1.923504 29.549353 -1370.945718 -632.320325
1.150000 2.041679 29.645313 -1367.251277 -583.246520
1.200000 1.999601 29.564900 -1375.310041 -607.463160
1.250000 2.000458 27.395922 -1475.325943 -707.150077
1.300000 1.973088 29.348058 -1380.093312 -622.427500
1.350000 2.027210 29.010088 -1397.766590 -619.318058
1.400000 1.979596 28.318741 -1427.915170 -667.750289
1.450000 1.989969 28.259620 -1431.246411 -667.098291
1.500000 1.998593 29.110198 -1395.056035 -627.596327
1.550000 1.981495 28.084107 -1438.823584 -677.929566
1.600000 1.979720 29.722473 -1363.195410 -602.982947
1.650000 1.999700 28.590863 -1418.989566 -651.104848
1.700000 2.009948 29.166842 -1391.980042 -620.159982
1.750000 1.975354 28.374469 -1426.865933 -668.330147
1.800000 2.022536 28.728573 -1412.406708 -635.753010
1.850000 2.012221 27.603832 -1464.701649 -692.008816
1.900000 1.952390 30.559939 -1326.708590 -576.990731
1.950000 2.052640 29.187689 -1395.540025 -607.326414
2.000000 2.017445 28.433666 -1427.654214 -652.955171
2.050000 1.980297 29.055129 -1396.782813 -636.348783
2.100000 2.023867 29.434552 -1383.243995 -606.078960
2.150000 1.977186 28.773965 -1411.636381 -652.397056
2.200000 2.031316 28.101372 -1438.904200 -658.878862
2.250000 2.025438 28.183802 -1438.061433 -660.293051
2.300000 2.006260 28.391564 -1425.086146 -654.682314
2.350000 2.021440 29.021083 -1395.042807 -618.809721
2.400000 1.950922 30.404416 -1334.252639 -585.098467
2.450000 1.983055 28.355526 -1427.539135 -666.045970
2.500000 2.029557 28.766740 -1412.000217 -632.650187
2.550000 1.989397 27.739858 -1453.768583 -689.840317
2.600000 2.017246 29.315094 -1383.821128 -609.198643
2.650000 1.980458 29.519653 -1373.947946 -613.452055
2.700000 1.988792 29.420856 -1380.791482 -617.095433
2.750000 1.976096 29.163396 -1391.245132 -632.424101
2.800000 2.027779 28.028205 -1443.529591 -664.862320
2.850000 2.001341 28.859705 -1404.161318 -635.646196
2.900000 2.008617 28.505065 -1421.957219 -650.648449
2.950000 1.951671 29.535033 -1372.084879 -622.643175
3.000000 2.006960 29.090506 -1398.115472 -627.442650
3.050000 1.979062 28.324218 -1427.026448 -667.066468
3.100000 2.023730 29.333808 -1385.634382 -608.521949
3.150000 2.025621 28.447219 -1422.509312 -644.670767
3.200000 1.980060 28.824663 -1402.952762 -642.609548
3.250000 1.986964 29.107661 -1390.268219 -627.273987
3.300000 1.999078 29.029695 -1397.117933 -629.471902
3.350000 2.000557 28.559758 -1419.251717 -651.037813
3.400000 1.967740 28.777403 -1407.766691 -652.154680
3.450000 2.028087 30.077863 -1352.682023 -573.896666
3.500000 1.990605 28.471000 -1421.391245 -656.998965
3.550000 1.980763 28.043040 -1439.372830 -678.760004
3.600000 2.027577 29.332268 -1387.303301 -608.713548
3.650000 1.971710 31.137036 -1299.163201 -542.026495
3.700000 2.049888 29.475372 -1378.136551 -590.979668
3.750000 1.997633 26.551284 -1510.523674 -743.432758
3.800000 2.018448 28.531866 -1418.498764 -643.414857
3.850000 2.015977 29.142946 -1394.249314 -620.114075
3.900000 1.982665 29.434921 -1379.849961 -618.506773
3.950000 2.019026 27.885317 -1450.072202 -674.766123
4.000000 2.017768 28.324316 -1429.652769 -654.829811
4.050000 1.950308 29.764366 -1363.854742 -614.936655
4.100000 2.010646 28.046842 -1441.483713 -669.395514
4.150000 1.981325 29.268738 -1386.673966 -625.845184
4.200000 1.977229 29.245967 -1387.088262 -627.832375
4.250000 2.008156 28.999661 -1396.156119 -625.024097
4.300000 2.028250 27.466911 -1466.797540 -687.949387
4.350000 1.996746 27.208641 -1478.429253 -711.678736
4.400000 1.995952 29.496606 -1376.087302 -609.641564
4.450000 2.020729 29.060467 -1395.400383 -619.440498
4.500000 2.005548 29.290144 -1383.039487 -612.909197
4.550000 2.007281 28.645001 -1412.022757 -641.226839
4.600000 1.992104 28.514142 -1417.901160 -652.933307
4.650000 1.988908 28.226500 -1433.930244 -670.189429
4.700000 1.982707 29.303371 -1384.307045 -622.947460
4.750000 1.995148 30.048243 -1351.937150 -585.800188
4.800000 2.031309 27.574917 -1465.174559 -685.151952
4.850000 1.998758 29.155436 -1393.233257 -625.710029
4.900000 1.940999 29.413850 -1375.867731 -630.524168
4.950000 2.021293 28.796050 -1411.039624 -634.863059
5.000000 1.977161 29.358331 -1381.036496 -621.806652
5.050000 2.001351 27.692753 -1458.843164 -690.324492
5.100000 1.989660 27.293944 -1478.046898 -714.017574
5.150000 2.024456 29.937807 -1358.561753 -581.170477
5.200000 2.013434 28.150085 -1440.971302 -667.812530
5.250000 2.045630 28.383623 -1430.686047 -645.164053
5.300000 1.998284 30.134545 -1348.057701 -580.716717
5.350000 2.027273 28.949821 -1405.563291 -627.090512
5.400000 1.994871 28.837026 -1406.187832 -640.157338
5.450000 2.005443 29.577769 -1374.362555 -604.272427
5.500000 1.979381 28.763521 -1407.352575 -647.270330
5.550000 2.014106 28.139853 -1438.016643 -664.600024
5.600000 1.967008 28.908108 -1400.754695 -645.423569
5.650000 2.002075 29.008496 -1402.567405 -633.770750
5.700000 2.017018 28.293448 -1428.576562 -654.041689
5.750000 1.998846 27.475205 -1469.394118 -701.837444
5.800000 1.977668 29.573352 -1373.088533 -613.663933
5.850000 2.002624 29.229470 -1390.145259 -621.137762
5.900000 2.037100 29.023783 -1399.301442 -617.054958
5.950000 1.992086 28.493513 -1421.333019 -656.372170
6.000000 2.022093 27.919193 -1447.975106 -671.491412
6.050000 1.978418 28.367942 -1425.956696 -666.244182
6.100000 2.010026 28.432478 -1424.439965 -652.589927
6.150000 2.041103 30.212326 -1345.878346 -562.094702
6.200000 2.020502 29.278746 -1387.553505 -611.680736
6.250000 1.975106 28.423413 -1424.890348 -666.449725
6.300000 2.027568 29.714900 -1367.216494 -588.630388
6.350000 2.032696 29.790142 -1366.514091 -585.958953
6.400000 1.993394 28.760512 -1409.537661 -644.074206
6.450000 2.014828 28.699784 -1413.136601 -639.442545
6.500000 1.988759 26.498739 -1510.464184 -746.780604
6.550000 1.945558 29.640288 -1364.481352 -617.387088
6.600000 1.975490 30.275249 -1340.470485 -581.882247
6.650000 2.016539 29.921298 -1357.716869 -583.365706
6.700000 2.009331 29.065395 -1395.271712 -623.688736
6.750000 2.011085 27.518664 -1465.906096 -693.649306
6.800000 2.051844 28.127812 -1439.802609 -651.894611
6.850000 1.951674 28.438149 -1423.651524 -674.208664
6.900000 2.013220 29.599583 -1369.028550 -595.951942
6.950000 2.048447 30.324244 -1342.930050 -556.326431
7.000000 1.997212 29.827601 -1360.039288 -593.109902
7.050000 1.963125 28.539868 -1420.356287 -666.516467
7.100000 1.977968 27.744252 -1454.146158 -694.606502
7.150000 1.995086 27.570268 -1462.552929 -696.439924
7.200000 1.978147 29.265468 -1385.310669 -625.702383
7.250000 2.007250 29.363258 -1384.412712 -613.628794
7.300000 2.021638 29.391267 -1385.225803 -608.916971
7.350000 2.015382 28.360862 -1430.268526 -656.361704
7.400000 2.028743 28.212203 -1436.580972 -657.543811
7.450000 1.981259 28.643229 -1414.247650 -653.444266
7.500000 1.980249 18.318244 -1489.530550 -729.115046
7.550000 1.991536 18.275162 -1493.564278 -728.814608
7.600000 1.984756 18.559471 -1481.607113 -719.460833
7.650000 2.007761 18.788287 -1469.883441 -698.903079
7.700000 2.021141 17.423254 -1533.621926 -757.503664
7.750000 1.999586 16.411943 -1582.654769 -814.813609
7.800000 1.981886 16.446695 -1575.332070 -814.287946
7.850000 1.974648 17.933410 -1509.601466 -751.336456
7.900000 2.001637 18.072058 -1508.019023 -739.390587
7.950000 2.011466 17.959359 -1514.053029 -741.650145
8.000000 1.974986 17.666727 -1522.141725 -763.747188
8.050000 1.976374 18.703864 -1474.004496 -715.076878
8.100000 2.022099 18.820339 -1469.688916 -693.202749
8.150000 2.011556 16.701322 -1565.381983 -792.944612
8.200000 1.985689 16.910533 -1555.705295 -793.200780
8.250000 2.011109 16.998109 -1550.230132 -777.964284
8.300000 1.997668 17.468280 -1529.526026 -762.421460
8.350000 1.975212 18.017442 -1507.787559 -749.305972
8.400000 1.978921 18.690860 -1472.837004 -712.931497
8.450000 2.019832 17.626619 -1522.522368 -746.906907
8.500000 1.981620 17.627074 -1522.351483 -761.409342
8.550000 2.020724 18.029203 -1505.741775 -729.783938
8.600000 2.004195 17.155124 -1544.771352 -775.160568
8.650000 2.003389 18.332329 -1492.198633 -722.897227
8.700000 2.025779 17.227184 -1548.067254 -770.168058
8.750000 1.983349 17.337381 -1536.099450 -774.493266
8.800000 2.029246 17.169533 -1545.441965 -766.211633
8.850000 2.014970 17.366982 -1530.558214 -756.809783
8.900000 1.995371 18.232227 -1494.618510 -728.396052
8.950000 1.993959 17.552970 -1524.434908 -758.754689
9.000000 1.999365 17.805792 -1515.683916 -747.927699
9.050000 2.014887 17.915466 -1511.852492 -738.136040
9.100000 1.996965 17.550474 -1524.320684 -757.486207
9.150000 2.001909 17.107213 -1549.970450 -781.237298
9.200000 2.019522 18.714856 -1469.841932 -694.345377
9.250000 1.964133 18.422894 -1480.450139 -726.222974
9.300000 2.006685 17.925469 -1512.333684 -741.766633
9.350000 2.009436 17.718274 -1519.807979 -748.184663
