# t Temp Pres Epot Etot
0.000000 1.999637 29.002206 -1402.495627 -634.635107
0.050000 2.019815 28.458495 -1425.854351 -650.245466
0.100000 1.984166 29.029055 -1395.185599 -633.265812
0.150000 2.005711 29.262834 -1386.566884 -616.373859
0.200000 2.009026 29.258472 -1383.857763 -612.391870
0.250000 1.977496 28.796413 -1407.353910 -647.995360
0.300000 1.994954 28.918736 -1403.393140 -637.330812
0.350000 2.021673 28.327785 -1430.883501 -654.560972
0.400000 1.993413 29.197147 -1391.684183 -626.213541
0.450000 1.999222 28.586055 -1416.807862 -649.106552
0.500000 1.950957 28.321835 -1426.892316 -677.724959
0.550000 2.031329 29.459133 -1378.483993 -598.453503
0.600000 1.961067 29.031816 -1398.000461 -644.950833
0.650000 2.009791 28.303884 -1434.888151 -663.128299
0.700000 1.986716 28.455456 -1420.823046 -657.923998
0.750000 2.020157 29.242488 -1388.994105 -613.253700
0.800000 2.017175 28.037365 -1446.077861 -671.482794
0.850000 1.996269 29.252625 -1387.859953 -621.292591
0.900000 2.000189 29.309755 -1385.243523 -617.171126
0.950000 1.968774 30.072696 -1350.149196 -594.140160
1.000000 1.994235 29.206766 -1389.913379 -624.127263
1.050000 2.012735 29.289564 -1387.249322 -614.359187
1.100000 1.993475 28.462258 -1423.694328 -658.199987
1.150000 2.049044 27.834326 -1454.583487 -667.750645
1.200000 1.967909 28.369369 -1427.012945 -671.336061
1.250000 1.977655 29.494580 -1373.268171 -613.848831
1.300000 1.973813 29.791497 -1360.368563 -602.424243
1.350000 1.988180 29.268108 -1387.463480 -624.002254
1.400000 2.025268 28.824156 -1410.613906 -632.910930
1.450000 1.987529 27.547913 -1460.960959 -697.749893
1.500000 1.983425 28.794980 -1407.913370 -646.278157
1.550000 2.018587 28.733260 -1412.797036 -637.659673
1.600000 1.977845 27.712237 -1456.141722 -696.649161
1.650000 2.023912 30.550162 -1331.991799 -554.809768
1.700000 1.995157 29.503015 -1379.557264 -613.416935
1.750000 1.999533 29.753061 -1365.069277 -597.248522
1.800000 1.985572 29.405783 -1381.570027 -619.110343
1.850000 2.017132 27.788723 -1453.855580 -679.277028
1.900000 1.983830 28.335866 -1427.987719 -666.197014
1.950000 1.975598 27.991391 -1443.532240 -684.902619
2.000000 2.005400 29.439497 -1378.566348 -608.492871
2.050000 2.004870 29.430874 -1381.100819 -611.230715
2.100000 2.025517 29.174552 -1389.138245 -611.339877
2.150000 2.017036 28.047334 -1442.639906 -668.098107
2.200000 2.002607 28.391728 -1424.411678 -655.410592
2.250000 1.976514 28.607208 -1414.393622 -655.412277
2.300000 2.017654 27.944522 -1447.016121 -672.237062
2.350000 1.946921 29.323516 -1380.890316 -633.272609
2.400000 1.994930 29.037757 -1396.558402 -630.505201
2.450000 2.005862 29.162148 -1395.241645 -624.990570
2.500000 2.026404 27.407956 -1471.994091 -693.854829
2.550000 1.980438 28.525122 -1421.404776 -660.916402
2.600000 2.017072 30.373307 -1335.893338 -561.337626
2.650000 2.021784 28.742478 -1410.041904 -633.676714
2.700000 1.992072 28.823375 -1407.246101 -642.290565
2.750000 1.994245 28.588862 -1418.569208 -652.779281
2.800000 1.977860 28.056500 -1440.194590 -680.696516
2.850000 1.986841 30.067214 -1348.729599 -585.782735
2.900000 1.985268 27.669458 -1461.451929 -699.109071
2.950000 2.003948 29.028192 -1398.480675 -628.964725
3.000000 1.995414 28.842758 -1406.309083 -640.070222
3.050000 2.004199 28.898869 -1400.468123 -630.855839
3.100000 2.028374 27.952355 -1446.279828 -667.384082
3.150000 1.992041 28.605348 -1417.264390 -652.320770
3.200000 2.015322 29.306696 -1387.285386 -613.401716
3.250000 2.027445 29.914690 -1359.374541 -580.835839
3.300000 1.989099 28.861267 -1407.395759 -643.581627
3.350000 1.979716 28.528754 -1420.787268 -660.576218
3.400000 2.051082 28.271778 -1432.859227 -645.243820
3.450000 1.998428 28.117922 -1438.150716 -670.754432
3.500000 2.000625 29.258852 -1385.498511 -617.258610
3.550000 1.986245 28.990257 -1400.184312 -637.466302
3.600000 1.996595 28.938571 -1401.617360 -634.924823
3.650000 1.985132 28.812226 -1408.655109 -646.364496
3.700000 1.987711 28.793878 -1403.451597 -640.170462
3.750000 1.994399 28.229789 -1435.976268 -670.126889
