# t Temp Pres Epot Etot
0.000000 2.020042 29.019161 -1402.835321 -627.139364
0.050000 2.017259 28.453216 -1424.962021 -650.334430
0.100000 1.995662 28.703691 -1412.388135 -646.054059
0.150000 2.027292 28.120951 -1441.459890 -662.979845
0.200000 1.987428 28.281440 -1430.460456 -667.288255
0.250000 1.998904 28.452866 -1424.019008 -656.439795
0.300000 2.009736 28.713906 -1411.879047 -640.140392
0.350000 2.019896 30.238423 -1342.162951 -566.522743
0.400000 1.978950 28.189435 -1433.727464 -673.810545
0.450000 2.055420 29.037790 -1397.930133 -608.648960
0.500000 1.981748 28.377625 -1424.422552 -663.431188
0.550000 1.988275 28.151559 -1435.903217 -672.405567
0.600000 1.992284 30.096997 -1347.721561 -582.684337
0.650000 1.982875 30.289083 -1337.320340 -575.896239
0.700000 1.993826 27.757050 -1454.893721 -689.264569
0.750000 1.982861 28.333224 -1428.620070 -667.201454
0.800000 1.986177 28.504787 -1416.637473 -653.945441
0.850000 1.987844 29.927737 -1352.182386 -588.850292
0.900000 1.999091 29.174410 -1392.617576 -624.966538
0.950000 1.985579 28.109815 -1440.594369 -678.131924
1.000000 2.001097 28.880990 -1406.155277 -637.734055
1.050000 1.975360 28.969319 -1399.037715 -640.499468
1.100000 1.994893 29.746047 -1364.220188 -598.181252
1.150000 2.003013 28.133096 -1438.386751 -669.229624
1.200000 1.966550 29.355796 -1379.748298 -624.593155
1.250000 2.009275 28.816950 -1407.681883 -636.120423
1.300000 2.018065 28.408091 -1428.297563 -653.360746
1.350000 2.005356 27.277427 -1477.618374 -707.561583
1.400000 1.970505 28.375680 -1424.834101 -668.160104
1.450000 2.010476 30.759674 -1322.120922 -550.098023
1.500000 1.987697 30.830736 -1315.853036 -552.577454
1.550000 2.048445 28.407223 -1429.040335 -642.437535
1.600000 2.023783 28.082288 -1439.277863 -662.145262
1.650000 1.957805 28.189168 -1430.457872 -678.660632
1.700000 1.968325 29.975955 -1351.645258 -595.808642
