# t Temp Pres Epot Etot
0.000000 2.017975 28.074280 -1444.404715 -669.502167
0.050000 2.012039 28.849229 -1403.403219 -630.780363
0.100000 1.987516 28.711445 -1412.606862 -649.400610
0.150000 1.986131 29.537876 -1375.114766 -612.440374
0.200000 2.016085 29.069628 -1393.807164 -619.630706
0.250000 2.000037 28.642215 -1417.785785 -649.771396
0.300000 1.944785 29.221317 -1386.991083 -640.193595
0.350000 2.000459 29.987031 -1357.959051 -589.782959
0.400000 2.066799 29.543431 -1380.487508 -586.836792
0.450000 2.017417 28.128812 -1439.624696 -664.936638
0.500000 1.998792 29.436012 -1379.712243 -612.175944
0.550000 2.031958 28.162312 -1436.963461 -656.691408
0.600000 1.961245 28.821527 -1404.128278 -651.010070
0.650000 1.981827 29.136538 -1392.441487 -631.420085
0.700000 2.044393 28.821220 -1408.306945 -623.260000
0.750000 1.982337 29.097916 -1394.004430 -632.786958
0.800000 2.012510 28.586135 -1416.977197 -644.173531
0.850000 2.001212 28.418554 -1427.881961 -659.416569
0.900000 2.004888 28.725426 -1409.460341 -639.583283
0.950000 1.982167 28.598516 -1420.825065 -659.672790
1.000000 2.003188 28.485437 -1421.459257 -652.234891
1.050000 2.010985 28.757655 -1414.696587 -642.478460
1.100000 1.975418 28.646584 -1413.237704 -654.677051
1.150000 2.010055 29.117412 -1395.370915 -623.509915
1.200000 2.014726 27.906829 -1450.912114 -677.257312
1.250000 1.995620 29.246491 -1388.163832 -621.845795
1.300000 1.993672 29.525333 -1377.017630 -611.447741
1.350000 2.028991 28.487288 -1422.879654 -643.747167
1.400000 2.008157 28.569503 -1416.426907 -645.294768
1.450000 1.996312 27.706169 -1458.652028 -692.068111
1.500000 1.994124 28.074065 -1443.960287 -678.216858
1.550000 2.042694 29.905457 -1360.617638 -576.223104
1.600000 2.019239 30.103101 -1351.035430 -575.647839
1.650000 1.971962 27.962762 -1442.535452 -685.302186
1.700000 2.014837 28.488654 -1424.847999 -651.150766
1.750000 1.990280 29.649226 -1372.954425 -608.687048
1.800000 1.998418 29.273433 -1386.988916 -619.596424
1.850000 2.021245 30.652522 -1324.502056 -548.344082
1.900000 1.987512 29.072572 -1396.010607 -632.806091
1.950000 2.023641 28.768492 -1408.048918 -630.970863
2.000000 2.009571 28.500042 -1420.045182 -648.369985
2.050000 2.001283 28.101424 -1438.771531 -670.279033
2.100000 1.972189 28.222340 -1436.703881 -679.383389
2.150000 2.005330 29.699566 -1368.314568 -598.267727
2.200000 2.013556 28.945731 -1400.612011 -627.406695
2.250000 2.000689 29.460713 -1377.178348 -608.913882
2.300000 1.980418 29.685557 -1363.682857 -603.202414
2.350000 2.008187 27.235466 -1481.147792 -710.004052
2.400000 2.010555 28.033196 -1441.969677 -669.916410
2.450000 1.969241 29.002080 -1394.860523 -638.671860
2.500000 1.994420 28.128875 -1441.001364 -675.144152
2.550000 2.010961 28.595210 -1419.970739 -647.761529
2.600000 1.982653 29.330389 -1386.327599 -624.988980
2.650000 1.980592 29.329486 -1381.845412 -621.298053
2.700000 2.023053 28.163807 -1439.289642 -662.437279
2.750000 2.024103 28.388889 -1429.389180 -652.133523
2.800000 2.004662 28.221365 -1435.716125 -665.925970
2.850000 1.997640 28.306590 -1430.240796 -663.147133
2.900000 1.964201 29.786458 -1362.743478 -608.490224
2.950000 2.021090 30.133276 -1352.278301 -576.179865
3.000000 1.974855 29.708376 -1365.048742 -606.704332
3.050000 2.046734 29.356724 -1385.047183 -599.101400
3.100000 1.978591 27.051575 -1484.062852 -724.283995
3.150000 1.970490 28.840731 -1403.332942 -646.664892
3.200000 1.985920 30.347555 -1338.442362 -575.849021
3.250000 2.022179 28.345887 -1430.678276 -654.161635
3.300000 1.986225 28.249222 -1431.329408 -668.618959
3.350000 2.012562 29.018562 -1401.516368 -628.692548
3.400000 1.962540 29.193744 -1389.358325 -635.743054
3.450000 2.024799 29.611506 -1373.542838 -596.019952
3.500000 2.005416 28.688594 -1409.262804 -639.183079
3.550000 1.976357 28.126297 -1441.283543 -682.362410
3.600000 2.024214 30.117503 -1352.862950 -575.564909
3.650000 2.019940 29.201152 -1391.862305 -616.205336
3.700000 2.031938 27.652397 -1461.250901 -680.986669
3.750000 1.995548 28.867982 -1403.463714 -637.173448
3.800000 2.022035 28.555856 -1419.656450 -643.195084
3.850000 1.973570 29.393918 -1378.946088 -621.095118
3.900000 2.016061 28.891055 -1404.420351 -630.252884
3.950000 1.971246 28.275959 -1432.836596 -675.878239
4.000000 2.003586 29.183589 -1388.870146 -619.493055
4.050000 1.982331 28.204332 -1434.500297 -673.285178
4.100000 2.007502 28.199782 -1436.529497 -665.648657
