# t Temp Pres Epot Etot
0.000000 2.002194 29.035552 -1397.405769 -628.563123
0.050000 1.984858 28.983309 -1400.890139 -638.704695
0.100000 2.002922 27.152615 -1482.736722 -713.614573
0.150000 2.032800 29.262894 -1390.429724 -609.834381
0.200000 1.993076 29.378000 -1380.745611 -615.404266
0.250000 2.015406 28.812659 -1411.391130 -637.475099
0.300000 1.994457 28.331836 -1429.843752 -663.972312
0.350000 2.000729 28.622212 -1416.791851 -648.511787
0.400000 2.011157 30.146429 -1352.825129 -580.541024
0.450000 2.040208 27.954015 -1447.118069 -663.678184
0.500000 1.975162 29.306069 -1384.031085 -625.568830
0.550000 2.016865 28.481183 -1423.106822 -648.630845
0.600000 2.033925 27.861907 -1453.502893 -672.475618
0.650000 1.950611 28.291257 -1429.628929 -680.594397
0.700000 1.993904 28.738127 -1409.197573 -643.538494
0.750000 1.987575 31.142577 -1301.843574 -538.614765
0.800000 2.026666 29.399119 -1381.106270 -602.866351
0.850000 2.002313 27.533477 -1462.662043 -693.773773
0.900000 1.954043 27.606727 -1460.423626 -710.071142
0.950000 1.980097 30.380406 -1339.267637 -578.910324
1.000000 2.043811 28.534261 -1425.186583 -640.363072
1.050000 1.983866 28.555480 -1421.997284 -660.192625
1.100000 2.029495 28.881428 -1404.216633 -624.890516
1.150000 2.009328 29.519272 -1377.616581 -606.034502
1.200000 1.976734 28.451161 -1421.499788 -662.434061
1.250000 1.984656 31.025032 -1307.103693 -544.995956
1.300000 2.018265 26.876251 -1496.405502 -721.391641
1.350000 1.985622 28.449257 -1419.829403 -657.350634
1.400000 1.969469 29.507587 -1376.339454 -620.063489
1.450000 2.027086 29.577320 -1376.506220 -598.105379
1.500000 2.006384 28.944690 -1400.602174 -630.150848
1.550000 1.990393 28.778608 -1409.436043 -645.125143
1.600000 2.005974 28.638880 -1416.732149 -646.438096
1.650000 2.003979 28.756903 -1411.554094 -642.026240
1.700000 2.010602 29.293896 -1386.159691 -614.088501
1.750000 1.978189 27.913797 -1445.865707 -686.241198
1.800000 1.996871 30.144272 -1348.932463 -582.134088
1.850000 2.017165 29.433644 -1380.317719 -605.726344
1.900000 2.010581 27.119912 -1482.778662 -710.715609
1.950000 1.982290 28.585678 -1414.914604 -653.715350
2.000000 1.984292 29.349444 -1379.996390 -618.028228
2.050000 2.001612 28.883212 -1410.552785 -641.933908
2.100000 2.002040 27.837653 -1451.247846 -682.464613
2.150000 1.969933 29.380400 -1381.731620 -625.277375
2.200000 2.009929 28.731478 -1411.816050 -640.003195
2.250000 1.999011 29.420372 -1382.651728 -615.031682
2.300000 1.995405 30.375532 -1337.200510 -570.964870
2.350000 1.987640 28.639290 -1415.608633 -652.354698
2.400000 2.001796 27.100686 -1485.949753 -717.260059
2.450000 1.975454 28.696018 -1413.335380 -654.760960
2.500000 2.020568 28.336435 -1430.865751 -654.967650
2.550000 1.947971 29.224212 -1386.325069 -638.304221
2.600000 1.983763 30.777388 -1318.676883 -556.911758
2.650000 2.041522 29.646560 -1374.198377 -590.254099
2.700000 2.034052 28.264405 -1436.395710 -655.319612
2.750000 1.997566 27.964658 -1445.158930 -678.093599
2.800000 2.003099 28.333486 -1429.352748 -660.162633
2.850000 1.997533 28.602123 -1418.702362 -651.649693
2.900000 2.014487 27.630489 -1459.566472 -686.003655
2.950000 1.936017 30.489677 -1327.294151 -583.863683
3.000000 2.019490 29.255493 -1388.255678 -612.771386
3.050000 2.000282 26.820880 -1497.887685 -729.779453
3.100000 1.953423 30.534512 -1328.496108 -578.381715
3.150000 2.002779 29.795690 -1364.335588 -595.268383
3.200000 2.002596 28.658457 -1415.183913 -646.187027
3.250000 1.992382 27.087505 -1485.206412 -720.131851
3.300000 1.981845 29.374984 -1381.564185 -620.535577
3.350000 1.947418 28.441479 -1423.353514 -675.544829
3.400000 2.023885 29.037913 -1401.277772 -624.106005
3.450000 1.987093 29.556697 -1379.981053 -616.937379
3.500000 1.985303 29.989253 -1353.078353 -590.722025
3.550000 2.021473 28.121062 -1440.113201 -663.867506
3.600000 2.011900 27.612359 -1461.823806 -689.254305
3.650000 2.015012 27.544416 -1465.412289 -691.647642
3.700000 2.000224 28.412735 -1424.584263 -656.498304
3.750000 2.003203 28.986853 -1399.738878 -630.508756
3.800000 2.002080 29.191406 -1392.056115 -623.257487
3.850000 2.013268 28.785378 -1408.164181 -635.069143
3.900000 1.988899 29.749906 -1365.980246 -602.242842
3.950000 2.020913 28.880886 -1405.668934 -629.638261
4.000000 1.983200 27.557468 -1463.714601 -702.165867
4.050000 1.967092 29.370112 -1382.044868 -626.681451
4.100000 2.008491 28.937610 -1404.113506 -632.853140
4.150000 1.992047 29.272999 -1386.188783 -621.242604
4.200000 2.019664 28.950839 -1403.104360 -627.553576
4.250000 1.996276 29.703848 -1366.390841 -599.820739
4.300000 2.003498 28.455451 -1421.879718 -652.536583
4.350000 1.975437 28.304796 -1428.900227 -670.332330
4.400000 1.998143 30.006510 -1353.090242 -585.803478
4.450000 2.005406 29.433246 -1377.355580 -607.279505
4.500000 2.010596 28.605862 -1416.123048 -644.054311
4.550000 1.985309 28.877013 -1404.643021 -642.284445
4.600000 1.995763 29.266479 -1382.935651 -616.562848
4.650000 2.000775 28.564019 -1418.485576 -650.187972
4.700000 1.979265 29.077837 -1393.950048 -633.912123
4.750000 1.983832 28.388474 -1426.512298 -664.720671
