# t Temp Pres Epot Etot
0.000000 1.988199 29.456962 -1376.614607 -613.146165
0.050000 1.998371 28.990349 -1397.004427 -629.629797
0.100000 2.011888 29.390895 -1382.182356 -609.617359
0.150000 1.989687 27.343025 -1474.467343 -710.427446
0.200000 1.991214 29.641513 -1370.074143 -605.447899
0.250000 1.992902 29.831367 -1361.396607 -596.122267
0.300000 1.997504 28.276738 -1433.156510 -666.115153
0.350000 2.033844 28.007466 -1445.612951 -664.617010
0.400000 1.941732 29.337257 -1381.060862 -635.435799
0.450000 2.064413 28.875082 -1407.328410 -614.593796
0.500000 1.991131 28.260060 -1430.702179 -666.107764
0.550000 1.982973 28.268646 -1431.829344 -670.367638
0.600000 2.008779 30.396541 -1336.036803 -564.665745
0.650000 2.019692 28.581594 -1417.467269 -641.905410
0.700000 2.005149 29.110827 -1397.186110 -627.208884
0.750000 2.020295 28.523969 -1423.300690 -647.507598
0.800000 2.008270 29.116176 -1397.081964 -625.906370
0.850000 2.005018 28.024672 -1442.328906 -672.401943
0.900000 1.967840 29.034247 -1393.077822 -637.427119
0.950000 1.995433 29.138044 -1390.304090 -624.057709
1.000000 1.969166 28.722918 -1409.360696 -653.200761
1.050000 2.009398 29.497754 -1378.715045 -607.106109
1.100000 1.980066 28.192560 -1435.452428 -675.107148
1.150000 2.024443 29.925932 -1354.205647 -576.819410
1.200000 2.025366 28.109726 -1442.912943 -665.172570
1.250000 1.948049 28.843858 -1404.625665 -656.574896
1.300000 2.010747 29.029790 -1400.206631 -628.079721
1.350000 2.004379 28.081501 -1442.968871 -673.287213
1.400000 1.992749 30.194034 -1343.915293 -578.699559
1.450000 2.020441 28.700891 -1417.245331 -641.396142
1.500000 2.040942 28.238334 -1435.077738 -651.356031
1.550000 1.993596 27.796833 -1450.371116 -684.830124
1.600000 2.005637 27.693208 -1458.313675 -688.149204
1.650000 1.991055 29.155370 -1398.827671 -634.262464
1.700000 2.019071 29.579897 -1374.284334 -598.961140
1.750000 2.021807 28.534137 -1423.416471 -647.042723
1.800000 2.001904 28.680985 -1413.822225 -645.090971
1.850000 2.037735 28.923744 -1405.035204 -622.544994
1.900000 1.990389 29.127117 -1396.590029 -632.280669
1.950000 2.000076 27.689515 -1457.486592 -689.457533
2.000000 2.002226 29.074974 -1397.811534 -628.956638
2.050000 2.018114 28.211221 -1437.667980 -662.712226
2.100000 1.961188 29.697271 -1365.404442 -612.308350
2.150000 2.024482 28.693193 -1415.888841 -638.487882
2.200000 1.981615 29.868002 -1359.411871 -598.471580
2.250000 2.025256 29.286460 -1390.529808 -612.831404
2.300000 2.035219 29.217300 -1388.846409 -607.322324
2.350000 1.971852 27.484039 -1464.619826 -707.428676
2.400000 2.004463 27.750915 -1455.160313 -685.446604
