# t Temp Pres Epot Etot
0.000000 1.989768 29.012718 -1398.981276 -634.910299
0.050000 2.004475 27.950171 -1444.282845 -674.564598
0.100000 2.014049 29.170399 -1390.256764 -616.861956
0.150000 2.009152 27.976547 -1443.839076 -672.324678
0.200000 2.014298 29.563397 -1373.450326 -599.959814
0.250000 1.977670 28.064954 -1440.555039 -681.129913
0.300000 1.993889 29.389787 -1381.983737 -616.330447
0.350000 2.032572 27.844016 -1451.846615 -671.339118
0.400000 2.015616 28.676809 -1414.006356 -640.009739
0.450000 1.999683 28.362537 -1427.081720 -659.203285
0.500000 1.985401 28.802944 -1408.429614 -646.035604
0.550000 2.000322 28.068643 -1441.472520 -673.348856
0.600000 2.009083 28.763475 -1409.973206 -638.485375
0.650000 1.999919 30.043729 -1352.454826 -584.485757
0.700000 2.012212 29.133108 -1392.367756 -619.678186
0.750000 2.011934 27.708632 -1457.959106 -685.376627
0.800000 1.982657 28.223618 -1433.474119 -672.133899
0.850000 1.992537 29.832261 -1363.393138 -598.259005
0.900000 2.007305 29.318894 -1386.151620 -615.346395
0.950000 1.975179 29.240881 -1386.808904 -628.340265
1.000000 2.006902 29.186299 -1393.089820 -622.439523
1.050000 1.961942 28.373390 -1424.935674 -671.549809
1.100000 1.986938 27.999115 -1444.053080 -681.068881
1.150000 2.021177 28.949022 -1404.609029 -628.476875
1.200000 1.990761 29.646559 -1369.147694 -604.695316
1.250000 2.011954 29.011422 -1402.492461 -629.902296
1.300000 1.989045 28.668974 -1411.237429 -647.444066
1.350000 1.996318 28.263335 -1434.743837 -668.157664
1.400000 2.002134 28.865451 -1402.449423 -633.630088
1.450000 1.993900 30.351660 -1338.959837 -573.302175
1.500000 1.998903 28.200169 -1435.876348 -668.297627
1.550000 2.022158 28.705881 -1411.993234 -635.484389
1.600000 1.997038 28.002177 -1446.871453 -680.008808
1.650000 1.998315 28.433395 -1421.413809 -654.060962
1.700000 1.993394 28.613105 -1414.475226 -649.011886
1.750000 2.000112 28.924526 -1400.193801 -632.150725
1.800000 1.973564 27.704902 -1451.856869 -694.008455
1.850000 1.963673 30.513798 -1330.525361 -576.474810
1.900000 2.031221 30.597195 -1334.095353 -554.106527
1.950000 2.022065 28.765995 -1411.138121 -634.665017
2.000000 1.994185 28.128575 -1435.105725 -669.338505
2.050000 2.025611 28.187047 -1436.175504 -658.340817
2.100000 1.995882 27.459624 -1469.597100 -703.178345
