# t Temp Pres Epot Etot
0.000000 2.023873 28.974298 -1398.894283 -621.726872
0.050000 1.973079 28.490707 -1421.528736 -663.866454
0.100000 2.022740 29.039411 -1396.420743 -619.688410
0.150000 1.988625 29.495411 -1375.440275 -611.808419
0.200000 2.003469 28.739105 -1413.064745 -643.732720
0.250000 1.977051 27.996842 -1442.042680 -682.854969
0.300000 2.003542 29.782062 -1361.720208 -592.360120
0.350000 1.999579 28.957470 -1400.037052 -632.198903
0.400000 2.012537 28.750692 -1409.241658 -636.427278
0.450000 2.029470 29.130806 -1392.865419 -613.548786
0.500000 1.978201 27.398803 -1474.686245 -715.056912
0.550000 2.023224 27.387453 -1472.803076 -695.885014
0.600000 1.982486 29.667717 -1368.648622 -607.374158
0.650000 2.040526 29.435383 -1380.368349 -596.806236
0.700000 2.008410 27.618953 -1462.547826 -691.318358
0.750000 1.959866 28.545380 -1416.400092 -663.811467
0.800000 2.018120 30.154448 -1349.083348 -574.125093
0.850000 2.020001 28.894317 -1405.543510 -629.863166
0.900000 2.000772 30.375778 -1334.130475 -565.834196
0.950000 2.010352 28.077978 -1438.842031 -666.866999
1.000000 2.010899 27.967240 -1447.592200 -675.406897
1.050000 2.024703 28.367341 -1429.672026 -652.186027
1.100000 1.975139 29.490823 -1374.677436 -616.224152
1.150000 2.029294 28.743330 -1412.874485 -633.625757
1.200000 2.002687 28.280072 -1431.733408 -662.701650
1.250000 2.005306 28.996941 -1398.070091 -628.032678
1.300000 1.986122 29.406680 -1376.334040 -613.663216
1.350000 2.044655 27.163940 -1485.605400 -700.457883
1.400000 1.949653 28.433579 -1421.530656 -672.863923
1.450000 1.990410 29.552990 -1373.081357 -608.763861
1.500000 2.054037 29.450298 -1381.790611 -593.040214
1.550000 1.967128 30.485330 -1327.578139 -572.200818
1.600000 1.989946 28.854502 -1408.043194 -643.903950
1.650000 2.004182 28.911826 -1403.277567 -633.671857
1.700000 2.018737 28.376414 -1431.595030 -656.399940
1.750000 2.005890 27.671827 -1460.056843 -689.795139
1.800000 2.030262 29.041308 -1398.007922 -618.387389
1.850000 1.982790 28.943735 -1400.826576 -639.435393
1.900000 2.003437 29.293327 -1386.929724 -617.609776
1.950000 2.037590 28.315688 -1428.898873 -646.464373
2.000000 1.975103 28.398982 -1425.023695 -666.584151
2.050000 1.965306 29.685283 -1365.166080 -610.488533
2.100000 2.017187 29.927952 -1356.252120 -581.652168
2.150000 2.015102 28.313334 -1429.264369 -655.465031
2.200000 1.972810 27.867130 -1446.788254 -689.229101
2.250000 2.015326 29.067082 -1394.699358 -620.814245
2.300000 1.978400 29.125390 -1391.187971 -631.482256
2.350000 2.014233 28.247736 -1430.258326 -656.792731
2.400000 2.020824 29.751557 -1366.454479 -590.458021
2.450000 1.990732 28.272101 -1428.261153 -663.820172
2.500000 1.972285 27.233519 -1477.144692 -719.787061
2.550000 2.000680 30.143857 -1345.669033 -577.407979
2.600000 2.012922 29.918899 -1361.561513 -588.599482
2.650000 1.989236 29.045718 -1397.317438 -633.450970
2.700000 2.054994 29.659771 -1370.610301 -581.492650
2.750000 1.996667 28.348968 -1431.054677 -664.334633
2.800000 1.970996 29.064210 -1393.515890 -636.653430
2.850000 2.033635 28.940725 -1401.794868 -620.879160
2.900000 2.025419 28.475315 -1421.462857 -643.701885
2.950000 1.998817 27.639347 -1460.651840 -693.106270
3.000000 1.976214 29.081036 -1393.246348 -634.380287
3.050000 2.014511 28.826970 -1406.204623 -632.632413
3.100000 2.002010 27.790991 -1451.833837 -683.062139
3.150000 1.974815 31.097322 -1302.096337 -543.767473
3.200000 1.982643 30.209432 -1342.897316 -581.562349
3.250000 2.041997 27.810392 -1457.863218 -673.736220
3.300000 1.975432 27.784142 -1453.116951 -694.551194
3.350000 1.988839 29.071277 -1395.386853 -631.672552
3.400000 2.009613 29.516655 -1372.574391 -600.882941
3.450000 2.000263 28.765238 -1413.014865 -644.913996
3.500000 1.971848 28.818691 -1404.986745 -647.797249
3.550000 1.974578 29.918755 -1358.086241 -599.848453
3.600000 2.056915 28.470473 -1425.810796 -635.955546
3.650000 2.016944 28.784230 -1408.061320 -633.554680
3.700000 1.989681 27.106448 -1484.934364 -720.896695
3.750000 2.044059 29.324600 -1386.808545 -601.889972
3.800000 1.963739 29.606285 -1372.055950 -617.980067
3.850000 1.981157 29.097058 -1396.457644 -635.693394
3.900000 2.043773 29.421735 -1381.463489 -596.654589
3.950000 1.974298 27.900451 -1448.646781 -690.516184
4.000000 1.976935 28.620288 -1414.730487 -655.587477
4.050000 1.992359 28.009658 -1443.149279 -678.083473
4.100000 1.977217 29.041124 -1396.666663 -637.415436
4.150000 2.004220 29.784326 -1363.875967 -594.255380
4.200000 1.972475 29.112245 -1390.791116 -633.360686
4.250000 1.986653 27.821315 -1451.422901 -688.548277
4.300000 1.997124 28.690470 -1413.485467 -646.589844
4.350000 1.994552 28.265621 -1427.716980 -661.808994
4.400000 1.992673 29.203583 -1390.851292 -625.664850
4.450000 1.990039 29.772026 -1361.398622 -597.223683
4.500000 2.032855 28.812876 -1410.232025 -629.615844
4.550000 1.986117 28.151517 -1433.443353 -670.774464
4.600000 1.942114 29.276480 -1383.289829 -637.518096
4.650000 2.024647 28.896346 -1404.497784 -627.033236
4.700000 1.956475 27.899776 -1445.469059 -694.182673
4.750000 2.026890 28.793257 -1407.295513 -628.969661
4.800000 2.005977 28.530923 -1420.206851 -649.911814
4.850000 1.982382 28.647783 -1415.131248 -653.896489
4.900000 2.040370 29.923152 -1358.891891 -575.389726
4.950000 1.991732 29.404331 -1383.401836 -618.576932
5.000000 1.975067 27.707189 -1455.363388 -696.937567
5.050000 2.021318 29.385906 -1384.028256 -607.842200
5.100000 2.030486 28.670294 -1414.530555 -634.824051
5.150000 1.981121 28.566141 -1417.461678 -656.711039
5.200000 1.999761 28.890656 -1405.438941 -637.530800
5.250000 1.979478 28.676682 -1412.664774 -652.545272
5.300000 1.992744 30.175024 -1346.615307 -581.401481
5.350000 2.040328 28.816139 -1410.090571 -626.604431
5.400000 2.007966 27.626223 -1459.551976 -688.492909
5.450000 1.943488 29.091708 -1388.074423 -641.774874
5.500000 1.979162 28.867057 -1403.268729 -643.270477
5.550000 2.020359 28.746731 -1408.912056 -633.094014
5.600000 1.989996 29.394560 -1382.583004 -618.424437
5.650000 1.981938 28.309792 -1429.791289 -668.727183
5.700000 1.994281 28.927273 -1402.235948 -636.431856
5.750000 2.008695 29.173645 -1390.250447 -618.911581
5.800000 1.985910 29.561223 -1376.390022 -613.800485
5.850000 2.003282 29.166211 -1393.548731 -624.288443
5.900000 2.002292 27.891930 -1450.815951 -681.935667
5.950000 1.914158 29.647170 -1365.626507 -630.589664
6.000000 2.013601 28.457959 -1423.277129 -650.054407
6.050000 2.025629 28.216787 -1436.830123 -658.988768
6.100000 1.979358 28.355655 -1427.267312 -667.193845
6.150000 1.966183 29.827909 -1361.360545 -606.346120
