# t Temp Pres Epot Etot
0.000000 2.023736 27.627655 -1462.726970 -685.612291
0.050000 1.939443 27.698047 -1454.450238 -709.704159
0.100000 2.004413 30.286912 -1343.066963 -573.372384
0.150000 2.036869 28.249612 -1436.164440 -654.006728
0.200000 2.025566 29.482233 -1379.781165 -601.963937
0.250000 2.004620 28.922098 -1401.039764 -631.265695
0.300000 2.017928 28.982732 -1401.245686 -626.361435
0.350000 1.993673 28.589810 -1416.334380 -650.764031
0.400000 2.010593 27.110298 -1486.786063 -714.718220
0.450000 2.016899 28.910014 -1402.249954 -627.760667
0.500000 2.022318 28.615227 -1417.599045 -641.028907
0.550000 2.024996 28.005212 -1447.925413 -670.327118
0.600000 1.998037 29.612820 -1370.045144 -602.798989
0.650000 1.966202 28.970219 -1395.623543 -640.601993
0.700000 2.029286 27.948379 -1447.405822 -668.160177
0.750000 1.940575 28.202947 -1430.850000 -685.669170
0.800000 1.959143 30.244591 -1337.996459 -585.685669
0.850000 2.011805 29.553746 -1376.424973 -603.891819
0.900000 2.000311 28.897161 -1402.836754 -634.717203
0.950000 2.005216 28.108618 -1441.254648 -671.251663
1.000000 1.982875 28.938302 -1399.520766 -638.096745
1.050000 2.013436 28.431441 -1424.725999 -651.566732
1.100000 2.024887 28.889725 -1399.514899 -621.958223
1.150000 1.985945 29.077434 -1396.380332 -633.777328
1.200000 1.993769 29.166570 -1388.748864 -623.141659
1.250000 2.002124 29.248304 -1388.006255 -619.190723
1.300000 2.014757 28.957017 -1400.352677 -626.685995
1.350000 1.991105 29.347790 -1382.370636 -617.786220
1.400000 2.017435 28.060424 -1442.453408 -667.758203
1.450000 1.959737 28.235550 -1429.833588 -677.294734
1.500000 2.010176 29.279507 -1385.560931 -613.653376
1.550000 2.012594 28.758087 -1411.345108 -638.508839
1.600000 2.001981 30.319631 -1340.572892 -571.812081
1.650000 2.004332 28.208961 -1434.396672 -664.733325
1.700000 1.967575 27.603194 -1460.439741 -704.890966
1.750000 2.003125 28.968453 -1397.778907 -628.578990
1.800000 1.989166 27.372394 -1472.367747 -708.528022
1.850000 1.967407 29.661853 -1370.042657 -614.558557
1.900000 2.021763 29.685286 -1371.806788 -595.449924
1.950000 2.017060 28.260889 -1435.505680 -660.954514
2.000000 2.027852 27.985095 -1445.951025 -667.255732
2.050000 1.998469 28.687577 -1413.586241 -646.174184
2.100000 2.013951 28.624394 -1416.808846 -643.451553
2.150000 1.987957 27.915313 -1447.721214 -684.345542
2.200000 2.029191 29.782363 -1368.162375 -588.952847
2.250000 2.006429 28.643373 -1412.690322 -642.221471
2.300000 2.009287 27.872963 -1451.495640 -679.929297
2.350000 2.004185 28.181116 -1437.033391 -667.426405
2.400000 2.026919 29.130444 -1395.428686 -617.091887
2.450000 1.980882 29.021262 -1397.416802 -636.758051
2.500000 2.046264 29.185740 -1395.759365 -609.994043
2.550000 2.008083 27.789997 -1456.165465 -685.061479
2.600000 1.962008 30.310864 -1338.667047 -585.255839
2.650000 2.027820 28.105798 -1443.892082 -665.209292
2.700000 1.961368 29.063030 -1391.735738 -638.570283
2.750000 1.975576 28.311237 -1427.716842 -669.095614
2.800000 2.004732 29.455903 -1376.675687 -606.858439
2.850000 2.028431 28.595430 -1415.245526 -636.327999
2.900000 1.993677 28.436868 -1424.958352 -659.386523
2.950000 2.015347 27.719947 -1456.560065 -682.666735
3.000000 1.983283 28.563961 -1417.101585 -655.521102
3.050000 1.994416 29.526962 -1379.620884 -613.765279
