# t Temp Pres Epot Etot
0.000000 2.029117 27.985650 -1447.433946 -668.253145
0.050000 1.988544 28.677060 -1413.718261 -650.117461
0.100000 2.006788 29.727842 -1368.145749 -597.539188
0.150000 1.986599 29.938724 -1357.577391 -594.723493
0.200000 2.043747 28.359403 -1432.344917 -647.545951
0.250000 1.995580 28.578670 -1418.823981 -652.521297
0.300000 1.986958 29.183444 -1391.320749 -628.328807
0.350000 2.028518 29.012251 -1398.614907 -619.663817
0.400000 2.008280 30.310222 -1338.796708 -567.617186
0.450000 2.018866 27.619013 -1462.864234 -687.619580
0.500000 2.020148 28.943068 -1403.195952 -627.458990
0.550000 1.970593 29.893421 -1360.338298 -603.630632
0.600000 2.033891 28.636710 -1416.555340 -635.541197
0.650000 2.010653 28.222458 -1432.293565 -660.202886
0.700000 1.971374 28.362613 -1424.946999 -667.939310
0.750000 2.003453 28.401257 -1424.459534 -655.133754
0.800000 1.968565 30.233882 -1340.932536 -585.003400
0.850000 1.994217 31.384086 -1287.097134 -521.317881
0.900000 2.028984 27.777060 -1457.844189 -678.714199
0.950000 1.986131 27.485493 -1464.002334 -701.328208
1.000000 1.996289 30.163579 -1346.930702 -580.355731
1.050000 2.009547 28.048540 -1444.855990 -673.189951
1.100000 1.968456 28.364933 -1425.750217 -669.863099
1.150000 1.975763 28.035903 -1442.372337 -683.679226
1.200000 2.011266 30.318159 -1340.796284 -568.470067
1.250000 1.986968 29.927805 -1356.490296 -593.494683
1.300000 2.003412 28.893318 -1404.284173 -634.973775
1.350000 2.013071 27.676510 -1459.416073 -686.396995
1.400000 2.003135 27.854637 -1448.395725 -679.191864
1.450000 1.993172 29.591732 -1370.640260 -605.262273
1.500000 2.028509 27.810434 -1454.749572 -675.802160
1.550000 1.988895 28.815462 -1404.690669 -640.955062
1.600000 2.024195 29.642026 -1369.987370 -592.696375
1.650000 2.010525 28.239276 -1433.914813 -661.873300
1.700000 1.992848 28.592864 -1417.080188 -651.826728
1.750000 1.998229 28.268010 -1431.833583 -664.513724
1.800000 1.995405 28.730968 -1409.362072 -643.126488
1.850000 2.025798 29.272835 -1386.715385 -608.809047
1.900000 1.984029 30.058228 -1348.238868 -586.371545
1.950000 1.989703 28.782196 -1409.762427 -645.716309
2.000000 1.992305 28.152218 -1433.966300 -668.921359
2.050000 2.005359 28.787806 -1407.636221 -637.578389
2.100000 1.991581 30.722869 -1319.806554 -555.039299
2.150000 2.040180 29.054543 -1397.108003 -613.679054
2.200000 1.961712 29.109248 -1391.620964 -638.323452
2.250000 1.991772 28.565904 -1420.500718 -655.660092
2.300000 1.978074 28.182015 -1436.379806 -676.799315
2.350000 1.981645 30.164075 -1348.217091 -587.265517
2.400000 2.038904 29.194811 -1389.381882 -606.442925
2.450000 1.997510 28.443121 -1424.837564 -657.793676
2.500000 2.025660 29.582091 -1374.432788 -596.579533
2.550000 1.971559 28.547432 -1419.682816 -662.604078
2.600000 1.992364 28.852625 -1405.861663 -640.793698
2.650000 2.017030 30.331679 -1338.394397 -563.854974
2.700000 1.995827 28.362749 -1426.597046 -660.199518
2.750000 2.012271 28.512920 -1421.093363 -648.381303
2.800000 2.012303 28.677619 -1416.109200 -643.384842
2.850000 1.991975 28.743073 -1409.646985 -644.728598
2.900000 2.012433 29.131552 -1394.326717 -621.552602
2.950000 1.989354 28.282668 -1430.244613 -666.332850
3.000000 2.008175 28.971714 -1401.511430 -630.372272
3.050000 2.027457 27.668661 -1457.063466 -678.519853
3.100000 1.941378 29.234116 -1383.028964 -637.539931
3.150000 1.983191 28.732246 -1409.280959 -647.735740
3.200000 2.023726 27.669298 -1460.426901 -683.316066
3.250000 1.998725 27.886210 -1448.617583 -681.107020
3.300000 2.007498 29.747398 -1367.104312 -596.225187
3.350000 2.033246 28.877788 -1406.301642 -625.535115
3.400000 1.974125 27.899844 -1444.961033 -686.896884
3.450000 1.957358 29.865796 -1355.421219 -603.795650
3.500000 2.038719 28.594037 -1420.505717 -637.637518
3.550000 1.971828 28.222082 -1433.776504 -676.594596
3.600000 1.955410 30.254114 -1339.709151 -588.831828
3.650000 1.974218 30.101945 -1346.435462 -588.335899
3.700000 2.009644 28.131047 -1437.089328 -665.385856
3.750000 1.980353 27.126975 -1483.766757 -723.311234
3.800000 2.009189 28.292146 -1431.329110 -659.800371
3.850000 1.984184 28.517301 -1419.180029 -657.253382
3.900000 2.082121 29.192570 -1395.553252 -596.018775
3.950000 2.047984 28.553256 -1420.655077 -634.229056
4.000000 1.982998 29.602887 -1368.891872 -607.420676
4.050000 2.022053 29.270598 -1386.507249 -610.038944
4.100000 1.988596 27.706113 -1458.181898 -694.560945
4.150000 1.994904 28.320954 -1427.301412 -661.258190
4.200000 2.008187 29.372504 -1382.011679 -610.867848
4.250000 2.006836 29.103663 -1396.276599 -625.651763
4.300000 2.028540 28.116138 -1437.867410 -658.907897
4.350000 1.972883 29.115124 -1391.069989 -633.483057
4.400000 1.990760 29.246939 -1387.397506 -622.945625
4.450000 2.037212 28.826557 -1409.532977 -627.243498
4.500000 1.981252 29.222551 -1386.258809 -625.458025
4.550000 2.002578 27.312060 -1475.061858 -706.071800
4.600000 1.999048 28.958791 -1401.030655 -633.396257
4.650000 1.992447 29.115331 -1393.923144 -628.823622
4.700000 2.024443 29.007707 -1398.682738 -621.296545
4.750000 1.985131 28.826222 -1405.523451 -643.232979
4.800000 1.997992 29.758723 -1366.103664 -598.874797
4.850000 2.026597 28.864372 -1405.853943 -627.640610
4.900000 2.013651 29.137657 -1390.776332 -617.534345
4.950000 1.995583 28.620787 -1416.662121 -650.358179
5.000000 1.968971 28.262823 -1428.324609 -672.239764
5.050000 1.995999 30.305629 -1337.103563 -570.639872
5.100000 2.022520 28.921254 -1402.048183 -625.400566
5.150000 1.973295 27.722865 -1456.699224 -698.953967
5.200000 1.988396 29.628544 -1375.169683 -611.625445
5.250000 2.027612 28.799609 -1409.937318 -631.334170
5.300000 2.006045 28.702129 -1411.626896 -641.305650
5.350000 2.000665 28.456896 -1422.460895 -654.205682
5.400000 2.011573 29.979915 -1350.875138 -578.430988
5.450000 1.969973 27.450809 -1465.556368 -709.086732
5.500000 2.001327 28.778128 -1407.161244 -638.651507
5.550000 1.962257 27.580406 -1460.344088 -706.837441
5.600000 2.001730 30.242724 -1339.676528 -571.012173
5.650000 2.006994 28.817094 -1404.746128 -634.060455
5.700000 1.972728 28.664134 -1412.555062 -655.027631
5.750000 2.018274 30.206742 -1342.013234 -566.996023
5.800000 1.995835 29.199681 -1389.109819 -622.709064
5.850000 2.044694 28.912494 -1400.340084 -615.177688
5.900000 1.989338 27.916921 -1445.684904 -681.778925
5.950000 1.975222 28.765394 -1407.746444 -649.261225
6.000000 2.010569 28.256441 -1433.500632 -661.442152
6.050000 1.981196 29.637166 -1368.831789 -608.052542
6.100000 2.007063 29.578682 -1370.896577 -600.184431
6.150000 2.012559 29.414637 -1382.431910 -609.609218
6.200000 1.960115 29.149767 -1389.175635 -636.491477
6.250000 1.998473 28.492993 -1422.592965 -655.179333
6.300000 1.997118 28.454092 -1425.277083 -658.383810
6.350000 2.032370 28.110486 -1441.629027 -661.198760
6.400000 1.987365 28.729171 -1413.417698 -650.269431
6.450000 1.989523 28.809125 -1407.975048 -643.998388
6.500000 2.025362 28.811638 -1411.052065 -633.313019
6.550000 2.019371 28.816878 -1410.479262 -635.040749
6.600000 1.974187 28.734950 -1410.766000 -652.678316
6.650000 1.995588 28.253939 -1434.899759 -668.594130
6.700000 2.024533 28.655754 -1412.306583 -634.885863
6.750000 1.939044 28.642792 -1411.728360 -667.135427
6.800000 1.978081 28.738476 -1409.098873 -649.515676
6.850000 1.997496 28.924425 -1403.041911 -636.003624
6.900000 2.011663 28.405604 -1425.713251 -653.234771
6.950000 2.025764 29.226321 -1391.571126 -613.677603
7.000000 2.031871 27.976149 -1446.644789 -666.406206
7.050000 1.991531 27.665820 -1459.694471 -694.946572
7.100000 1.976611 29.840404 -1363.508926 -604.490220
7.150000 2.012572 29.054727 -1398.495156 -625.667376
