# t Temp Pres Epot Etot
0.000000 2.006582 28.702916 -1410.895336 -640.367785
0.050000 1.972481 28.802194 -1404.985085 -647.552500
0.100000 2.016811 29.849850 -1362.086381 -587.631136
0.150000 1.980143 30.841257 -1315.205246 -554.830171
0.200000 2.004174 28.290878 -1428.816165 -659.213182
0.250000 1.992563 27.614887 -1461.559907 -696.415541
0.300000 1.973845 28.113849 -1438.203531 -680.247116
0.350000 2.008162 29.477400 -1378.169467 -607.035246
0.400000 2.028778 28.975168 -1400.191303 -621.140361
0.450000 1.982805 30.452950 -1333.071440 -571.674456
0.500000 2.007620 28.951554 -1401.081501 -630.155551
0.550000 2.009979 28.555117 -1418.901731 -647.069779
0.600000 1.979809 28.664315 -1416.190412 -655.943779
0.650000 2.008773 29.092258 -1395.609803 -624.241040
0.700000 2.015712 28.848337 -1403.799457 -629.766078
0.750000 1.985901 27.487946 -1467.488638 -704.902475
0.800000 1.973543 29.856155 -1358.498029 -600.657460
0.850000 1.998452 31.640461 -1282.969089 -515.563364
0.900000 2.032365 28.499858 -1422.941285 -642.512958
0.950000 2.006257 27.555474 -1463.491621 -693.089026
1.000000 1.989068 27.609766 -1458.856130 -695.054065
1.050000 2.002814 28.441394 -1421.454720 -652.373984
1.100000 1.982304 29.966197 -1351.381887 -590.177272
1.150000 1.992171 28.258544 -1430.990124 -665.996324
1.200000 1.980254 29.642705 -1369.978278 -609.560728
1.250000 2.038681 28.704245 -1413.346333 -630.492797
1.300000 2.018742 27.843502 -1451.086611 -675.889606
1.350000 1.991364 29.258065 -1386.564502 -621.880683
1.400000 1.978968 29.238998 -1387.911054 -627.987191
1.450000 2.025934 29.507736 -1378.818668 -600.860073
1.500000 1.997861 27.152623 -1483.209173 -716.030581
1.550000 1.998593 30.106498 -1351.648827 -584.189265
1.600000 2.070998 29.542631 -1374.551082 -579.288036
1.650000 2.001543 28.932826 -1398.995923 -630.403270
1.700000 1.993408 27.747982 -1452.929895 -687.461344
1.750000 1.992170 28.848493 -1403.461213 -638.467950
1.800000 1.992854 30.139059 -1345.888373 -580.632410
1.850000 2.004219 28.464334 -1422.322529 -652.702594
1.900000 2.022088 28.265402 -1432.248410 -655.766792
1.950000 1.964487 29.697249 -1366.672446 -612.309447
2.000000 2.019013 29.030786 -1398.816691 -623.515772
2.050000 1.993980 28.393208 -1424.067269 -658.378810
2.100000 1.988900 27.968021 -1448.066219 -684.328769
2.150000 2.044929 28.967491 -1405.241403 -619.988685
2.200000 1.981057 28.994785 -1401.822356 -641.096467
2.250000 2.007660 28.187900 -1436.902038 -665.960703
2.300000 2.003238 28.732642 -1410.782533 -641.539144
2.350000 2.028260 29.474044 -1377.509092 -598.657285
2.400000 1.956425 28.962145 -1398.678035 -647.410992
2.450000 2.016946 28.432602 -1424.922042 -650.414592
2.500000 2.010912 28.720536 -1413.927613 -641.737576
2.550000 1.984790 28.423929 -1424.462733 -662.303503
2.600000 2.001294 29.496927 -1380.132662 -611.635921
2.650000 1.994487 28.812533 -1404.075490 -638.192621
2.700000 1.967893 29.412785 -1378.560225 -622.889187
2.750000 2.044978 29.160377 -1394.314376 -609.042779
2.800000 1.980144 28.456697 -1423.505156 -663.129939
2.850000 2.007239 28.260200 -1435.431851 -664.652245
2.900000 2.012375 29.064061 -1398.507312 -625.755412
2.950000 1.966316 27.683272 -1455.838376 -700.772909
3.000000 1.962538 28.440778 -1423.116797 -669.502039
3.050000 2.015748 29.878176 -1360.409581 -586.362211
3.100000 2.007755 29.794241 -1363.074223 -592.096230
3.150000 2.007687 27.597883 -1461.724155 -690.772474
3.200000 2.023429 28.192084 -1436.678250 -659.681547
3.250000 1.997949 29.315357 -1382.227082 -615.014570
3.300000 2.023118 27.183734 -1480.571207 -703.693960
3.350000 1.944966 30.003000 -1351.295994 -604.429082
3.400000 2.036097 29.738225 -1364.442784 -582.581356
3.450000 2.025393 28.389305 -1430.197225 -652.446168
3.500000 1.980887 28.760068 -1410.552110 -649.891655
3.550000 2.029411 28.785475 -1408.986889 -629.693203
3.600000 1.983010 29.880401 -1356.074737 -594.598855
3.650000 2.022083 28.102259 -1436.999474 -660.519626
3.700000 2.003163 27.566991 -1463.580321 -694.365840
3.750000 1.972472 28.300960 -1429.563950 -672.134628
3.800000 2.019957 28.287322 -1431.509409 -655.846096
3.850000 1.986677 29.277199 -1387.712645 -624.828697
3.900000 1.995913 30.514126 -1328.613644 -562.183006
3.950000 2.026847 28.978797 -1400.533703 -622.224468
4.000000 1.998920 28.494343 -1419.422781 -651.837542
4.050000 1.994985 27.969264 -1445.649953 -679.575827
4.100000 1.973263 28.190300 -1434.168679 -676.435519
4.150000 2.005813 29.094655 -1396.106306 -625.874040
4.200000 2.001272 29.216685 -1389.858292 -621.370016
4.250000 1.977816 29.083706 -1396.297569 -636.816236
4.300000 2.013920 28.288671 -1434.723340 -661.378103
4.350000 1.977862 28.601797 -1418.941541 -659.442611
4.400000 1.997756 29.506018 -1375.759742 -608.621533
4.450000 1.989602 28.140044 -1438.109714 -674.102521
4.500000 2.004595 29.371849 -1383.327834 -613.563281
4.550000 1.978865 29.089721 -1392.609000 -632.724779
4.600000 1.989727 27.200103 -1479.401480 -715.346224
4.650000 2.012551 29.145490 -1389.850213 -617.030486
4.700000 1.994786 29.984851 -1352.353406 -586.355573
4.750000 2.044918 29.068662 -1396.998070 -611.749526
4.800000 1.984436 27.656973 -1457.206516 -695.183162
4.850000 2.004491 29.505704 -1378.292279 -608.567838
4.900000 2.025676 29.610898 -1371.032071 -593.172640
4.950000 1.982305 28.445777 -1424.396456 -663.191171
5.000000 1.998294 28.815260 -1405.742798 -638.397802
5.050000 2.024325 27.874349 -1452.202725 -674.862013
5.100000 1.965860 30.302318 -1339.003592 -584.113216
5.150000 2.037582 30.082899 -1350.661527 -568.229933
5.200000 1.986459 29.008892 -1396.640632 -633.840411
5.250000 2.008837 28.141704 -1438.443567 -667.049999
5.300000 2.009933 27.305446 -1477.125351 -705.311016
5.350000 1.937598 28.172087 -1434.294537 -690.256956
5.400000 2.018197 30.389264 -1336.854014 -561.866420
5.450000 1.971882 28.693290 -1410.188616 -652.985794
5.500000 2.002864 28.545418 -1419.607921 -650.508271
5.550000 2.014197 29.816275 -1368.156858 -594.705329
5.600000 2.031204 28.012248 -1444.383579 -664.401132
5.650000 1.969607 29.339510 -1383.308337 -626.979413
5.700000 2.028308 28.313468 -1429.795844 -650.925590
5.750000 2.003660 28.541495 -1417.894741 -648.489166
5.800000 1.972785 30.239422 -1342.542345 -584.992907
5.850000 2.043294 28.789674 -1410.605299 -625.980404
5.900000 1.995630 28.946450 -1400.287918 -633.966180
5.950000 2.006059 28.184623 -1434.848871 -664.522140
6.000000 1.991161 29.054389 -1393.815103 -629.209267
6.050000 1.987062 28.740935 -1409.206764 -646.174923
6.100000 1.974104 29.384224 -1381.397953 -623.342182
6.150000 2.023773 28.884409 -1406.209515 -629.080755
6.200000 1.983316 28.224282 -1435.495589 -673.902408
6.250000 2.002626 29.303891 -1385.928662 -616.920406
6.300000 1.986730 28.715885 -1412.453721 -649.549411
6.350000 2.020476 27.375033 -1471.336723 -695.473914
6.400000 2.005102 28.870684 -1406.664253 -636.705255
6.450000 2.000656 28.586617 -1415.906088 -647.654001
6.500000 1.989631 29.253226 -1388.388686 -624.370501
6.550000 2.016742 28.943188 -1403.093238 -628.664455
6.600000 2.022313 28.491703 -1422.882152 -646.313775
6.650000 1.990280 27.690668 -1456.383642 -692.116111
6.700000 1.968130 29.690455 -1368.951721 -613.189817
6.750000 1.987973 29.498477 -1377.946766 -614.564951
6.800000 2.013393 29.050408 -1396.635041 -623.492198
6.850000 1.959682 29.007432 -1397.883946 -645.366202
6.900000 2.026845 28.351714 -1428.486488 -650.178062
6.950000 1.965582 30.361787 -1334.151948 -579.368580
7.000000 2.016927 28.878940 -1406.579162 -632.079243
7.050000 1.977926 28.405694 -1425.470863 -665.947329
7.100000 1.977877 28.390794 -1424.217358 -664.712719
7.150000 2.014164 28.037117 -1442.438840 -668.999777
7.200000 1.958558 29.016815 -1395.536369 -643.450003
7.250000 2.001713 28.471639 -1422.513927 -653.855958
7.300000 2.035918 29.112307 -1396.709194 -614.916607
7.350000 2.000659 29.534241 -1373.740112 -605.486948
7.400000 2.002623 28.833920 -1403.804869 -634.797481
7.450000 2.000640 29.072911 -1397.701985 -629.456155
7.500000 2.027083 17.703006 -1522.104582 -743.704703
7.550000 1.994960 17.310223 -1536.960572 -770.895923
7.600000 2.000152 17.435904 -1529.247968 -761.189778
