# t Temp Pres Epot Etot
0.000000 2.014667 28.435711 -1427.879765 -654.247628
0.050000 1.984225 28.158615 -1436.431423 -674.489179
0.100000 1.998442 28.669032 -1414.229515 -646.827916
0.150000 1.998169 28.393072 -1426.714239 -659.417346
0.200000 1.970993 28.729829 -1411.398160 -654.536871
0.250000 2.011272 29.310851 -1384.956515 -612.628039
0.300000 2.015021 29.129079 -1396.940023 -623.171897
0.350000 1.994466 28.106973 -1440.396469 -674.521393
0.400000 2.026471 29.127153 -1390.776845 -612.611832
0.450000 1.999413 28.512247 -1420.621699 -652.847289
0.500000 1.975843 28.405764 -1426.436291 -667.712760
0.550000 2.003928 28.694332 -1414.023367 -644.515052
0.600000 1.978642 27.699161 -1457.314987 -697.516390
0.650000 1.976318 29.026124 -1400.707930 -641.801718
0.700000 2.019009 30.187642 -1349.973176 -574.673592
0.750000 2.007440 29.853155 -1364.341863 -593.485060
0.800000 2.037099 28.290059 -1433.191345 -650.945484
0.850000 1.971144 28.425028 -1422.794572 -665.875175
0.900000 2.012460 28.706081 -1414.598439 -641.813725
0.950000 1.986382 28.758047 -1409.423332 -646.652798
1.000000 1.994441 29.075670 -1394.994127 -629.128800
1.050000 2.018429 29.292197 -1388.175987 -613.099278
1.100000 1.994203 28.449051 -1423.474525 -657.700413
1.150000 1.984973 29.819117 -1360.083151 -597.853525
1.200000 1.973384 29.236981 -1386.477611 -628.698100
1.250000 2.045390 29.285566 -1387.585176 -602.155368
1.300000 1.991043 28.156849 -1435.792320 -671.231641
1.350000 2.015259 28.358309 -1430.822700 -656.963119
1.400000 1.991603 28.293370 -1430.364251 -665.588528
1.450000 2.026763 31.063149 -1308.115220 -529.838323
1.500000 1.997767 28.448217 -1424.726909 -657.584525
1.550000 1.987363 28.772896 -1409.676682 -646.529430
1.600000 1.993069 27.655512 -1456.830104 -691.491447
1.650000 2.008864 29.160938 -1390.644306 -619.240470
1.700000 1.974555 28.373704 -1425.277001 -667.048059
