# t Temp Pres Epot Etot
0.000000 2.000330 28.048394 -1443.174005 -675.047227
0.050000 2.029659 28.879364 -1407.377400 -627.988373
0.100000 1.998182 29.225314 -1390.334875 -623.033150
0.150000 2.015693 28.549304 -1417.644149 -643.618183
0.200000 1.994992 28.305627 -1431.222858 -665.146079
0.250000 1.995611 28.042401 -1442.121328 -675.806710
0.300000 2.019616 29.234309 -1390.994897 -615.462321
0.350000 1.981835 29.860606 -1362.134672 -601.110170
0.400000 2.010121 28.652670 -1413.214753 -641.328357
0.450000 2.004939 27.894532 -1448.316706 -678.420024
0.500000 2.006454 28.656361 -1413.866955 -643.388658
0.550000 1.998569 27.893152 -1447.372489 -679.921860
0.600000 1.959703 29.631179 -1368.536312 -616.010276
0.650000 1.993398 30.787150 -1318.946192 -553.481450
0.700000 1.998234 29.045578 -1395.914612 -628.592683
0.750000 1.993097 27.088393 -1484.737714 -719.388291
0.800000 2.016169 28.559885 -1420.708506 -646.499505
0.850000 1.974901 29.714844 -1364.993215 -606.631416
0.900000 2.050725 30.572351 -1327.383089 -539.904868
0.950000 2.031411 27.849800 -1449.770149 -669.708372
1.000000 1.991201 28.123290 -1437.122983 -672.501851
1.050000 2.001346 28.607011 -1416.459777 -647.942764
1.100000 1.999038 28.223075 -1433.688331 -666.057852
1.150000 1.980810 28.983974 -1397.458701 -636.827611
1.200000 2.025265 30.523687 -1331.276228 -553.574526
1.250000 2.014561 27.544555 -1464.114841 -690.523291
1.300000 2.012345 28.403319 -1424.654626 -651.914308
1.350000 1.985455 29.534978 -1370.195447 -607.780906
1.400000 1.971933 28.132351 -1437.524460 -680.302058
1.450000 2.020554 29.003392 -1399.018711 -623.126063
1.500000 2.004552 28.989011 -1397.848170 -628.100176
1.550000 1.962219 28.546669 -1416.147636 -662.655468
1.600000 2.027362 28.439900 -1426.193411 -647.686365
1.650000 1.995353 28.481182 -1421.501820 -655.286399
1.700000 1.976367 28.522697 -1416.911167 -657.986102
1.750000 1.999889 30.685581 -1323.355170 -555.397707
1.800000 2.056883 29.844422 -1359.909001 -570.065741
1.850000 2.045166 27.122790 -1483.413847 -698.069934
1.900000 1.977561 28.270287 -1427.910852 -668.527615
1.950000 2.022818 29.625029 -1369.526426 -592.764152
2.000000 2.014183 29.493766 -1378.216187 -604.770064
2.050000 2.019290 27.971941 -1446.823512 -671.416338
2.100000 1.998599 29.458200 -1379.285040 -611.822911
2.150000 2.017587 28.247771 -1427.839983 -653.086492
2.200000 1.990287 28.473219 -1422.029003 -657.758838
2.250000 2.013742 29.702495 -1366.118586 -592.841627
2.300000 1.985284 28.759022 -1407.604427 -645.255185
2.350000 2.023347 28.630298 -1414.221018 -637.255773
2.400000 1.985957 28.643880 -1413.069806 -650.462140
2.450000 1.998266 29.133845 -1394.679304 -627.345224
2.500000 1.986498 28.226943 -1434.041711 -671.226566
2.550000 1.949685 30.269255 -1335.528564 -586.849665
2.600000 2.009366 29.073909 -1398.506096 -626.909729
2.650000 2.024128 28.123163 -1439.935186 -662.669915
2.700000 1.968567 28.291356 -1428.615747 -672.685869
2.750000 1.967582 27.813622 -1451.960294 -696.408817
2.800000 2.026549 28.843581 -1409.276091 -631.081292
2.850000 2.001744 29.004312 -1401.088972 -632.419274
2.900000 1.991878 29.154852 -1388.445273 -623.564151
2.950000 1.993690 29.875249 -1358.950393 -593.373607
