# t Temp Pres Epot Etot
0.000000 2.000149 29.465950 -1378.461647 -610.404310
0.050000 2.034916 29.895981 -1358.354052 -576.946259
0.100000 1.989000 27.440121 -1469.835904 -706.059734
0.150000 1.974309 27.592265 -1460.345881 -702.211092
0.200000 2.024508 29.028389 -1397.168195 -619.756995
0.250000 1.974878 27.736978 -1458.117552 -699.764437
0.300000 1.997269 28.717216 -1412.699593 -645.748323
0.350000 2.004356 29.597004 -1374.091875 -604.419215
0.400000 1.995656 30.367230 -1339.000251 -572.668372
0.450000 2.027887 29.233161 -1392.106187 -613.397456
0.500000 1.991602 27.660104 -1459.309537 -694.534216
0.550000 2.011727 28.039447 -1442.884975 -670.381808
0.600000 2.000978 27.521131 -1464.133126 -695.757519
0.650000 1.975939 29.401551 -1381.869068 -623.108645
0.700000 1.996844 29.707376 -1365.809966 -599.021803
0.750000 2.030346 28.906774 -1407.026927 -627.374059
0.800000 1.988734 27.544471 -1465.274481 -701.600588
0.850000 1.999972 29.019552 -1396.544850 -628.555631
0.900000 2.031284 29.410979 -1382.534703 -602.521820
0.950000 1.996606 28.697892 -1411.366185 -644.669369
1.000000 2.016615 29.500697 -1379.915298 -605.535031
1.050000 1.983468 28.921358 -1399.045820 -637.394291
1.100000 2.011393 28.612006 -1414.795953 -642.420870
1.150000 1.998415 27.802930 -1453.118041 -685.726759
1.200000 2.025954 28.854377 -1406.223786 -628.257394
1.250000 2.000287 29.556921 -1374.865420 -606.755221
1.300000 1.999080 29.896402 -1357.821767 -590.174869
1.350000 1.997995 28.542296 -1415.448168 -648.218087
1.400000 1.986375 28.220150 -1429.413604 -666.645668
1.450000 2.010254 27.990273 -1444.690197 -672.752569
1.500000 2.004744 28.366750 -1424.684073 -654.862307
1.550000 1.989164 28.326701 -1428.648843 -664.809779
1.600000 2.002134 29.692774 -1370.823453 -602.003969
1.650000 2.060083 28.385729 -1430.057055 -638.985274
1.700000 1.990735 28.022173 -1443.039419 -678.597252
1.750000 2.000891 29.584652 -1373.442986 -605.100891
1.800000 2.010241 28.986359 -1400.074093 -628.141472
1.850000 2.011476 29.640230 -1372.312834 -599.905992
1.900000 2.002249 26.870204 -1496.361605 -727.498131
1.950000 1.979411 28.849411 -1405.470756 -645.376761
2.000000 2.018110 29.365397 -1386.257763 -611.303569
2.050000 2.001116 28.818871 -1406.811227 -638.382579
2.100000 2.006496 28.898976 -1400.945624 -630.451301
2.150000 2.015808 28.490712 -1422.664710 -648.594626
2.200000 2.020377 28.441337 -1423.564695 -647.740105
2.250000 1.978110 29.097574 -1394.177276 -634.583148
2.300000 2.001693 29.075660 -1394.059511 -625.409382
2.350000 2.008402 28.466647 -1426.161215 -654.934859
2.400000 2.003580 28.249643 -1433.259265 -663.884572
2.450000 1.993904 30.001351 -1354.132714 -588.473507
2.500000 2.009751 28.866476 -1407.170052 -635.425773
2.550000 2.007884 28.780498 -1408.031960 -637.004599
2.600000 1.976245 27.194811 -1478.782342 -719.904345
2.650000 2.028772 29.595673 -1373.876303 -594.827941
2.700000 2.010192 29.431143 -1380.876388 -608.962569
2.750000 1.989909 28.101471 -1439.190343 -675.065354
2.800000 2.005733 29.329435 -1380.807006 -610.605642
2.850000 1.962568 29.778947 -1359.114259 -605.488099
2.900000 1.985496 27.829739 -1450.996008 -688.565365
2.950000 2.042397 28.328061 -1429.642666 -645.362237
3.000000 1.975793 29.160511 -1389.710196 -631.005640
3.050000 2.051254 28.078046 -1443.730043 -656.048469
3.100000 1.968144 30.523591 -1328.749209 -572.982044
3.150000 2.044749 28.855561 -1410.221377 -625.037809
3.200000 1.980702 28.281487 -1431.858362 -671.268723
3.250000 2.000972 28.907915 -1401.739715 -633.366478
3.300000 1.979359 27.851501 -1451.359879 -691.286049
3.350000 1.960973 29.696458 -1362.619007 -609.605492
3.400000 1.980120 30.151786 -1344.985333 -584.619192
3.450000 1.973684 29.504803 -1374.318153 -616.423435
3.500000 2.013182 28.719321 -1411.720186 -638.658422
3.550000 2.001333 28.345011 -1428.463505 -659.951465
3.600000 1.986171 28.250303 -1434.113837 -671.424002
3.650000 2.024256 28.983568 -1401.759332 -624.445024
3.700000 2.016523 29.284538 -1384.723209 -610.378416
3.750000 2.021437 28.095933 -1441.438441 -665.206518
3.800000 1.998152 27.802325 -1450.996748 -683.706415
3.850000 2.005111 28.003361 -1445.706101 -675.743362
3.900000 1.969992 30.869767 -1313.998226 -557.521439
3.950000 2.049493 27.617651 -1465.207963 -678.202686
