# t Temp Pres Epot Etot
0.000000 1.993947 28.815079 -1408.040161 -642.364692
0.050000 2.025196 28.530729 -1425.476404 -647.801084
0.100000 2.028548 28.486182 -1423.802026 -644.839549
0.150000 1.971689 29.480122 -1375.649531 -618.520924
0.200000 1.991632 27.588184 -1463.322160 -698.535449
0.250000 2.000784 28.174386 -1432.927553 -664.626527
0.300000 1.983433 28.378432 -1426.153904 -664.515768
0.350000 2.013268 28.423595 -1424.616968 -651.522106
0.400000 1.985221 28.756655 -1408.950453 -646.625726
0.450000 2.017318 29.268916 -1389.329572 -614.679354
0.500000 2.007535 29.130057 -1396.987974 -626.094359
0.550000 1.999534 28.986749 -1400.837047 -633.015851
0.600000 2.011048 28.374827 -1426.990497 -654.748155
0.650000 2.002985 27.548941 -1466.742543 -697.596194
0.700000 1.996584 29.316686 -1383.184281 -616.496199
0.750000 1.977469 28.829638 -1407.256349 -647.908358
0.800000 1.995041 28.555854 -1420.098573 -654.002699
0.850000 1.975419 28.921223 -1404.316352 -645.755616
0.900000 2.022721 29.351836 -1385.599556 -608.874718
0.950000 1.980929 30.827734 -1314.254441 -553.577668
1.000000 2.003537 28.892947 -1404.115899 -634.757518
1.050000 2.017672 27.688886 -1460.916467 -686.130580
1.100000 1.975488 27.949127 -1444.653463 -686.066204
1.150000 1.966087 29.436067 -1377.471548 -622.494102
1.200000 2.064094 28.927928 -1404.283852 -611.671715
1.250000 2.020789 29.605972 -1370.610187 -594.627220
1.300000 1.993832 28.069684 -1440.082438 -674.450779
1.350000 2.008504 28.095642 -1440.501131 -669.235772
1.400000 1.992082 28.749900 -1409.310676 -644.351284
1.450000 1.977414 30.265229 -1343.419887 -584.093074
1.500000 2.038333 27.823374 -1454.371557 -671.651499
1.550000 1.961205 28.488452 -1419.172793 -666.070017
1.600000 1.994824 27.757478 -1453.438463 -687.426156
1.650000 2.045756 29.436567 -1383.054293 -597.483989
1.700000 1.993868 29.208512 -1389.653689 -624.008567
1.750000 2.028692 28.521743 -1418.773957 -639.756038
1.800000 2.030672 28.723179 -1414.507419 -634.729265
1.850000 1.987707 28.311819 -1429.178643 -665.899147
1.900000 1.980558 28.727499 -1412.028733 -651.494583
1.950000 2.032356 28.711800 -1415.685387 -635.260619
2.000000 2.014452 28.604671 -1416.303343 -642.753808
2.050000 2.012345 28.125406 -1440.284282 -667.543766
2.100000 1.959712 29.359045 -1380.164061 -627.634714
2.150000 2.018621 28.748935 -1413.407884 -638.257456
2.200000 2.016300 29.013912 -1397.677685 -623.418667
2.250000 1.994101 28.124274 -1437.978236 -672.243311
2.300000 1.975077 28.954971 -1400.882994 -642.453281
2.350000 2.020301 29.108679 -1395.641535 -619.845809
2.400000 2.021542 28.640770 -1415.020439 -638.748228
2.450000 1.954054 28.899249 -1399.839203 -649.482656
2.500000 2.030724 29.572395 -1374.265440 -594.467368
2.550000 1.981427 29.215448 -1385.636755 -624.768760
2.600000 2.022613 28.545840 -1422.255711 -645.572401
2.650000 1.987018 29.248347 -1383.278836 -620.263920
2.700000 1.957024 29.170525 -1391.541665 -640.044602
2.750000 2.020285 30.622633 -1329.596868 -553.807261
2.800000 1.966517 29.113195 -1392.040379 -636.898003
2.850000 2.037229 28.149577 -1439.230411 -656.934484
2.900000 1.997922 29.176934 -1390.076965 -622.874883
2.950000 1.993619 28.601126 -1417.281569 -651.732020
3.000000 2.033372 28.443178 -1425.947820 -645.132966
3.050000 1.970902 29.368284 -1380.887210 -624.060741
3.100000 1.996256 28.375338 -1429.004354 -662.442214
3.150000 2.015571 28.731124 -1413.961267 -639.981932
3.200000 1.996446 29.460529 -1376.448036 -609.812937
3.250000 1.994580 29.345447 -1383.081217 -617.162663
3.300000 2.032996 28.442754 -1423.828055 -643.157445
3.350000 1.986048 27.616453 -1459.115927 -696.473489
3.400000 1.962272 28.614364 -1412.817416 -659.304787
3.450000 2.019810 28.344314 -1428.541787 -652.934609
3.500000 1.997063 29.677994 -1368.802248 -601.930084
3.550000 2.029012 29.302516 -1388.450605 -609.310136
3.600000 1.989439 28.705799 -1409.316784 -645.372101
3.650000 1.983006 28.695959 -1412.223177 -650.748976
