# t Temp Pres Epot Etot
0.000000 2.004155 28.677204 -1413.303196 -643.707824
0.050000 2.008831 29.242657 -1389.522945 -618.131817
0.100000 1.993596 29.580333 -1372.920999 -607.380057
0.150000 2.013088 30.289879 -1344.720293 -571.694684
0.200000 1.998851 28.671773 -1413.033909 -645.475044
0.250000 2.016966 28.866428 -1407.696350 -633.181233
0.300000 1.995644 29.192141 -1391.076306 -624.748973
0.350000 2.004759 28.935512 -1401.983385 -632.155776
0.400000 2.018120 28.082215 -1440.488221 -665.530119
0.450000 1.963586 28.807469 -1406.637869 -652.620745
0.500000 1.976864 29.254781 -1383.570514 -624.454628
0.550000 2.001456 28.987519 -1400.522415 -631.963442
0.600000 1.997059 27.660257 -1457.272712 -690.402007
0.650000 2.032482 29.571406 -1374.486591 -594.013534
0.700000 1.976210 29.274743 -1385.789564 -626.924811
0.750000 2.001885 28.710706 -1413.445252 -644.721259
0.800000 1.995229 28.169111 -1439.300589 -673.132556
0.850000 2.008827 28.298815 -1433.097424 -661.708038
0.900000 2.003332 29.245913 -1386.488880 -617.209223
0.950000 2.027983 29.638927 -1372.004386 -593.258895
1.000000 2.002174 28.705522 -1409.960048 -641.125265
1.050000 1.996717 29.369854 -1382.634992 -615.895505
1.100000 2.013633 28.192178 -1437.764438 -664.529267
1.150000 1.949948 28.380180 -1428.842381 -680.062363
1.200000 1.994092 29.524226 -1377.867798 -612.136309
1.250000 2.027661 29.038360 -1399.786353 -621.164648
1.300000 2.025009 29.159777 -1395.989888 -618.386311
1.350000 2.039229 26.838697 -1499.507424 -716.443495
1.400000 1.988112 28.598663 -1415.979693 -652.544814
1.450000 1.990392 28.910836 -1400.961460 -636.651061
1.500000 1.988168 29.549164 -1374.788576 -611.332042
1.550000 2.021406 28.343829 -1433.419045 -657.199267
1.600000 1.986163 26.946302 -1491.799108 -729.112508
1.650000 1.983893 29.007324 -1400.693876 -638.878985
1.700000 2.026477 30.403235 -1343.298957 -565.131741
1.750000 2.023399 29.187415 -1394.389860 -617.404495
1.800000 1.995906 29.453793 -1379.219306 -612.791369
1.850000 2.014149 27.061443 -1488.180275 -714.747202
1.900000 1.966249 28.852319 -1404.692753 -649.653146
1.950000 1.971621 29.395179 -1381.466372 -624.363915
2.000000 2.030450 28.139526 -1441.311844 -661.618864
2.050000 2.002090 28.669130 -1412.229919 -643.427402
2.100000 1.992999 29.569089 -1371.423752 -606.112216
2.150000 2.016141 29.221286 -1389.722035 -615.524002
2.200000 1.969105 28.153504 -1435.094784 -678.958321
2.250000 2.014228 28.678720 -1417.523377 -644.059877
2.300000 2.020258 28.740352 -1413.329828 -637.550613
