# t Temp Pres Epot Etot
0.000000 2.010468 28.668560 -1412.844038 -640.824158
0.050000 1.960492 29.576764 -1366.155014 -613.326065
0.100000 2.020092 29.855144 -1362.203791 -586.488327
0.150000 1.982405 29.083633 -1394.658101 -633.414676
0.200000 1.994192 28.076245 -1439.880327 -674.110432
0.250000 1.976734 29.242688 -1387.510426 -628.444614
0.300000 2.027030 28.205910 -1434.144561 -655.765049
0.350000 2.002536 28.063682 -1439.867428 -670.893710
0.400000 1.947247 29.086159 -1393.429317 -645.686372
0.450000 2.016596 29.014709 -1400.717936 -626.345251
0.500000 2.014348 29.008453 -1399.916856 -626.407214
0.550000 1.979825 28.208717 -1434.920911 -674.668256
0.600000 2.030872 29.130848 -1392.888796 -613.033971
0.650000 1.990716 29.359845 -1378.493330 -614.058231
0.700000 1.986243 28.648919 -1416.164881 -653.447630
0.750000 1.980121 28.675838 -1411.672880 -651.306329
0.800000 2.022644 28.942397 -1404.509435 -627.814198
0.850000 1.996498 30.402201 -1340.622090 -573.967016
0.900000 2.027097 28.636443 -1415.610280 -637.205060
0.950000 2.001154 27.884067 -1451.060746 -682.617743
1.000000 2.011104 28.427596 -1424.523557 -652.259608
1.050000 1.980232 29.626665 -1369.602304 -609.193077
1.100000 2.012639 28.741302 -1408.036031 -635.182683
1.150000 1.983848 28.784470 -1406.155148 -644.357660
1.200000 1.997918 29.100261 -1393.139240 -625.938605
1.250000 1.971507 29.178200 -1386.168470 -629.109701
1.300000 2.022664 29.502260 -1375.663830 -598.960994
1.350000 1.992985 27.582130 -1461.404884 -696.098831
1.400000 1.955534 29.054786 -1396.985729 -646.060560
1.450000 2.018956 28.106141 -1441.782127 -666.503075
1.500000 2.031954 29.427588 -1380.449950 -600.179746
1.550000 1.987573 28.894228 -1404.469405 -641.241342
1.600000 1.964272 29.379232 -1379.928393 -625.647949
1.650000 1.981585 28.950786 -1399.981733 -639.053012
1.700000 1.984266 29.779246 -1360.941032 -598.983042
1.750000 2.022693 29.778276 -1367.210834 -590.496804
1.800000 1.975634 27.062435 -1485.993114 -727.349660
1.850000 1.989430 27.920901 -1446.163398 -682.222181
1.900000 1.968726 29.638878 -1367.779485 -611.788725
1.950000 2.001414 28.790015 -1408.436447 -639.893318
2.000000 2.019741 28.575465 -1422.109239 -646.528793
2.050000 2.000046 30.223482 -1344.812579 -576.794745
2.100000 2.035311 27.985500 -1446.344824 -664.785297
2.150000 1.958585 28.635046 -1413.771280 -661.674825
2.200000 2.014850 30.623036 -1329.867445 -556.164940
2.250000 2.019098 28.267208 -1435.260756 -659.927313
2.300000 1.992579 27.508194 -1466.399530 -701.249150
2.350000 2.014243 28.548739 -1421.750013 -648.280718
2.400000 1.982323 28.908870 -1402.814184 -641.602003
2.450000 1.998686 30.106414 -1349.281447 -581.785973
2.500000 2.047046 28.674325 -1416.310774 -630.244975
2.550000 1.998306 28.151216 -1436.013978 -668.664444
2.600000 1.987207 29.649350 -1371.431698 -608.344095
2.650000 2.034743 27.968181 -1447.882153 -666.540760
2.700000 1.948552 28.669596 -1412.771840 -664.528016
2.750000 2.008960 29.510788 -1378.987740 -607.547143
2.800000 1.984541 28.882750 -1405.894527 -643.830895
2.850000 1.985072 29.114837 -1395.693720 -633.425890
2.900000 2.062676 29.168239 -1394.487624 -602.420023
2.950000 1.972541 27.705065 -1454.133890 -696.677979
3.000000 1.977837 29.728257 -1368.408379 -608.918979
3.050000 2.058364 28.204884 -1435.817911 -645.405992
3.100000 1.955792 28.194053 -1435.845389 -684.821441
3.150000 1.976862 30.791909 -1319.407710 -560.292630
3.200000 2.050089 27.978934 -1445.516996 -658.282982
3.250000 1.963711 28.381977 -1426.290838 -672.225812
