# t Temp Pres Epot Etot
0.000000 1.982592 27.881299 -1447.654344 -686.338919
0.050000 1.981624 30.667420 -1324.943625 -564.000137
0.100000 2.038832 29.597098 -1371.627570 -588.716182
0.150000 2.052341 28.369108 -1425.303982 -637.204948
0.200000 1.961714 27.544772 -1462.563352 -709.265267
0.250000 1.974104 29.483763 -1374.086329 -616.030460
0.300000 1.962230 29.730302 -1366.408879 -612.912444
0.350000 2.026609 27.969984 -1448.483130 -670.265346
0.400000 1.961431 28.229549 -1431.556202 -678.366603
0.450000 1.990615 29.657548 -1365.509417 -601.113424
0.500000 1.993073 28.858944 -1405.836759 -640.496590
0.550000 2.003526 28.742050 -1413.632418 -644.278336
0.600000 2.035554 29.490838 -1379.035501 -597.382625
0.650000 2.006944 26.971846 -1491.342625 -720.675939
0.700000 1.983320 28.280529 -1430.858585 -669.263595
0.750000 1.997714 30.414892 -1336.400409 -569.278197
0.800000 2.044460 29.850407 -1364.392894 -579.320356
0.850000 1.975519 28.407738 -1424.903248 -666.304034
0.900000 2.049374 29.540707 -1374.741933 -587.782374
0.950000 1.982655 28.924196 -1399.101806 -637.762188
1.000000 1.961088 29.395214 -1381.651149 -628.593495
1.050000 2.011634 28.322827 -1432.584674 -660.117308
1.100000 2.023876 29.063370 -1398.753309 -621.585068
1.150000 2.005461 29.095009 -1393.532123 -623.435280
1.200000 2.017377 28.064485 -1442.826110 -668.153507
1.250000 1.972332 28.882963 -1402.277602 -644.902205
1.300000 2.022811 28.714067 -1413.669858 -636.910363
1.350000 1.988132 28.850590 -1406.746226 -643.303646
1.400000 2.019171 29.479492 -1380.874002 -605.512378
1.450000 1.973484 27.969211 -1443.381690 -685.563967
1.500000 1.991525 27.714461 -1458.530232 -693.784510
1.550000 1.971246 28.663114 -1411.627388 -654.668780
1.600000 1.986935 28.883400 -1405.858294 -642.875136
1.650000 1.961637 28.945327 -1400.077530 -646.808790
1.700000 2.041587 30.267906 -1345.541863 -561.572587
1.750000 1.972063 29.499799 -1374.199558 -616.927451
1.800000 1.997744 27.741479 -1455.553899 -688.420056
1.850000 1.996351 27.749915 -1457.065589 -690.466906
1.900000 1.958335 29.453250 -1378.283364 -626.282873
1.950000 2.005176 29.609405 -1373.520014 -603.532589
2.000000 2.001946 26.754693 -1500.015652 -731.268342
2.050000 1.976569 28.300150 -1429.050175 -670.047589
2.100000 2.009224 29.132136 -1399.262067 -627.720207
2.150000 2.023273 30.767878 -1321.261195 -544.324475
2.200000 2.001954 28.379948 -1427.451711 -658.701309
2.250000 2.015568 28.519299 -1420.118179 -646.140116
2.300000 1.981177 29.341016 -1383.877490 -623.105355
