# t Temp Pres Epot Etot
0.000000 2.021328 28.386124 -1430.143420 -653.953476
0.050000 1.972326 27.892044 -1447.040487 -689.667351
0.100000 1.990459 28.450065 -1426.282799 -661.946618
0.150000 2.011880 30.018647 -1350.929025 -578.367129
0.200000 2.032623 28.668224 -1414.214827 -633.687763
0.250000 2.008423 28.464948 -1419.347563 -648.112965
0.300000 2.010934 27.651727 -1459.537090 -687.338257
0.350000 2.004504 27.884483 -1448.459026 -678.729574
0.400000 1.996237 29.232681 -1388.381630 -621.826721
0.450000 2.017802 28.734709 -1410.943137 -636.107101
0.500000 1.979304 29.954617 -1353.973820 -593.921099
0.550000 2.059276 29.019125 -1399.451155 -608.689012
0.600000 1.977907 28.924048 -1400.701139 -641.184817
0.650000 2.024901 29.641656 -1368.554496 -590.992586
0.700000 2.010846 28.510813 -1419.719158 -647.554187
0.750000 1.985626 28.564172 -1419.472266 -656.992066
0.800000 2.028851 29.383019 -1382.710104 -603.631232
0.850000 2.038668 28.795277 -1409.978339 -627.129984
0.900000 1.972002 27.780448 -1455.793622 -698.544723
0.950000 2.000773 29.841428 -1363.437453 -595.140713
1.000000 1.992115 29.903144 -1359.134523 -594.162507
1.050000 2.005951 29.397443 -1384.993590 -614.708568
1.100000 1.982985 28.257498 -1431.481710 -670.015583
1.150000 2.022026 28.796097 -1410.936632 -634.478501
1.200000 1.990349 29.021146 -1396.776774 -632.482689
1.250000 2.001810 28.983060 -1401.772541 -633.077385
1.300000 2.052261 28.272615 -1435.608495 -647.540426
1.350000 1.994494 28.273441 -1430.936874 -665.051096
1.400000 1.977840 28.956590 -1399.674611 -640.183897
1.450000 2.000024 30.703858 -1326.080164 -558.070915
1.500000 1.976597 28.126900 -1439.339174 -680.325972
1.550000 1.985998 28.627094 -1413.652112 -651.029014
1.600000 1.995655 27.786485 -1454.384554 -688.053143
1.650000 2.011357 28.855236 -1404.079682 -631.718637
1.700000 1.986990 29.263376 -1384.702568 -621.698388
1.750000 2.014825 28.732335 -1412.932313 -639.239691
1.800000 2.012484 28.688008 -1412.383908 -639.590200
1.850000 2.009791 28.402011 -1424.801083 -653.041266
1.900000 1.976318 29.064857 -1396.278076 -637.372131
1.950000 1.987890 29.718727 -1368.474933 -605.125037
2.000000 2.028196 29.149443 -1396.115990 -617.288766
2.050000 2.025934 28.024754 -1443.727873 -665.769298
2.100000 1.994207 27.485853 -1464.624261 -698.848887
2.150000 1.967995 30.038589 -1350.540112 -594.830082
2.200000 1.998389 28.733187 -1409.562050 -642.180553
2.250000 1.968499 29.498786 -1373.923522 -618.019828
2.300000 1.994294 29.893239 -1358.751694 -592.942664
2.350000 2.024343 28.779206 -1408.532244 -631.184355
2.400000 1.986462 28.445336 -1421.592831 -658.791493
2.450000 2.021997 28.863440 -1402.305399 -625.858461
2.500000 2.001167 28.741218 -1410.437541 -641.989253
2.550000 1.966567 29.159328 -1388.425592 -633.263762
2.600000 1.974468 29.392109 -1379.685952 -621.490089
2.650000 1.994915 28.633715 -1415.035560 -648.988359
2.700000 2.015021 28.546539 -1418.610862 -644.842859
2.750000 2.016838 28.099564 -1442.932651 -668.466834
2.800000 1.983574 29.036134 -1394.855693 -633.163370
2.850000 2.018466 28.921888 -1406.583135 -631.492081
2.900000 2.005992 29.650589 -1371.844128 -601.543278
2.950000 2.043751 28.822111 -1407.696651 -622.896292
3.000000 2.002231 27.779290 -1452.058834 -683.202060
3.050000 2.006495 27.749951 -1456.398064 -685.903921
3.100000 1.979183 29.038334 -1392.973788 -632.967604
3.150000 1.964638 30.385262 -1336.545854 -582.124685
3.200000 2.007914 28.464539 -1423.788169 -652.749111
3.250000 1.973888 29.253202 -1388.565994 -630.592961
3.300000 2.032627 29.159355 -1391.591157 -611.062370
3.350000 1.965440 27.447818 -1466.094033 -711.365156
3.400000 2.002204 28.101793 -1440.551476 -671.705330
3.450000 1.996319 29.362213 -1381.396547 -614.809865
3.500000 2.001500 27.610387 -1460.206192 -691.630343
3.550000 1.972004 29.624791 -1370.510656 -613.261078
3.600000 2.016170 29.523032 -1376.428615 -602.219208
3.650000 1.997774 28.278162 -1429.834980 -662.689744
3.700000 1.990387 29.649438 -1367.870441 -603.561701
3.750000 2.052033 27.781702 -1454.264248 -666.283706
3.800000 1.930888 28.782297 -1402.210001 -660.748892
3.850000 2.002411 30.135677 -1346.374353 -577.448700
3.900000 1.995198 29.552531 -1371.855588 -605.699604
3.950000 1.994416 29.659299 -1368.578509 -602.722787
4.000000 2.033977 27.920920 -1449.109708 -668.062646
4.050000 2.006207 29.589354 -1374.795710 -604.412150
4.100000 2.021132 28.172120 -1437.493235 -661.378444
4.150000 1.997659 27.870131 -1447.866514 -680.765579
4.200000 2.012930 28.701717 -1414.135632 -641.170621
4.250000 1.952498 29.259278 -1386.400334 -636.641246
4.300000 2.014784 29.259285 -1387.499238 -613.822083
4.350000 1.990748 28.145213 -1435.108460 -670.661176
4.400000 2.015064 28.249249 -1432.545337 -658.760893
4.450000 1.999876 28.613081 -1414.948856 -646.996635
4.500000 2.012557 29.096026 -1396.778508 -623.956493
4.550000 2.014332 30.195691 -1345.627558 -572.123989
4.600000 1.984234 27.875572 -1448.383119 -686.437092
4.650000 1.985461 28.087259 -1438.647007 -676.229978
4.700000 1.982023 28.676925 -1414.005805 -652.908975
4.750000 2.027460 28.549269 -1422.318949 -643.774409
4.800000 1.995005 30.046249 -1356.721278 -590.639243
4.850000 2.038079 27.800763 -1456.311588 -673.689374
4.900000 1.964972 28.870379 -1399.121047 -644.571711
4.950000 1.987285 29.092783 -1393.609570 -630.492044
5.000000 2.000889 28.534519 -1419.646494 -651.305026
5.050000 2.005741 28.599736 -1415.485456 -645.280967
5.100000 2.009653 28.897110 -1403.991502 -632.284771
5.150000 1.975948 28.076084 -1442.085090 -683.320910
5.200000 1.980627 30.746725 -1323.400135 -562.839307
5.250000 2.020456 30.388339 -1339.719736 -563.864543
5.300000 2.004583 27.258008 -1481.023353 -711.263343
5.350000 2.007694 28.031118 -1445.367787 -674.413372
5.400000 1.994310 29.329706 -1385.536355 -619.721329
5.450000 1.961666 29.477938 -1376.199955 -622.920196
5.500000 2.015976 28.162190 -1438.918517 -664.783572
5.550000 1.980422 27.853354 -1449.995608 -689.513686
5.600000 2.004697 28.306101 -1429.382318 -659.578665
5.650000 2.036201 28.619321 -1414.501898 -632.600618
5.700000 1.995777 29.202516 -1391.059103 -624.680790
5.750000 1.998754 30.337618 -1338.383709 -570.862231
5.800000 1.988500 29.389863 -1381.285848 -617.701881
5.850000 2.005076 29.308809 -1384.724186 -614.774810
5.900000 2.005408 28.100306 -1438.637803 -668.561164
5.950000 1.973582 27.375547 -1471.518973 -713.663561
6.000000 2.035195 29.341023 -1388.350611 -606.835909
6.050000 1.997209 28.416663 -1427.626046 -660.697774
6.100000 1.970273 29.637565 -1368.257229 -611.672385
6.150000 2.020707 28.889559 -1406.203455 -630.251781
6.200000 2.038284 27.544485 -1466.118234 -683.417075
6.250000 2.019166 29.469973 -1377.438016 -602.078133
6.300000 2.004281 29.507117 -1374.777819 -605.134080
6.350000 1.977103 29.691920 -1365.121219 -605.913790
6.400000 2.004510 28.927126 -1401.578660 -631.846782
6.450000 1.983181 28.454535 -1425.331355 -663.789789
6.500000 2.007706 28.648716 -1415.463652 -644.504406
6.550000 1.976242 28.663517 -1415.991797 -657.114819
6.600000 2.003426 27.886671 -1450.621715 -681.306253
6.650000 1.976891 30.086077 -1352.630947 -593.504781
6.700000 2.007318 30.190139 -1344.868891 -574.058963
6.750000 1.982210 28.370463 -1425.840866 -664.672183
6.800000 1.966235 29.066151 -1392.484525 -637.450224
6.850000 1.991901 27.588512 -1459.596014 -694.705951
6.900000 2.022305 27.452862 -1473.409936 -696.844861
6.950000 2.006926 28.723113 -1413.726990 -643.067514
7.000000 2.031815 29.168691 -1392.176463 -611.959547
7.050000 1.970930 29.520760 -1374.924431 -618.087301
7.100000 2.060035 29.331920 -1386.310675 -595.257066
7.150000 2.000634 27.638672 -1461.801212 -693.557925
7.200000 2.002942 28.235628 -1433.219014 -664.089376
7.250000 2.030170 29.367507 -1384.774637 -605.189484
7.300000 2.010194 29.046313 -1394.662783 -622.748325
7.350000 2.003322 30.023853 -1352.644675 -583.369180
7.400000 1.995055 28.249869 -1432.136234 -666.035043
7.450000 1.984602 29.428910 -1377.981868 -615.894616
7.500000 1.987672 16.706611 -1564.969659 -801.703523
7.550000 2.013848 17.525655 -1525.831974 -752.514450
7.600000 1.984641 16.947639 -1555.938328 -793.836304
7.650000 2.004675 17.845522 -1514.050510 -744.255136
7.700000 2.004002 17.127737 -1546.377097 -776.840492
7.750000 1.994563 18.132487 -1495.073467 -729.161127
7.800000 1.975670 17.542732 -1526.013982 -767.356791
7.850000 2.010554 18.009866 -1505.364542 -733.311789
7.900000 1.994566 18.474820 -1484.058306 -718.145132
7.950000 2.035366 17.995687 -1509.607325 -728.026684
8.000000 2.038625 16.974728 -1555.612689 -772.780575
8.050000 1.991931 17.234354 -1537.285407 -772.383897
8.100000 2.010918 17.331094 -1535.497834 -763.305456
8.150000 1.984957 17.072475 -1551.628400 -789.404814
8.200000 1.997261 18.273631 -1492.287438 -725.339353
8.250000 2.000326 17.523813 -1526.880104 -758.754989
8.300000 2.000288 17.616211 -1523.339672 -755.229165
8.350000 2.019808 17.580251 -1527.998146 -752.391742
8.400000 1.984750 17.717220 -1522.843922 -760.699938
8.450000 2.023109 17.230470 -1542.893365 -766.019513
8.500000 1.947933 17.236929 -1538.636620 -790.630489
8.550000 2.023448 17.573100 -1527.453033 -750.449037
8.600000 1.991810 17.992848 -1507.439600 -742.584466
8.650000 2.034058 17.739000 -1522.323542 -741.245292
8.700000 2.012157 16.946557 -1555.747741 -783.079550
8.750000 2.006551 17.945374 -1510.672336 -740.156939
8.800000 2.021357 18.503024 -1482.979811 -706.778831
8.850000 2.037373 18.572986 -1480.317617 -697.966453
8.900000 2.024966 16.512246 -1578.930317 -801.343426
8.950000 1.994051 17.051171 -1547.776941 -782.061292
9.000000 2.015955 16.993312 -1553.196406 -779.069806
9.050000 1.994922 17.358507 -1535.445591 -769.395512
9.100000 1.974802 18.766516 -1472.307965 -713.984038
