# t Temp Pres Epot Etot
0.000000 1.999994 28.723456 -1413.983808 -645.986230
0.050000 1.967634 28.857202 -1403.040402 -647.468815
0.100000 2.002250 30.246704 -1345.908698 -577.044823
0.150000 2.008870 28.092618 -1443.258015 -671.851874
0.200000 1.967250 27.600349 -1461.744720 -706.320876
0.250000 2.000935 28.806717 -1409.359271 -641.000041
0.300000 2.016009 29.006184 -1402.367905 -628.220593
0.350000 2.000246 29.146797 -1394.567415 -626.472783
0.400000 1.986212 27.379289 -1470.545105 -707.839526
0.450000 1.992688 29.129692 -1393.795448 -628.603362
0.500000 2.017327 29.617016 -1373.114081 -598.460471
0.550000 2.023781 27.673543 -1459.455516 -682.323648
0.600000 1.982169 28.752351 -1409.275757 -648.122824
0.650000 2.002674 29.939645 -1356.375019 -587.348119
0.700000 2.023276 28.639773 -1415.485861 -638.547957
0.750000 2.033047 27.179869 -1483.343755 -702.653898
0.800000 1.956330 28.369771 -1424.270698 -673.040027
0.850000 2.002957 28.968483 -1399.839788 -630.704263
0.900000 2.028745 29.508104 -1380.488839 -601.450931
0.950000 1.979029 31.018458 -1304.445563 -544.498237
1.000000 2.011031 28.774526 -1411.821899 -639.585879
1.050000 2.015213 28.160426 -1437.281498 -663.439748
1.100000 1.952819 29.704873 -1364.541439 -614.658767
1.150000 2.014024 28.055060 -1441.814333 -668.429220
1.200000 1.960325 28.982766 -1398.288603 -645.523720
1.250000 1.968836 28.724681 -1409.640483 -653.607290
1.300000 2.036589 28.866409 -1407.540550 -625.490417
1.350000 1.982565 27.781613 -1453.745111 -692.440190
1.400000 1.962692 28.820934 -1404.953389 -651.279829
1.450000 2.042055 29.458476 -1379.705752 -595.556745
1.500000 2.015909 29.717743 -1366.934812 -592.825636
1.550000 2.012368 28.170551 -1435.945493 -663.196025
1.600000 1.973334 27.893056 -1446.265174 -688.504726
1.650000 2.021725 30.298677 -1342.519807 -566.177459
1.700000 2.019488 29.317958 -1385.610734 -610.127235
1.750000 2.018504 28.821199 -1406.697652 -631.592200
1.800000 1.973519 29.302641 -1381.983855 -624.152489
1.850000 1.991157 29.948227 -1354.853112 -590.248878
1.900000 2.005821 29.254290 -1388.080634 -617.845283
1.950000 2.031969 28.650215 -1415.941165 -635.665063
2.000000 2.016649 29.203778 -1391.203831 -616.810532
2.050000 2.005894 28.895470 -1402.713069 -632.449849
2.100000 1.981736 27.467159 -1468.990295 -708.003695
2.150000 1.981012 28.930598 -1398.360794 -637.652144
2.200000 1.950917 30.256479 -1339.892833 -590.740655
2.250000 1.974133 28.850260 -1402.448133 -644.380883
2.300000 1.986910 28.192731 -1435.872106 -672.898562
2.350000 1.983611 28.461135 -1423.112259 -661.405809
2.400000 1.984548 28.016167 -1442.078039 -680.011697
2.450000 2.017191 29.076908 -1396.348072 -621.746817
2.500000 1.979053 28.901339 -1403.515975 -643.559807
2.550000 2.030972 29.118469 -1397.354102 -617.460989
2.600000 2.021596 29.017526 -1395.136746 -618.843859
2.650000 1.990284 28.352950 -1430.350174 -666.081138
2.700000 2.009324 28.195905 -1436.484442 -664.904109
2.750000 1.986077 29.953930 -1353.935318 -591.281852
2.800000 2.013548 29.185229 -1390.010664 -616.808199
2.850000 2.019199 27.948192 -1447.985651 -672.613266
2.900000 1.963961 27.172573 -1479.470767 -725.309670
2.950000 1.982418 30.352961 -1336.342353 -575.093901
3.000000 2.050737 30.444968 -1337.166844 -549.683845
3.050000 2.015755 28.479266 -1426.181993 -652.132165
3.100000 2.019379 27.282362 -1480.135835 -704.694118
3.150000 2.019470 29.010870 -1402.729986 -627.253583
3.200000 2.007171 28.815854 -1407.717314 -636.963620
3.250000 2.004354 29.626791 -1370.858799 -601.186989
3.300000 1.968450 28.369539 -1424.380839 -668.495952
3.350000 2.006180 28.571519 -1420.172714 -649.799680
3.400000 1.991963 27.713987 -1457.848360 -692.934671
3.450000 2.003595 29.068641 -1399.033559 -629.653183
3.500000 1.999187 29.047733 -1397.469425 -629.781510
3.550000 1.981244 29.055748 -1396.221286 -635.423529
3.600000 2.021095 29.576651 -1375.279945 -599.179350
3.650000 1.985797 27.303745 -1472.050491 -709.504290
3.700000 1.978526 28.805545 -1405.926442 -646.172305
3.750000 2.033734 28.513287 -1419.616096 -638.662330
3.800000 1.979322 29.137499 -1391.772684 -631.712986
3.850000 2.007405 29.476942 -1376.751958 -605.908314
3.900000 2.016411 29.425837 -1381.507465 -607.205600
3.950000 2.011552 28.536237 -1423.231312 -650.795160
4.000000 2.024675 28.302005 -1430.094909 -652.619869
4.050000 2.020469 29.049003 -1393.147360 -617.287434
4.100000 1.951892 28.288804 -1426.679870 -677.153195
4.150000 2.017715 28.903574 -1407.416029 -632.613441
4.200000 2.023838 28.490594 -1423.380813 -646.227045
4.250000 2.007212 27.441188 -1471.771522 -701.001971
4.300000 2.011681 29.701955 -1369.609667 -597.124124
4.350000 1.969449 28.501491 -1420.950218 -664.681872
4.400000 2.026935 28.470222 -1423.599112 -645.256145
4.450000 1.978859 29.311880 -1383.971268 -624.089499
4.500000 1.992007 29.132334 -1392.580367 -627.649670
4.550000 2.027671 28.491941 -1425.624948 -646.999425
4.600000 1.992549 28.283507 -1428.535685 -663.396797
4.650000 2.015431 29.543243 -1375.258970 -601.333488
4.700000 1.984423 28.585221 -1417.665100 -655.646736
4.750000 2.031521 28.465747 -1423.181413 -643.077271
4.800000 1.952104 28.464178 -1423.209131 -673.601354
4.850000 1.977955 29.784827 -1363.471658 -603.936829
4.900000 2.008510 29.430648 -1380.831513 -609.563649
4.950000 1.990373 28.370946 -1428.736828 -664.433409
5.000000 1.985904 29.165987 -1392.227781 -629.640680
5.050000 2.030974 28.373166 -1429.665834 -649.771665
5.100000 2.011336 28.206195 -1436.250378 -663.897231
5.150000 1.988994 28.333904 -1429.130773 -665.356953
5.200000 2.041589 27.935957 -1449.774146 -665.803904
5.250000 2.005780 29.270894 -1385.762198 -615.542544
5.300000 1.989976 29.810150 -1362.832570 -598.681844
5.350000 2.024137 29.177865 -1386.971575 -609.703087
5.400000 1.982472 28.750100 -1411.682927 -650.413704
5.450000 2.019237 28.124808 -1438.090699 -662.703732
5.500000 2.029432 27.914904 -1446.722095 -667.420287
5.550000 1.971580 29.915786 -1352.040156 -594.953460
5.600000 1.987881 29.536871 -1375.523913 -612.177584
5.650000 2.025863 29.097583 -1398.689282 -620.758071
5.700000 1.986990 28.186248 -1433.600981 -670.596893
5.750000 2.001160 29.059620 -1397.025387 -628.579970
5.800000 2.019468 28.483961 -1421.271670 -645.795829
5.850000 1.974643 28.180899 -1433.915843 -675.652822
5.900000 2.035736 29.728632 -1368.237939 -586.515242
5.950000 1.979083 28.873808 -1403.014498 -643.046560
6.000000 2.018326 29.006712 -1396.080336 -621.043108
6.050000 1.987417 29.416743 -1379.822414 -616.654120
6.100000 2.024166 27.919017 -1447.751803 -670.472182
6.150000 2.009579 28.744305 -1410.081720 -638.403349
6.200000 1.945875 28.820640 -1405.109166 -657.893177
6.250000 1.975279 28.903838 -1403.665705 -645.158454
6.300000 1.993583 28.280100 -1433.883568 -668.347749
6.350000 2.007563 29.417698 -1381.867238 -610.963168
6.400000 1.989674 30.232537 -1344.570302 -580.535332
6.450000 1.993075 28.555842 -1417.261203 -651.920548
6.500000 2.007631 27.578291 -1464.472031 -693.541720
6.550000 1.993494 28.606617 -1419.025321 -653.523522
6.600000 1.990998 29.854675 -1361.165435 -596.622079
6.650000 2.020639 28.093661 -1442.036123 -666.110867
6.700000 1.997105 27.634477 -1461.288055 -694.399734
6.750000 1.998976 28.837198 -1406.179779 -638.573022
6.800000 1.988162 30.196518 -1345.615291 -582.160971
6.850000 1.989406 28.632089 -1416.469597 -652.537559
6.900000 1.987859 28.454070 -1423.576300 -660.238297
6.950000 2.001433 28.189309 -1438.143401 -669.593230
7.000000 1.984536 29.304184 -1384.545680 -622.483731
7.050000 1.997406 28.961437 -1402.850738 -635.846863
7.100000 1.988231 28.986059 -1400.137966 -636.657184
7.150000 2.019513 29.116510 -1395.017036 -619.524137
7.200000 1.955434 27.786473 -1453.579745 -702.693011
7.250000 1.991313 28.725702 -1413.375153 -648.710784
7.300000 2.008011 28.477173 -1420.369468 -649.293380
7.350000 2.000124 28.891618 -1405.075028 -637.027453
7.400000 2.021366 29.285843 -1388.652034 -612.447366
7.450000 2.046273 28.636089 -1419.314016 -633.545061
7.500000 2.008403 18.697460 -1469.279291 -698.052487
7.550000 2.013245 18.344548 -1491.988236 -718.902236
7.600000 2.007619 17.346484 -1537.593863 -766.668100
7.650000 1.984956 17.567490 -1526.368061 -764.144941
7.700000 1.965339 17.844161 -1508.791688 -754.101669
7.750000 2.003176 18.233836 -1496.706854 -727.487271
7.800000 2.002262 16.629184 -1570.701096 -801.832536
7.850000 1.992187 17.181055 -1543.775547 -778.775650
7.900000 1.980742 17.712297 -1518.629989 -758.024944
7.950000 2.005132 17.867706 -1513.907608 -743.936849
8.000000 2.004671 17.498963 -1530.072685 -760.279061
8.050000 2.007647 16.770250 -1562.450812 -791.514185
8.100000 1.945243 17.208244 -1540.082393 -793.108946
8.150000 2.011114 18.233497 -1494.818636 -722.550770
8.200000 2.005549 18.320134 -1486.152556 -716.021596
8.250000 1.973759 18.258561 -1491.296466 -733.373121
8.300000 2.000653 18.604199 -1477.599836 -709.349159
8.350000 2.002343 18.236874 -1493.965806 -725.066017
8.400000 2.012587 17.106627 -1550.206884 -777.373421
8.450000 1.985474 16.441304 -1578.619577 -816.197537
8.500000 2.001557 16.784672 -1564.702721 -796.104885
8.550000 2.006596 17.369108 -1536.558363 -766.025397
8.600000 2.006928 17.863605 -1516.616798 -745.956558
8.650000 2.007159 18.084994 -1505.231664 -734.482626
8.700000 1.987531 16.158147 -1594.902155 -831.690162
8.750000 2.003242 18.155885 -1494.405710 -725.160781
8.800000 1.994891 17.192618 -1542.027247 -775.989126
8.850000 1.970103 18.496549 -1479.230454 -722.710728
8.900000 1.993633 19.327674 -1443.474353 -677.919344
8.950000 1.996888 18.435417 -1482.650463 -715.845457
9.000000 1.988298 18.921248 -1462.909827 -699.403312
9.050000 1.997803 17.655988 -1526.617913 -759.461473
9.100000 2.015352 17.619915 -1522.996224 -749.100989
9.150000 2.024329 18.156095 -1496.620223 -719.277740
9.200000 2.023060 16.325698 -1584.531607 -807.676700
9.250000 1.988748 17.619647 -1529.540872 -765.861711
9.300000 2.014133 17.458261 -1534.928980 -761.502027
9.350000 1.989691 19.197494 -1449.858443 -685.817201
9.400000 2.018257 18.035661 -1506.988912 -731.978144
9.450000 2.003765 16.357978 -1580.651115 -811.205256
9.500000 1.992956 17.524666 -1524.426598 -759.131524
9.550000 1.996225 18.877196 -1463.652741 -697.102416
9.600000 2.017390 18.012691 -1509.296955 -734.619203
