# t Temp Pres Epot Etot
0.000000 1.957317 28.474001 -1421.640854 -670.031004
0.050000 1.984217 29.482050 -1374.922885 -612.983680
0.100000 2.005912 28.600421 -1415.402683 -645.132456
0.150000 1.960223 28.039841 -1438.576741 -685.850945
0.200000 1.991780 30.242456 -1341.433675 -576.590030
0.250000 1.998195 29.129377 -1391.650346 -624.343382
0.300000 1.996796 28.188843 -1431.877545 -665.107759
0.350000 1.995651 28.918209 -1402.258233 -635.928308
0.400000 1.985390 28.807682 -1406.315190 -643.925588
0.450000 2.006790 27.925395 -1448.662438 -678.055131
0.500000 1.991099 29.241081 -1392.743451 -628.161361
0.550000 2.011478 28.489432 -1424.646933 -652.239486
0.600000 2.002364 29.206405 -1391.368653 -622.460810
0.650000 2.005548 27.880508 -1451.179668 -681.049206
0.700000 2.007221 28.988771 -1399.822807 -629.049849
0.750000 1.989074 28.869895 -1402.208301 -638.403703
0.800000 1.974968 28.825639 -1407.523154 -649.135576
0.850000 2.014094 28.540788 -1417.780851 -644.368789
0.900000 1.968437 28.164195 -1435.391055 -679.511280
0.950000 1.994243 29.267642 -1388.910886 -623.121530
1.000000 2.017098 29.387444 -1379.181486 -604.615728
1.050000 2.021922 28.370100 -1429.190786 -652.772548
1.100000 1.998799 28.903469 -1401.066809 -633.528057
1.150000 2.012871 28.042871 -1441.947099 -669.004814
1.200000 1.954939 28.535450 -1419.488340 -668.791730
1.250000 1.994058 28.629434 -1414.836173 -649.118070
1.300000 2.019941 29.613347 -1373.865839 -598.208684
1.350000 2.023684 28.837498 -1409.935460 -632.840938
1.400000 1.997610 28.440353 -1423.909620 -656.827514
1.450000 1.976382 28.630362 -1414.022528 -655.091845
1.500000 2.041175 29.943155 -1359.031307 -575.220206
1.550000 1.998353 27.992069 -1444.359783 -676.992381
1.600000 1.980033 29.034387 -1398.486727 -638.154116
1.650000 2.078134 28.867656 -1407.962638 -609.959012
1.700000 1.965769 28.204220 -1433.026734 -678.171529
1.750000 1.956579 29.784274 -1360.249620 -608.923150
1.800000 2.007668 29.751299 -1366.536815 -595.592395
1.850000 1.994126 27.525397 -1468.354403 -702.610190
1.900000 2.014525 27.568949 -1466.624594 -693.046926
1.950000 1.999927 28.632423 -1416.232341 -648.260394
