# t Temp Pres Epot Etot
0.000000 2.004550 28.084739 -1440.842489 -671.095213
0.050000 1.963098 28.945040 -1398.049453 -644.219770
0.100000 1.991645 29.731785 -1366.678683 -601.886869
0.150000 2.031579 28.613852 -1416.474822 -636.348420
0.200000 1.969734 28.345436 -1428.574150 -672.196160
0.250000 2.026107 29.864374 -1361.446110 -583.420859
0.300000 1.999308 29.744546 -1365.311697 -597.577237
0.350000 2.002194 28.013363 -1443.835957 -674.993630
0.400000 1.977621 28.591692 -1416.171155 -656.764702
0.450000 2.017530 27.718268 -1454.491419 -679.759959
0.500000 2.025170 28.362986 -1429.449349 -651.784240
0.550000 1.989194 29.244306 -1388.633601 -624.783038
0.600000 2.046003 30.131291 -1350.244096 -564.578754
0.650000 2.002211 28.567803 -1423.068278 -654.219434
0.700000 2.015671 28.518620 -1423.980741 -649.963209
0.750000 1.983604 29.993280 -1352.942902 -591.238781
0.800000 2.003762 28.456974 -1426.818816 -657.374026
0.850000 2.035190 28.835725 -1408.439456 -626.926396
0.900000 1.997153 28.260133 -1432.987917 -666.081092
0.950000 1.996534 27.652371 -1461.419349 -694.750235
1.000000 1.987230 29.394393 -1378.072827 -614.976619
1.050000 2.024909 29.444789 -1377.894634 -600.329615
1.100000 2.004070 27.934966 -1449.180907 -679.618000
1.150000 1.997755 29.633889 -1365.459445 -598.321360
1.200000 2.051111 28.582624 -1419.266137 -631.639531
1.250000 2.012487 28.584853 -1415.869984 -643.074956
1.300000 1.999057 28.894958 -1403.939782 -636.301846
1.350000 2.013320 28.915373 -1403.081015 -629.965978
1.400000 2.020138 28.748027 -1409.625045 -633.892098
1.450000 1.970696 28.210799 -1432.010482 -675.263395
1.500000 2.020324 28.651681 -1416.609907 -640.805596
1.550000 2.000345 29.969378 -1351.366659 -583.233987
1.600000 2.013037 29.054457 -1395.805264 -622.799008
1.650000 2.006143 30.485133 -1334.322299 -563.963375
1.700000 2.009360 28.801797 -1410.179658 -638.585607
1.750000 1.996206 27.179616 -1481.016576 -714.473473
1.800000 2.013362 29.302054 -1387.389405 -614.258306
1.850000 1.945574 28.357383 -1423.639727 -676.539248
1.900000 2.004863 28.435165 -1425.096547 -655.229094
1.950000 1.973737 29.325112 -1381.672518 -623.757572
2.000000 2.017220 28.327065 -1429.175680 -654.563064
2.050000 1.950309 29.205651 -1390.976570 -642.058072
2.100000 2.021897 29.219504 -1388.430948 -612.022540
2.150000 1.988294 29.479287 -1379.235318 -615.730360
2.200000 2.017016 28.044326 -1445.133852 -670.599770
2.250000 2.014500 30.020655 -1352.572962 -579.005108
2.300000 2.002233 28.664253 -1411.754840 -642.897556
2.350000 2.008768 29.603062 -1372.156773 -600.789961
2.400000 2.000359 30.485950 -1331.424824 -563.286814
2.450000 1.993320 27.832045 -1450.188269 -684.753566
2.500000 1.994182 27.981517 -1443.411711 -677.645742
2.550000 1.976549 27.781315 -1450.262705 -691.267959
2.600000 1.990138 29.368146 -1380.990049 -616.776874
2.650000 1.996592 29.526097 -1375.604355 -608.912960
2.700000 1.962142 30.873715 -1312.933071 -559.470669
2.750000 2.002412 28.515059 -1419.261840 -650.335730
