# t Temp Pres Epot Etot
0.000000 -nan -nan -138.594514 -nan
0.050000 -nan -nan -138.594514 -nan
0.100000 -nan -nan -138.594514 -nan
0.150000 -nan -nan -138.594514 -nan
0.200000 -nan -nan -138.594514 -nan
0.250000 -nan -nan -138.594514 -nan
0.300000 -nan -nan -138.594514 -nan
0.350000 -nan -nan -138.594514 -nan
0.400000 -nan -nan -138.594514 -nan
0.450000 -nan -nan -138.594514 -nan
0.500000 -nan -nan -138.594514 -nan
0.550000 -nan -nan -138.594514 -nan
0.600000 -nan -nan -138.594514 -nan
0.650000 -nan -nan -138.594514 -nan
0.700000 -nan -nan -138.594514 -nan
0.750000 -nan -nan -138.594514 -nan
0.800000 -nan -nan -138.594514 -nan
0.850000 -nan -nan -138.594514 -nan
0.900000 -nan -nan -138.594514 -nan
0.950000 -nan -nan -138.594514 -nan
1.000000 -nan -nan -138.594514 -nan
1.050000 -nan -nan -138.594514 -nan
1.100000 -nan -nan -138.594514 -nan
1.150000 -nan -nan -138.594514 -nan
1.200000 -nan -nan -138.594514 -nan
1.250000 -nan -nan -138.594514 -nan
1.300000 -nan -nan -138.594514 -nan
1.350000 -nan -nan -138.594514 -nan
1.400000 -nan -nan -138.594514 -nan
1.450000 -nan -nan -138.594514 -nan
1.500000 -nan -nan -138.594514 -nan
1.550000 -nan -nan -138.594514 -nan
1.600000 -nan -nan -138.594514 -nan
1.650000 -nan -nan -138.594514 -nan
1.700000 -nan -nan -138.594514 -nan
1.750000 -nan -nan -138.594514 -nan
1.800000 -nan -nan -138.594514 -nan
1.850000 -nan -nan -138.594514 -nan
1.900000 -nan -nan -138.594514 -nan
1.950000 -nan -nan -138.594514 -nan
2.000000 -nan -nan -138.594514 -nan
2.050000 -nan -nan -138.594514 -nan
2.100000 -nan -nan -138.594514 -nan
2.150000 -nan -nan -138.594514 -nan
2.200000 -nan -nan -138.594514 -nan
2.250000 -nan -nan -138.594514 -nan
2.300000 -nan -nan -138.594514 -nan
2.350000 -nan -nan -138.594514 -nan
