# t Temp Pres Epot Etot
0.000000 2.020263 28.482984 -2779.423426 -1264.225819
0.050000 1.984778 28.359376 -2789.374688 -1300.791342
0.100000 2.023540 28.592515 -2765.250381 -1247.595165
0.150000 1.989919 29.640526 -2670.688196 -1178.248903
0.200000 2.025986 28.844197 -2751.805525 -1232.316226
0.250000 2.006749 27.680291 -2847.132648 -1342.070806
0.300000 1.963885 29.267845 -2707.337735 -1234.423767
0.350000 2.018777 29.898147 -2658.576491 -1144.493913
0.400000 1.991378 28.509289 -2774.398033 -1280.864541
0.450000 1.990222 29.080972 -2723.841727 -1231.175118
0.500000 1.985000 28.517075 -2772.128572 -1283.378823
0.550000 1.982984 29.615107 -2680.489538 -1193.251318
0.600000 2.015663 28.897206 -2748.347976 -1236.600879
0.650000 1.979848 28.650769 -2766.401350 -1281.515569
0.700000 2.014799 28.862827 -2746.738947 -1235.639793
0.750000 1.992142 29.042152 -2725.988178 -1231.881788
0.800000 1.985117 29.085400 -2725.454055 -1236.616626
0.850000 1.990178 29.211771 -2715.063189 -1222.429428
0.900000 2.020173 29.043478 -2729.484511 -1214.355102
0.950000 2.004117 29.042421 -2731.910230 -1228.822739
1.000000 1.979615 28.937986 -2739.415568 -1254.704481
1.050000 2.015158 28.179944 -2802.475250 -1291.106579
1.100000 1.991214 28.511067 -2771.938780 -1278.527993
1.150000 1.975884 29.328247 -2708.641332 -1226.728136
1.200000 2.013292 28.670810 -2764.197012 -1254.227847
1.250000 2.014361 28.859637 -2747.791507 -1237.020656
1.300000 2.014688 28.512363 -2775.810768 -1264.794928
1.350000 2.002882 28.699816 -2757.590220 -1255.428348
1.400000 2.001899 29.362131 -2699.987901 -1198.563766
1.450000 1.970258 30.345838 -2616.287466 -1138.594198
1.500000 2.053908 29.461902 -2698.615573 -1158.184810
1.550000 1.981530 27.635319 -2849.936916 -1363.789283
1.600000 2.000493 28.331699 -2792.053008 -1291.683029
1.650000 2.003213 29.129422 -2721.718595 -1219.308830
1.700000 1.996347 28.288695 -2791.931618 -1294.671367
1.750000 2.015914 27.882550 -2836.084626 -1324.148889
1.800000 1.973791 29.012646 -2729.988037 -1249.644742
1.850000 2.019031 29.996283 -2650.600375 -1136.327076
1.900000 1.998918 28.658850 -2761.212893 -1262.024748
1.950000 1.996820 28.816018 -2746.018969 -1248.403764
2.000000 2.001778 28.302616 -2793.447545 -1292.113938
2.050000 1.981311 28.639721 -2761.477658 -1275.494056
2.100000 2.003870 28.806099 -2746.072518 -1243.169793
2.150000 2.016738 28.502591 -2774.930960 -1262.377173
2.200000 1.986068 28.485604 -2778.138941 -1288.588128
2.250000 1.997095 28.885101 -2746.015393 -1248.194310
2.300000 2.003425 29.421106 -2700.928898 -1198.360024
2.350000 2.022051 28.566582 -2774.384881 -1257.846843
2.400000 1.982936 28.845353 -2744.071693 -1256.869886
2.450000 2.007810 29.246365 -2712.296521 -1206.439258
2.500000 1.984103 28.599012 -2767.739934 -1279.662390
2.550000 1.983992 28.898685 -2739.212439 -1251.218691
2.600000 2.018318 28.674703 -2765.104182 -1251.365935
2.650000 1.982249 28.450628 -2778.151220 -1291.464498
2.700000 2.015267 28.197573 -2800.929534 -1289.479459
2.750000 1.993393 28.887742 -2741.068271 -1246.023414
2.800000 1.972042 29.311332 -2703.857693 -1224.825821
2.850000 2.017169 29.187378 -2721.292358 -1208.415654
2.900000 2.011805 29.316195 -2705.282611 -1196.428935
2.950000 1.998951 28.491371 -2780.660771 -1281.447646
3.000000 2.009967 28.576064 -2773.443995 -1265.968936
3.050000 1.983015 28.961865 -2737.321267 -1250.059767
3.100000 2.010058 29.220851 -2714.028008 -1206.484191
3.150000 2.022642 28.551645 -2774.299013 -1257.317789
3.200000 2.010157 29.032456 -2730.431599 -1222.813559
3.250000 2.009725 28.841558 -2746.910510 -1239.616429
3.300000 2.007504 28.436314 -2784.622966 -1278.994871
3.350000 2.023232 28.942140 -2737.356495 -1219.932629
3.400000 1.979911 28.773095 -2746.253911 -1261.320331
3.450000 1.997875 29.186556 -2718.366533 -1219.960270
3.500000 2.002570 28.714877 -2756.078942 -1254.151172
3.550000 1.994177 28.407284 -2785.664058 -1290.031177
3.600000 1.991803 28.671198 -2763.425062 -1269.573164
3.650000 2.009525 28.864523 -2745.756141 -1238.612556
3.700000 2.009623 29.347969 -2698.968140 -1191.750686
3.750000 1.997038 29.011744 -2728.577019 -1230.798396
3.800000 2.015135 29.032554 -2731.768968 -1220.417951
3.850000 1.993004 28.980492 -2735.694159 -1240.940956
3.900000 1.998252 27.657089 -2852.648785 -1353.959852
3.950000 2.003694 28.457528 -2777.452968 -1274.682510
4.000000 1.990186 29.354115 -2696.907109 -1204.267903
4.050000 2.005682 28.571840 -2773.035726 -1268.773964
4.100000 1.994865 28.977707 -2739.331143 -1243.182038
4.150000 2.035947 28.881053 -2740.476673 -1213.516072
4.200000 2.002345 28.965924 -2739.169736 -1237.411326
4.250000 2.000512 28.709464 -2758.895992 -1258.512245
4.300000 1.996878 28.482461 -2778.649040 -1280.990662
4.350000 1.986081 28.728154 -2755.723046 -1266.161944
4.400000 1.983211 28.758178 -2758.438884 -1271.030408
4.450000 1.979310 28.982200 -2733.416177 -1248.933394
4.500000 2.007629 28.513733 -2777.547314 -1271.825218
4.550000 2.004875 28.336935 -2792.383825 -1288.727238
4.600000 1.999427 28.887496 -2739.576268 -1240.005984
4.650000 2.000952 29.014043 -2731.298183 -1230.584098
4.700000 1.972223 28.677292 -2756.150365 -1276.983073
4.750000 2.004604 28.572111 -2771.968339 -1268.515077
4.800000 2.009890 29.099054 -2726.074332 -1218.657202
4.850000 1.984242 28.272691 -2796.617792 -1308.436585
4.900000 1.987968 28.231521 -2806.981644 -1316.006007
4.950000 1.970681 30.050499 -2641.557997 -1163.547263
5.000000 2.024227 29.356011 -2706.254354 -1188.083812
5.050000 1.991912 28.564504 -2768.135466 -1274.201381
5.100000 2.001430 28.164649 -2802.479618 -1301.407246
5.150000 1.997949 28.409418 -2783.488924 -1285.027382
5.200000 1.996829 29.326701 -2707.329376 -1209.707936
5.250000 2.004612 29.145280 -2718.867027 -1215.408154
5.300000 2.002833 28.475732 -2774.917819 -1272.793200
5.350000 1.989015 28.317067 -2793.523801 -1301.762505
5.400000 1.987175 28.998997 -2735.512474 -1245.130877
5.450000 2.006247 28.993682 -2736.121219 -1231.435659
5.500000 1.999831 28.805076 -2754.003611 -1254.130065
5.550000 1.987854 28.937622 -2737.445519 -1246.555161
5.600000 1.997142 29.446773 -2695.058139 -1197.201510
5.650000 2.020856 28.562355 -2776.510427 -1260.868550
5.700000 1.986326 28.447794 -2782.099552 -1292.355384
5.750000 2.010584 28.648114 -2765.409113 -1257.471268
5.800000 2.014182 29.795817 -2666.234012 -1155.597740
5.850000 2.019597 28.378511 -2788.987255 -1274.289257
5.900000 1.988029 28.612152 -2766.879462 -1275.857603
5.950000 2.001898 29.032826 -2731.934147 -1230.510641
6.000000 2.003183 27.897972 -2826.535724 -1324.148329
6.050000 1.975489 29.030293 -2726.638959 -1245.021992
6.100000 2.018810 29.394222 -2698.411397 -1184.304138
6.150000 2.011019 28.954661 -2737.644732 -1229.380650
6.200000 1.988874 28.041026 -2820.170291 -1328.515022
