# t Temp Pres Epot Etot
0.000000 1.991710 29.189670 -2710.009592 -1216.226731
0.050000 1.971466 28.248164 -2794.034519 -1315.434872
0.100000 2.014280 29.449776 -2694.891517 -1184.181724
0.150000 1.998769 28.788414 -2753.079810 -1254.003288
0.200000 1.995591 29.611729 -2679.046035 -1182.353129
0.250000 2.011396 28.229829 -2804.238073 -1295.691097
0.300000 1.986999 28.282137 -2799.594699 -1309.345207
0.350000 1.983899 29.083888 -2720.326268 -1232.402353
0.400000 2.002522 27.394241 -2876.337188 -1374.445438
0.450000 2.018130 29.382551 -2701.551430 -1187.954036
0.500000 2.014282 30.273942 -2621.599838 -1110.888466
0.550000 1.999908 28.194924 -2801.881827 -1301.950914
0.600000 2.012347 28.382822 -2787.628792 -1278.368499
0.650000 1.987453 29.293165 -2706.223257 -1215.633265
0.700000 2.015647 28.192202 -2808.020131 -1296.284985
0.750000 1.958528 29.018638 -2730.662572 -1261.766290
0.800000 2.031344 29.212255 -2723.546111 -1200.038323
0.850000 2.010084 28.283764 -2800.440322 -1292.877670
0.900000 2.028731 28.975443 -2740.956072 -1219.407954
0.950000 1.998598 28.624651 -2764.369265 -1265.420796
1.000000 1.947880 29.528120 -2682.913286 -1222.003197
1.050000 2.016126 28.192983 -2806.534698 -1294.440398
1.100000 1.979483 29.176896 -2720.199077 -1235.586951
1.150000 2.019217 29.246122 -2712.475017 -1198.062503
1.200000 2.025357 28.376570 -2791.490265 -1272.472360
1.250000 2.018689 28.425308 -2781.581139 -1267.564191
1.300000 1.995575 27.955694 -2820.812795 -1324.131869
1.350000 1.995110 29.378577 -2697.380731 -1201.047859
1.400000 2.003840 29.219837 -2716.514548 -1213.634247
1.450000 2.013354 29.023035 -2730.827362 -1220.811558
1.500000 1.995501 29.299005 -2703.374696 -1206.748585
1.550000 2.024056 28.525234 -2770.195934 -1252.154103
1.600000 2.005278 27.666722 -2847.689516 -1343.730730
1.650000 1.973138 28.026274 -2814.582243 -1334.728837
1.700000 2.005283 29.376284 -2705.473534 -1201.511283
1.750000 1.983302 29.314599 -2705.812636 -1218.336170
1.800000 1.996276 29.171583 -2716.180784 -1218.973924
1.850000 2.029556 29.194348 -2720.149720 -1197.982670
1.900000 2.003463 28.341773 -2791.119843 -1288.522424
1.950000 1.970809 28.008811 -2814.968523 -1336.861655
2.000000 1.981306 29.235473 -2704.505865 -1218.526475
2.050000 2.030195 28.484430 -2782.890583 -1260.244509
2.100000 1.980783 29.142192 -2716.769206 -1231.181983
2.150000 1.981531 28.802372 -2751.206479 -1265.058551
2.200000 2.002299 28.806022 -2752.682284 -1250.957945
2.250000 2.025516 29.149769 -2722.808534 -1203.671239
2.300000 1.997495 28.162627 -2805.659757 -1307.538832
2.350000 1.973396 28.929848 -2738.658511 -1258.611190
2.400000 2.012199 29.005233 -2733.392642 -1224.243311
2.450000 1.973735 28.824007 -2744.975549 -1264.674557
2.500000 1.994665 28.690954 -2764.563161 -1268.564533
2.550000 2.000384 29.369894 -2702.706827 -1202.418675
2.600000 2.020685 29.654328 -2680.262276 -1164.748247
2.650000 2.022622 28.954976 -2741.554097 -1224.587443
2.700000 1.992441 28.548171 -2770.077298 -1275.746829
2.750000 1.996048 28.036537 -2818.587584 -1321.551758
2.800000 1.994575 28.991798 -2733.187725 -1237.256195
2.850000 2.001830 28.205218 -2800.948049 -1299.575524
2.900000 2.007795 28.361761 -2791.667999 -1285.821874
2.950000 1.970424 29.786315 -2661.804378 -1183.986591
3.000000 2.025390 29.212419 -2716.317313 -1197.274541
3.050000 1.986905 29.070725 -2723.205537 -1233.026959
3.100000 2.002214 29.032382 -2735.283188 -1233.622341
3.150000 2.011294 28.779947 -2754.358945 -1245.888127
3.200000 1.998836 28.135050 -2807.670923 -1308.543727
3.250000 2.000570 28.548413 -2774.149844 -1273.722127
3.300000 2.004716 29.084388 -2725.807749 -1222.270652
3.350000 1.995506 28.306819 -2796.346113 -1299.716404
3.400000 2.010030 28.657240 -2760.562576 -1253.040291
3.450000 1.979069 28.890262 -2740.459690 -1256.157615
3.500000 2.025898 29.263930 -2717.795399 -1198.371777
3.550000 1.984430 27.937779 -2824.602759 -1336.280501
3.600000 2.013911 29.007559 -2738.164391 -1227.731021
3.650000 1.991789 29.873447 -2650.364801 -1156.523402
3.700000 1.988809 28.605828 -2767.819307 -1276.212905
3.750000 2.032369 27.776161 -2845.615199 -1321.338694
3.800000 2.006209 29.093220 -2724.117648 -1219.461170
3.850000 2.001352 28.634931 -2765.499279 -1264.484932
3.900000 1.970370 29.022139 -2730.638516 -1252.861208
3.950000 2.015106 29.480112 -2691.774794 -1180.445036
4.000000 2.029710 29.913169 -2656.938964 -1134.656304
4.050000 2.007013 29.009959 -2733.044648 -1227.784948
4.100000 1.979753 27.686463 -2844.848730 -1360.033700
4.150000 1.972791 28.402078 -2782.120562 -1302.527203
4.200000 1.978043 29.077587 -2717.258498 -1233.726367
