# t Temp Pres Epot Etot
0.000000 1.965078 29.140518 -1390.413676 -635.823544
0.050000 1.972580 29.380439 -1381.367282 -623.896687
0.100000 2.025895 29.022974 -1399.147132 -621.203270
0.150000 1.984266 29.108075 -1393.761338 -631.803332
0.200000 2.011417 28.561522 -1417.909112 -645.524866
0.250000 1.980462 28.196756 -1434.835046 -674.337677
0.300000 2.014033 28.090621 -1441.683781 -668.295278
0.350000 1.977917 29.275090 -1385.191483 -625.671203
0.400000 2.035805 30.059214 -1352.115893 -570.366903
0.450000 1.986080 28.711809 -1411.163942 -648.509059
0.500000 2.005316 28.133911 -1440.447061 -670.405762
0.550000 1.967168 29.063831 -1393.255619 -637.863201
0.600000 1.983624 28.871151 -1403.421920 -641.710243
0.650000 1.990787 28.441543 -1424.457861 -659.995673
0.700000 2.006933 28.939950 -1402.550772 -631.888690
0.750000 2.034480 29.773819 -1363.783204 -582.543044
0.800000 1.997548 28.582146 -1418.527023 -651.468663
0.850000 1.988857 28.363869 -1423.676458 -659.955257
0.900000 1.974501 28.680409 -1414.355540 -656.147112
0.950000 2.043582 27.040281 -1489.631032 -704.895387
1.000000 1.997906 29.387848 -1380.565238 -613.369187
1.050000 2.014698 29.344993 -1385.151866 -611.507868
1.100000 2.018001 28.317073 -1428.889682 -653.977273
1.150000 2.011159 29.422474 -1381.901025 -609.615939
1.200000 1.979184 29.616343 -1369.904665 -609.898076
1.250000 2.003137 28.465157 -1426.332945 -657.128319
1.300000 2.004609 28.164151 -1439.390442 -669.620620
1.350000 2.012475 29.002243 -1397.715245 -624.924728
1.400000 2.032543 28.456580 -1423.834296 -643.337695
1.450000 1.966381 26.853731 -1494.425401 -739.335116
1.500000 1.996718 29.472695 -1381.747999 -615.008427
1.550000 2.035170 30.101685 -1353.695731 -572.190303
1.600000 2.012556 28.583878 -1422.006050 -649.184541
1.650000 2.031106 28.862502 -1407.254484 -627.309785
1.700000 1.980986 27.592379 -1461.201352 -700.502680
1.750000 1.999527 28.153867 -1436.786207 -668.967683
1.800000 2.016113 29.013491 -1394.674680 -620.487175
1.850000 1.966081 29.415020 -1377.466587 -622.491581
1.900000 1.942880 29.895813 -1357.984162 -611.918193
1.950000 2.029661 30.645607 -1326.947043 -547.557279
2.000000 2.008606 28.685271 -1414.639363 -643.334774
2.050000 2.012633 27.880768 -1446.930088 -674.078839
2.100000 2.027348 28.968796 -1402.755108 -624.253352
2.150000 1.979402 27.323683 -1472.740605 -712.650423
2.200000 2.005959 29.514182 -1376.039883 -605.751546
2.250000 1.975722 29.131508 -1390.420333 -631.743047
2.300000 1.974377 28.947726 -1401.222689 -643.061899
2.350000 2.003729 30.013962 -1349.734910 -580.303019
2.400000 1.969620 29.125142 -1390.999090 -634.664855
2.450000 1.993285 27.693537 -1458.336782 -692.915452
2.500000 1.978650 28.144598 -1438.538940 -678.737312
2.550000 1.994976 29.701738 -1369.274836 -603.204098
2.600000 2.000178 28.772974 -1411.079325 -643.011011
2.650000 1.972614 29.038250 -1400.320175 -642.836447
2.700000 2.035862 29.365989 -1386.675104 -604.904229
2.750000 1.984345 28.531184 -1420.935742 -658.947261
2.800000 1.999369 28.770221 -1408.423110 -640.665460
2.850000 2.021456 28.405123 -1430.938252 -654.699338
2.900000 2.014601 28.704791 -1413.183454 -639.576542
2.950000 2.003764 28.107038 -1443.756152 -674.310755
3.000000 2.000829 28.103734 -1438.565277 -670.246787
3.050000 1.976873 29.511998 -1377.674374 -618.555114
3.100000 1.958896 28.102603 -1440.307007 -688.091009
3.150000 2.023602 31.431360 -1292.796794 -515.733562
3.200000 2.001448 28.514404 -1423.973855 -655.417888
3.250000 2.010049 27.731669 -1458.063162 -686.204201
3.300000 2.012758 28.332734 -1429.656669 -656.757490
3.350000 1.992802 28.038791 -1442.668389 -677.432579
3.400000 2.020661 29.421499 -1383.500100 -607.566103
3.450000 2.002634 28.528551 -1421.954729 -652.943330
3.500000 2.017885 27.475978 -1468.279611 -693.411790
3.550000 1.984034 28.065922 -1439.795012 -677.925783
3.600000 1.942622 29.381500 -1380.905514 -634.938620
3.650000 2.013563 29.684877 -1369.967599 -596.759363
3.700000 2.022468 29.603881 -1373.729274 -597.101467
3.750000 2.010631 29.075324 -1398.930226 -626.847800
3.800000 2.007353 27.689479 -1459.315550 -688.492058
3.850000 2.012209 29.235203 -1386.739331 -614.051075
3.900000 2.002665 29.469505 -1376.702522 -607.679134
3.950000 1.958762 27.697488 -1457.895375 -705.730822
4.000000 2.015944 29.488031 -1378.732087 -604.609738
4.050000 2.030775 28.549729 -1418.341162 -638.523589
