# t Temp Pres Epot Etot
0.000000 1.991764 29.793788 -1363.433633 -598.596271
0.050000 1.994250 27.942125 -1449.334875 -683.542885
0.100000 2.006315 30.053044 -1349.001967 -578.576888
0.150000 1.998642 28.132509 -1439.041006 -671.562304
0.200000 2.006155 28.225728 -1434.150215 -663.786546
0.250000 2.022581 29.320784 -1385.114652 -608.443569
0.300000 1.989617 29.630477 -1370.120549 -606.107505
0.350000 1.981985 29.593249 -1372.264294 -611.181869
0.400000 1.988005 27.910769 -1447.570363 -684.176397
0.450000 1.961648 28.968545 -1403.614765 -650.342116
0.500000 2.043612 28.700382 -1416.550758 -631.803754
0.550000 1.997630 27.959333 -1446.642928 -679.552929
0.600000 2.021684 28.385131 -1427.855154 -651.528339
0.650000 2.036303 27.332695 -1475.795927 -693.855529
0.700000 2.003423 28.591166 -1416.151359 -646.836870
0.750000 2.030953 30.320714 -1340.150062 -560.264278
0.800000 2.013231 28.428131 -1423.964368 -650.883501
0.850000 2.014309 29.709875 -1367.393813 -593.899086
0.900000 2.023787 28.959675 -1403.275519 -626.141409
0.950000 2.022356 27.850024 -1451.371987 -674.787144
1.000000 1.981694 27.653948 -1460.064723 -699.094164
1.050000 2.017218 29.842703 -1363.563126 -588.951253
1.100000 2.026946 28.228566 -1437.953329 -659.606140
1.150000 1.943868 28.650998 -1413.962023 -667.516853
1.200000 1.994343 29.124040 -1396.434075 -630.606308
1.250000 2.003220 29.020733 -1400.090790 -630.854451
1.300000 1.969710 29.154138 -1391.982536 -635.613938
1.350000 2.034528 28.781449 -1411.993190 -630.734501
1.400000 2.001344 29.807964 -1363.232329 -594.716340
1.450000 1.970344 27.650688 -1458.261216 -701.649048
1.500000 1.983933 28.555379 -1418.498526 -656.668124
1.550000 2.001109 28.713212 -1412.956407 -644.530623
1.600000 1.994032 28.065565 -1441.317589 -675.609355
1.650000 2.002730 28.904071 -1403.916644 -634.868510
1.700000 1.998432 29.544815 -1373.885308 -606.487376
1.750000 2.003103 29.824764 -1361.552100 -592.360424
1.800000 2.005151 29.401721 -1381.096686 -611.118661
1.850000 1.987491 29.713459 -1367.708724 -604.512321
1.900000 2.014563 27.415484 -1471.459448 -697.867086
1.950000 1.962448 28.337989 -1424.148807 -670.568872
2.000000 2.003006 29.593556 -1374.630400 -605.476094
2.050000 2.012310 28.452455 -1425.630461 -652.903441
2.100000 2.024339 29.482038 -1377.256743 -599.910706
2.150000 1.986232 28.157955 -1437.806561 -675.093473
2.200000 2.003799 29.338602 -1384.020383 -614.561515
2.250000 1.999388 27.898518 -1450.046616 -682.281493
2.300000 1.961344 30.120040 -1349.414777 -596.258601
2.350000 1.996654 28.826671 -1406.985861 -640.270754
2.400000 2.013557 28.439495 -1428.071048 -654.865171
2.450000 2.018257 29.427407 -1382.244428 -607.233897
2.500000 1.996537 28.336017 -1428.928061 -662.257818
2.550000 2.030905 28.411349 -1426.433730 -646.566351
2.600000 2.007633 28.257485 -1434.802701 -663.871775
2.650000 1.980488 30.713960 -1319.790729 -559.283218
2.700000 2.009863 28.562227 -1418.570737 -646.783206
2.750000 2.004483 26.610707 -1507.600425 -737.878843
