# t Temp Pres Epot Etot
0.000000 1.976545 28.322989 -1427.043127 -668.049846
0.050000 2.016401 28.768955 -1408.657179 -634.359319
0.100000 2.018021 27.568941 -1464.955006 -690.034829
0.150000 1.964371 27.918574 -1445.174907 -690.856356
0.200000 2.002750 28.774358 -1410.158596 -641.102441
0.250000 1.992570 28.781812 -1412.019202 -646.872152
0.300000 1.993559 29.457823 -1378.391380 -612.864749
0.350000 2.019930 28.386824 -1424.357308 -648.704126
0.400000 1.985379 29.822980 -1360.478811 -598.093165
0.450000 1.990368 28.838721 -1405.806657 -641.505189
0.500000 2.017632 27.843427 -1452.798522 -678.027985
0.550000 1.964620 29.342967 -1383.196881 -628.782619
0.600000 2.006941 29.621605 -1369.187112 -598.521718
0.650000 1.997838 27.412000 -1470.035491 -702.865581
0.700000 1.995456 29.077766 -1395.498725 -629.243671
0.750000 2.009733 30.171059 -1345.620025 -573.882469
0.800000 2.013337 28.587251 -1418.092125 -644.970647
0.850000 1.983105 28.285780 -1430.042592 -668.530190
0.900000 1.995247 29.043647 -1395.907484 -629.732825
0.950000 1.980057 28.040485 -1440.766141 -680.424184
1.000000 1.987610 29.961875 -1355.449052 -592.206768
1.050000 1.999691 30.020335 -1352.109684 -584.228154
1.100000 1.985160 29.175071 -1386.896862 -624.595383
1.150000 2.020918 28.106929 -1436.979086 -660.946591
1.200000 1.941961 28.743530 -1405.610778 -659.897810
1.250000 2.026687 28.069383 -1440.608185 -662.360268
1.300000 1.945052 29.057909 -1395.156326 -648.256359
1.350000 2.075721 30.111089 -1354.632980 -557.556276
1.400000 1.992795 29.950685 -1354.465228 -589.232104
1.450000 1.982297 29.954434 -1357.468372 -596.266510
1.500000 2.013812 28.711610 -1413.803680 -640.499792
1.550000 1.986712 27.705146 -1455.875751 -692.978260
1.600000 2.013738 27.968000 -1444.997399 -671.722190
1.650000 2.031239 28.465908 -1423.484709 -643.489038
1.700000 1.955223 28.545149 -1417.026410 -666.220958
1.750000 2.024374 28.814626 -1407.657415 -630.297661
1.800000 1.964128 29.813799 -1361.959231 -607.734244
