# t Temp Pres Epot Etot
0.000000 1.984618 29.070159 -1399.514260 -637.420794
0.050000 2.032781 27.795980 -1454.111136 -673.523317
0.100000 1.973939 29.091916 -1393.620077 -635.627460
0.150000 1.977568 29.378332 -1380.324840 -620.938608
0.200000 2.003235 29.028695 -1401.166631 -631.924527
0.250000 2.008181 28.816063 -1406.821968 -635.680440
0.300000 1.986888 28.453002 -1421.663251 -658.698378
0.350000 1.989489 27.186030 -1484.268417 -720.304514
0.400000 2.011530 29.520080 -1376.638876 -604.211329
0.450000 2.016336 29.088513 -1398.206976 -623.933945
0.500000 1.991071 29.095896 -1394.801659 -630.230356
0.550000 1.997803 29.954392 -1354.426394 -587.269993
0.600000 1.989509 29.572530 -1374.408447 -610.437094
0.650000 2.009137 29.354125 -1381.878377 -610.369894
0.700000 2.024515 28.422279 -1426.837292 -649.423619
0.750000 1.998901 28.438227 -1422.650277 -655.072198
0.800000 2.014401 29.957420 -1354.407089 -580.877292
0.850000 1.980123 28.217143 -1432.557044 -672.189849
0.900000 1.989507 27.785756 -1451.854055 -687.883323
0.950000 1.994173 29.782640 -1360.263449 -594.501173
1.000000 2.007494 28.550118 -1422.101114 -651.223371
1.050000 1.969656 28.993650 -1396.636568 -640.288796
1.100000 2.013285 27.465928 -1466.556944 -693.455582
1.150000 1.980526 27.607613 -1460.435926 -699.913901
1.200000 2.000861 29.741005 -1365.848372 -597.517847
1.250000 1.996041 30.042980 -1351.913012 -585.433410
1.300000 2.017820 28.739977 -1410.537712 -635.694735
1.350000 1.984250 28.658408 -1413.809918 -651.857993
1.400000 2.000146 28.296396 -1429.139536 -661.083459
1.450000 1.981523 28.568001 -1417.563414 -656.658666
1.500000 2.003895 28.701611 -1412.161167 -642.665590
1.550000 2.021565 28.756576 -1410.414351 -634.133341
1.600000 1.986124 28.183792 -1436.023689 -673.352134
1.650000 2.011750 28.690142 -1410.908448 -638.396498
1.700000 2.002174 28.846278 -1407.923106 -639.088309
1.750000 2.008765 29.565979 -1373.043625 -601.678042
1.800000 1.994395 28.916733 -1402.863285 -637.015539
1.850000 1.953184 27.606261 -1460.390499 -710.367780
1.900000 2.021655 30.443886 -1335.181756 -558.866137
1.950000 2.007563 29.151600 -1391.985285 -621.081233
2.000000 2.044300 27.669350 -1460.808431 -675.797274
2.050000 1.984527 29.223686 -1386.822137 -624.763869
2.100000 2.035467 29.482111 -1377.871757 -596.252500
2.150000 2.016087 28.452949 -1424.262548 -650.085268
2.200000 2.002081 28.772390 -1406.153661 -637.354417
2.250000 2.011107 30.091850 -1351.658672 -579.393508
2.300000 2.014754 29.337089 -1387.812702 -614.146991
2.350000 1.977145 30.112347 -1344.931229 -585.707490
2.400000 1.999256 27.796217 -1450.152426 -682.437957
2.450000 1.985105 28.485254 -1417.541197 -655.260869
2.500000 1.981385 29.060186 -1395.914524 -635.062657
2.550000 1.992594 28.324254 -1427.220253 -662.064335
2.600000 2.015781 29.191694 -1392.802901 -618.742810
2.650000 1.987722 28.762598 -1408.929599 -645.644408
2.700000 2.023998 27.290526 -1475.024110 -697.808879
2.750000 1.994807 29.148722 -1391.714577 -625.708602
2.800000 2.002967 30.202634 -1345.676152 -576.536804
2.850000 1.967341 28.379304 -1424.454881 -668.995939
2.900000 2.015143 29.087313 -1394.353761 -620.538802
2.950000 2.003166 28.322526 -1429.157457 -659.941621
3.000000 2.003712 28.688970 -1412.738505 -643.313222
3.050000 1.984763 28.992432 -1395.971530 -633.822669
3.100000 2.024218 28.910505 -1404.090222 -626.790638
3.150000 1.972977 27.532648 -1462.702403 -705.079261
3.200000 2.020434 30.122536 -1347.875231 -572.028651
3.250000 1.968473 27.702043 -1458.107218 -702.213454
3.300000 2.017318 28.551673 -1419.786021 -645.135722
3.350000 1.970713 30.229405 -1342.122587 -585.368825
3.400000 2.026664 27.396249 -1470.773342 -692.534201
3.450000 2.000457 27.786309 -1453.005661 -684.830068
3.500000 1.991420 28.642265 -1414.858903 -650.153595
3.550000 2.023127 28.329644 -1426.035869 -649.155220
3.600000 2.013203 29.710044 -1363.421488 -590.351717
3.650000 1.960884 29.273047 -1383.338515 -630.359202
