# t Temp Pres Epot Etot
0.000000 1.976978 28.192081 -1437.116657 -677.957293
0.050000 1.976920 29.672586 -1368.126236 -608.988842
0.100000 2.005857 28.530491 -1423.147534 -652.898613
0.150000 2.019184 27.850316 -1454.378730 -679.012110
0.200000 1.962397 28.827699 -1406.487124 -652.926714
0.250000 2.007455 30.696000 -1321.439544 -550.576752
0.300000 2.025384 28.603650 -1417.840705 -640.093221
0.350000 1.960957 29.578376 -1372.242403 -619.234792
0.400000 2.020763 28.302323 -1433.404704 -657.431822
0.450000 2.006143 29.271393 -1387.986941 -617.628213
0.500000 2.007642 28.389934 -1427.441915 -656.507519
0.550000 1.990485 28.139556 -1436.107801 -671.761741
0.600000 1.987320 28.472304 -1423.267269 -660.136343
0.650000 1.999514 30.504575 -1330.318867 -562.505306
0.700000 2.011731 27.704333 -1458.139140 -685.634395
0.750000 2.023123 28.189754 -1435.957823 -659.078455
0.800000 1.970062 28.409922 -1421.499864 -664.996081
0.850000 1.992992 28.075699 -1438.740278 -673.431348
0.900000 2.013069 29.239425 -1389.348137 -616.329623
0.950000 2.023354 29.901912 -1357.057432 -580.089591
1.000000 2.030769 28.779940 -1409.416523 -629.601378
1.050000 1.970946 28.253489 -1429.054004 -672.210885
1.100000 1.987430 29.608997 -1371.917463 -608.744424
1.150000 1.986223 28.208230 -1433.206845 -670.497175
1.200000 2.009125 28.060746 -1441.940714 -670.436695
1.250000 1.963282 29.316546 -1384.591337 -630.690946
1.300000 1.957940 30.056985 -1350.041234 -598.192354
1.350000 2.020006 29.691481 -1371.990419 -596.308305
1.400000 2.011265 27.766051 -1456.273353 -683.947451
1.450000 1.996354 28.793711 -1410.017525 -643.417527
1.500000 1.985714 30.274903 -1339.748249 -577.233920
1.550000 1.999335 28.967600 -1401.282382 -633.537588
1.600000 1.997562 28.592358 -1415.170833 -648.106932
1.650000 1.964930 28.704892 -1412.015160 -657.482185
1.700000 1.952597 30.139987 -1348.406953 -598.609727
1.750000 2.019882 29.071009 -1395.728251 -620.093438
1.800000 1.981576 28.003313 -1443.487822 -682.562647
1.850000 2.018101 30.058310 -1352.043134 -577.092263
1.900000 2.026923 28.823949 -1407.872737 -629.534205
1.950000 2.002064 28.457549 -1421.748062 -652.955470
2.000000 1.991957 28.964859 -1400.457940 -635.546443
2.050000 2.003850 29.033707 -1397.217534 -627.739218
2.100000 1.979538 29.275909 -1388.747203 -628.604709
2.150000 2.018692 30.228908 -1342.703353 -567.525462
2.200000 1.992804 28.810944 -1407.239324 -642.002461
2.250000 2.001030 27.317222 -1473.758191 -705.362702
2.300000 1.998875 29.783045 -1363.866342 -596.298518
2.350000 1.984150 28.403653 -1426.647910 -664.734446
2.400000 1.987712 28.864710 -1404.351644 -641.070196
2.450000 2.006148 29.187516 -1391.892385 -621.531539
2.500000 2.005636 29.569493 -1371.593855 -601.429611
2.550000 2.002450 28.160893 -1436.756118 -667.815141
2.600000 1.993093 29.258954 -1387.710633 -622.362877
2.650000 1.996119 28.360346 -1427.472981 -660.963169
2.700000 1.967950 30.025081 -1351.563720 -595.870936
2.750000 2.001959 30.271141 -1342.678637 -573.926192
2.800000 1.994467 29.858411 -1360.953331 -595.078018
2.850000 1.987756 28.222203 -1431.476982 -668.178566
2.900000 2.007271 28.036491 -1445.676516 -674.884644
2.950000 1.985416 29.588958 -1369.520007 -607.120315
3.000000 2.028350 27.680405 -1458.366385 -679.479955
3.050000 2.001945 28.490181 -1419.896381 -651.149519
3.100000 1.994768 30.171535 -1343.195478 -577.204704
3.150000 2.008462 29.092900 -1393.662639 -622.413344
3.200000 1.970936 28.829140 -1407.928548 -651.089208
3.250000 2.000017 28.223054 -1434.466567 -666.460204
3.300000 2.018069 29.254669 -1387.681950 -612.743550
3.350000 1.981623 28.983168 -1398.875685 -637.932497
3.400000 2.009368 28.694561 -1413.006882 -641.409624
3.450000 1.978557 28.241213 -1431.637074 -671.871262
3.500000 2.033653 28.252912 -1435.473768 -654.550979
3.550000 2.027354 29.331881 -1385.482721 -606.978934
3.600000 2.009183 28.385457 -1426.648968 -655.122840
3.650000 1.997174 28.174865 -1438.250194 -671.335201
3.700000 2.004521 28.511827 -1424.767968 -655.032059
3.750000 1.972087 29.898727 -1359.561395 -602.279939
3.800000 2.029645 29.168198 -1393.358667 -613.975001
3.850000 1.998843 27.950649 -1445.469324 -677.913801
3.900000 2.019127 30.006853 -1355.923849 -580.579114
3.950000 2.014889 28.515449 -1420.444423 -646.726961
4.000000 2.012300 28.580036 -1420.626887 -647.903579
4.050000 1.975835 28.457726 -1423.435941 -664.715373
4.100000 2.036426 28.754921 -1410.171337 -628.183875
4.150000 2.001156 28.471506 -1419.500563 -651.056815
4.200000 2.014575 29.310063 -1386.044459 -612.447527
4.250000 1.992557 29.074545 -1395.746460 -630.604459
4.300000 1.993804 29.486776 -1375.840538 -610.219880
4.350000 2.000003 28.331161 -1431.163495 -663.162256
4.400000 1.989288 28.985696 -1400.622084 -636.735477
4.450000 1.986336 30.246185 -1339.925857 -577.172666
4.500000 2.017247 31.116589 -1304.278503 -529.655605
4.550000 2.032523 26.164484 -1525.469403 -744.980428
4.600000 1.954483 27.003185 -1485.971854 -735.450446
4.650000 1.980284 30.017102 -1350.358292 -589.929307
4.700000 2.027894 29.630030 -1373.316548 -594.605295
4.750000 2.020393 28.966498 -1403.235550 -627.404527
4.800000 1.978739 28.400812 -1423.400930 -663.565339
4.850000 1.987334 29.066613 -1397.656116 -634.519673
4.900000 2.040041 28.744760 -1412.551419 -629.175651
4.950000 1.986218 28.021150 -1441.878987 -679.171162
5.000000 2.015691 28.789957 -1409.214506 -635.188970
5.050000 1.989417 30.793651 -1320.873258 -556.937291
5.100000 2.048550 28.075948 -1445.085574 -658.442328
5.150000 1.999557 28.947554 -1401.137014 -633.307233
5.200000 1.957332 30.784937 -1315.815249 -564.199657
5.250000 2.013635 28.395257 -1428.224219 -654.988372
5.300000 1.991131 27.823782 -1449.709780 -685.115546
5.350000 1.992235 29.804285 -1362.539138 -597.521028
5.400000 1.997145 27.717288 -1459.021443 -692.117788
5.450000 2.008090 28.986844 -1400.037307 -628.930702
5.500000 1.971615 29.007453 -1395.182658 -638.082563
5.550000 2.004357 28.426175 -1423.754262 -654.081350
5.600000 2.024880 29.235808 -1389.659345 -612.105445
5.650000 2.033926 28.717768 -1411.724498 -630.696954
5.700000 1.987177 28.131602 -1436.584349 -673.508571
5.750000 1.977933 28.841425 -1405.092168 -645.565937
5.800000 2.015582 28.841578 -1406.261986 -632.278319
5.850000 1.991458 30.224652 -1342.711330 -577.991588
5.900000 1.975176 29.066295 -1395.457162 -636.989668
5.950000 2.016601 29.137812 -1391.145410 -616.770667
6.000000 1.979768 28.243832 -1431.205264 -670.974485
6.050000 1.998005 29.162366 -1389.591952 -622.357949
6.100000 1.996798 29.325947 -1383.570750 -616.800477
6.150000 1.986880 28.024118 -1440.040490 -677.078400
6.200000 1.997698 29.681890 -1368.425134 -601.308978
6.250000 2.011452 29.773055 -1365.077206 -592.679731
6.300000 2.025064 26.701950 -1503.464661 -725.839959
6.350000 1.994460 28.853261 -1404.195501 -638.322680
6.400000 2.021647 28.893882 -1405.592031 -629.279696
6.450000 1.970035 29.262661 -1385.443719 -628.950362
6.500000 2.017979 29.953513 -1357.038036 -582.133986
6.550000 1.993761 28.145805 -1436.513052 -670.908724
6.600000 2.006746 28.057520 -1438.497454 -667.906977
6.650000 2.009489 28.868842 -1406.079473 -634.435873
6.700000 1.979782 28.995200 -1398.073198 -637.836794
6.750000 2.015087 29.192289 -1393.354304 -619.561021
6.800000 1.993779 28.305143 -1428.619198 -663.007936
6.850000 2.000968 28.978612 -1396.408477 -628.036621
6.900000 1.952048 28.524730 -1417.682123 -668.095734
6.950000 2.001221 29.480410 -1377.639678 -609.170886
7.000000 2.038740 27.222376 -1479.512769 -696.636619
7.050000 1.963935 29.319534 -1380.340488 -626.189298
7.100000 2.004704 29.771844 -1365.933472 -596.127325
7.150000 1.970236 29.245967 -1386.356496 -629.785765
7.200000 2.014440 27.510925 -1467.371334 -693.826426
7.250000 1.993081 28.845181 -1405.919421 -640.576504
7.300000 1.991722 28.456316 -1421.404010 -656.582623
7.350000 1.998967 27.914237 -1448.382084 -680.778673
7.400000 2.022077 29.652639 -1367.999345 -591.521781
7.450000 1.966696 28.904842 -1400.496909 -645.285564
7.500000 2.006267 17.956302 -1513.187591 -742.781002
7.550000 1.990792 17.505252 -1532.067218 -767.603039
7.600000 1.999702 17.921250 -1509.231800 -741.346047
7.650000 2.000916 17.762324 -1518.903117 -750.551233
7.700000 1.982613 18.305263 -1493.974914 -732.651606
7.750000 2.025216 17.596757 -1529.624587 -751.941541
7.800000 2.011886 16.214258 -1588.596185 -816.031997
7.850000 2.012797 16.456108 -1576.456492 -803.542371
7.900000 1.966192 18.191797 -1496.054883 -741.037276
7.950000 2.006222 19.012506 -1457.920497 -687.531082
8.000000 2.002268 17.349640 -1536.290575 -767.419664
8.050000 1.997955 16.446587 -1578.135300 -810.920692
8.100000 1.985754 17.836532 -1511.960951 -749.431567
8.150000 2.004209 18.027443 -1508.599810 -738.983625
8.200000 1.982241 18.578027 -1479.917683 -718.737025
8.250000 1.970558 19.574244 -1433.828381 -677.134129
8.300000 2.034208 19.220795 -1450.705938 -669.570022
8.350000 1.986735 18.604589 -1483.064487 -720.158167
8.400000 1.983345 18.917449 -1464.979458 -703.374955
8.450000 2.028703 19.323799 -1445.345723 -666.323605
8.500000 2.008759 18.497277 -1478.608440 -707.245024
8.550000 2.043060 16.631556 -1570.861492 -786.326375
8.600000 1.997131 17.353514 -1533.852050 -766.953908
8.650000 2.009637 17.459591 -1529.536043 -757.835346
8.700000 1.987001 19.075648 -1454.154744 -691.146171
