# t Temp Pres Epot Etot
0.000000 1.995626 28.266858 -1432.852115 -666.531754
0.050000 1.990313 29.538888 -1375.388478 -611.108346
0.100000 2.037497 28.396784 -1431.007351 -648.608604
0.150000 2.007053 27.910616 -1445.762685 -675.054402
0.200000 2.018969 28.076609 -1439.334891 -664.050883
0.250000 1.950023 28.929033 -1401.415511 -652.606792
0.300000 2.042550 29.226848 -1390.811954 -606.472756
0.350000 2.017493 29.409824 -1379.918762 -605.201355
0.400000 2.009207 28.428155 -1422.372487 -650.836849
0.450000 1.974199 28.812826 -1403.398319 -645.305870
0.500000 1.953278 29.755767 -1363.950675 -613.892007
0.550000 1.998308 29.743080 -1365.371998 -598.021604
0.600000 2.037226 29.433678 -1382.475016 -600.180087
0.650000 2.003932 27.141741 -1479.452691 -709.942908
0.700000 1.957058 28.734620 -1407.342353 -655.832161
0.750000 2.000573 29.167105 -1392.888103 -624.667989
0.800000 1.970476 29.004139 -1396.397836 -639.735004
0.850000 2.001931 28.205670 -1435.050646 -666.309019
0.900000 1.975654 28.357190 -1428.544690 -669.893735
0.950000 1.992512 28.506303 -1422.271561 -657.147102
1.000000 2.024278 28.076925 -1441.138824 -663.816077
1.050000 1.985638 30.395877 -1333.191649 -570.706656
1.100000 2.018411 28.653516 -1416.263380 -641.193427
1.150000 1.990075 28.952993 -1401.788347 -637.599418
1.200000 1.995391 28.369168 -1427.188751 -660.958589
1.250000 1.996755 29.214367 -1389.906376 -623.152563
1.300000 1.991942 29.015040 -1397.428189 -632.522619
1.350000 1.996927 28.716342 -1411.749147 -644.929018
1.400000 2.004792 28.745338 -1411.022538 -641.182369
1.450000 1.973408 28.757355 -1409.643905 -651.855397
1.500000 2.015601 28.383583 -1426.324514 -652.333645
1.550000 1.978917 29.256741 -1384.001404 -624.097333
1.600000 1.992239 28.740632 -1410.297520 -645.277899
1.650000 1.989335 29.358745 -1382.921253 -619.016432
1.700000 2.025036 27.902624 -1450.285971 -672.672015
1.750000 2.027890 27.988237 -1447.405149 -668.695329
1.800000 1.964947 29.613556 -1370.394929 -615.855342
1.850000 1.992051 28.149614 -1436.105035 -671.157452
1.900000 1.989765 29.414153 -1379.909654 -615.839744
1.950000 1.994794 29.648116 -1370.571599 -604.570558
2.000000 2.005765 28.052413 -1440.133768 -669.920064
2.050000 1.972277 29.272457 -1385.928993 -628.574436
2.100000 1.996221 28.196441 -1432.555888 -666.006874
2.150000 2.004106 28.423560 -1426.304288 -656.727461
2.200000 2.000359 28.498428 -1420.365123 -652.227332
2.250000 1.971735 29.400823 -1378.406090 -621.259948
2.300000 2.015241 29.598987 -1371.628724 -597.776317
2.350000 1.997629 28.172034 -1435.882969 -668.793588
2.400000 1.980052 27.790620 -1453.593388 -693.253411
2.450000 2.001214 28.835567 -1405.812965 -637.346800
2.500000 2.024077 28.924109 -1400.143989 -622.898381
2.550000 1.981893 28.963938 -1400.709596 -639.662636
2.600000 1.973360 28.201868 -1432.903923 -675.133700
2.650000 2.017478 30.404157 -1337.588928 -562.877285
2.700000 1.991788 29.567752 -1372.829712 -607.983193
2.750000 2.041472 27.992696 -1446.968093 -663.043032
2.800000 1.989198 26.831576 -1495.416423 -731.564208
2.850000 1.965466 28.425068 -1424.241826 -669.502768
2.900000 1.987621 30.770434 -1320.156834 -556.910389
2.950000 1.999992 29.919538 -1358.602406 -590.605613
3.000000 1.975451 29.797046 -1360.616781 -602.043602
3.050000 1.982149 28.182618 -1434.819622 -673.674373
3.100000 2.020023 28.940799 -1405.424667 -629.735711
3.150000 1.993594 27.996253 -1443.826044 -678.285981
3.200000 2.001287 28.483020 -1422.968645 -654.474271
3.250000 2.003062 29.898629 -1357.558611 -588.382896
3.300000 2.015583 27.986011 -1446.718663 -672.734812
3.350000 1.990247 30.246269 -1345.379977 -581.125063
3.400000 2.044240 29.501641 -1379.341189 -594.353019
3.450000 1.933475 29.869124 -1359.179213 -616.724702
3.500000 2.014576 28.081751 -1442.568794 -668.971489
3.550000 2.004247 28.280495 -1432.434544 -662.803554
3.600000 2.020846 26.832013 -1497.498134 -721.493195
3.650000 1.983729 30.368033 -1336.198927 -574.446973
3.700000 2.016857 29.158408 -1391.087119 -616.614062
3.750000 1.954530 28.906056 -1404.409724 -653.870050
3.800000 1.997064 28.832009 -1405.346195 -638.473674
3.850000 1.994912 28.771146 -1411.195227 -645.149019
3.900000 1.999385 28.595303 -1420.606226 -652.842393
3.950000 2.005046 29.011297 -1397.033637 -627.096148
4.000000 1.992329 29.490324 -1374.041415 -608.987255
4.050000 1.988292 28.137997 -1434.866644 -671.362687
4.100000 2.000872 30.217419 -1346.364544 -578.029546
4.150000 2.040571 27.712259 -1456.663133 -673.083827
4.200000 1.972169 28.600364 -1415.174521 -657.861524
4.250000 2.013832 28.364726 -1427.352024 -654.040682
4.300000 1.997141 30.066205 -1348.510954 -581.608623
4.350000 1.963641 27.814797 -1450.964724 -696.926465
4.400000 1.987971 29.064066 -1394.918976 -631.538188
