# t Temp Pres Epot Etot
0.000000 1.963177 29.378068 -1381.798369 -627.938344
0.050000 2.050956 28.040662 -1444.777401 -657.210373
0.100000 1.977385 28.777019 -1409.996569 -650.680852
0.150000 2.042704 29.777668 -1365.966429 -581.568045
0.200000 1.988795 29.083885 -1396.993585 -633.296240
0.250000 2.021780 28.132009 -1440.524927 -664.161445
0.300000 2.000131 27.780690 -1454.538231 -686.487760
0.350000 1.980455 27.781881 -1454.073100 -693.578282
0.400000 2.013950 29.742027 -1367.747492 -594.390557
0.450000 2.015761 29.286420 -1387.262666 -613.210505
0.500000 1.968704 29.705186 -1365.853296 -609.871125
0.550000 2.016673 28.252182 -1432.142904 -657.740519
0.600000 1.982898 28.191729 -1436.292472 -674.859717
0.650000 1.977433 29.629119 -1369.393042 -610.058698
0.700000 2.031074 29.319737 -1384.752677 -604.820185
0.750000 1.979091 28.459511 -1421.007524 -661.036531
0.800000 1.977176 28.539711 -1418.949821 -659.714280
0.850000 1.997748 27.987706 -1444.730070 -677.594977
0.900000 2.024082 30.373190 -1337.056416 -559.808821
0.950000 2.022039 28.079982 -1442.270678 -665.807605
1.000000 2.004074 29.797848 -1364.214637 -594.650154
1.050000 1.982043 29.345816 -1381.545425 -620.440751
1.100000 2.025723 29.000080 -1397.740831 -619.863293
1.150000 1.971519 28.927262 -1398.625837 -641.562477
1.200000 2.008099 28.430871 -1426.641322 -655.531474
1.250000 2.008928 28.586871 -1417.242845 -645.814562
1.300000 1.997369 28.464661 -1425.366336 -658.376668
1.350000 1.994751 30.062256 -1351.638241 -585.653682
1.400000 2.011846 29.280922 -1386.651340 -614.102591
1.450000 2.010726 28.335206 -1429.149385 -657.030756
1.500000 1.981042 29.176779 -1391.990892 -631.270674
1.550000 2.019826 28.848865 -1405.522139 -629.909034
1.600000 1.965200 29.963872 -1353.536502 -598.899612
1.650000 2.019911 28.499233 -1424.403982 -648.758071
1.700000 2.005962 27.389718 -1469.815910 -699.526568
1.750000 1.990604 28.490643 -1422.832876 -658.440962
1.800000 2.002767 29.153386 -1394.176366 -625.113946
1.850000 2.027705 29.716568 -1370.015413 -591.376576
1.900000 1.980060 29.579122 -1373.085244 -612.742073
1.950000 2.009496 29.814840 -1364.547424 -592.901149
2.000000 2.038865 26.980537 -1492.214662 -709.290624
2.050000 2.010832 28.271431 -1432.818211 -660.658689
2.100000 1.976584 29.479024 -1375.468674 -616.460304
2.150000 1.980203 29.247891 -1384.061922 -623.663911
2.200000 2.019357 28.762964 -1409.096028 -633.663007
2.250000 1.977691 29.449030 -1377.393797 -617.960284
2.300000 1.988805 28.347347 -1428.735960 -665.034871
2.350000 1.985330 29.198270 -1385.446255 -623.079696
2.400000 2.004560 31.016198 -1307.642320 -537.891088
2.450000 1.993579 28.099270 -1440.746409 -675.212079
2.500000 1.986440 28.330077 -1428.924394 -666.131261
2.550000 1.986799 29.449744 -1378.476149 -615.545458
2.600000 2.020975 27.763377 -1455.270071 -679.215553
